Department,Entity,Payment Date,Expense Type,Expense Area,Supplier Name,Supplier Site Post Code,Transaction Number,Payment Description,Total,,,
Ministry of Defence,Ministry of Defence,25/08/2021,IT and communication services,Air Command,BOXXE LIMITED,YO31 7RE,575625,Line + telephone rental including commercial charge for use of radio frequencies,"£3,946.62",,,
Ministry of Defence,Ministry of Defence,25/08/2021,Design services and minor equipment purchases,Defence Equipment and Support,AKHTER COMPUTERS LIMITED,CM18 7PN,575492,Equipment support non-project costs,"£3,695.66",,,
Ministry of Defence,Ministry of Defence,25/08/2021,Design services and minor equipment purchases,Defence Equipment and Support,RAYTHEON SYSTEMS LIMITED,CM17 9NA,575556,Equipment support non-project costs,"£3,184.73",,,
Ministry of Defence,Ministry of Defence,25/08/2021,Medical treatment & stores and welfare services,Defence Equipment and Support,AAH PHARMACEUTICALS LTD,CV2 2TX,575525,Medical inventory and services excluding the inventory system,"£1,724.84",,,
Ministry of Defence,Ministry of Defence,25/08/2021,IT and communication services,Strategic Command,AKHTER COMPUTERS LIMITED,CM18 7PN,575492,Computer equipment costing below the capitalisation threshold,"£1,483.64",,,
Ministry of Defence,Ministry of Defence,25/08/2021,IT and communication services,Navy Command,CENTERPRISE INTERNATIONAL LTD,RG24 8GQ,575507,Computer equipment costing below the capitalisation threshold,"£1,463.29",,,
Ministry of Defence,Ministry of Defence,25/08/2021,IT and communication services,Army Command,AKHTER COMPUTERS LIMITED,CM18 7PN,575492,IT Services -internal costs,"£1,188.00",,,
Ministry of Defence,Ministry of Defence,25/08/2021,Purchase of buildings and military equipment ,DEFENCE INFRASTRUCTURE ORGANISATION,MITIE (DEFENCE) LIMITED,B70 1DA,575484,Fiscal asset under construction - capital in year addition,"£1,000.00",,,
Ministry of Defence,Ministry of Defence,25/08/2021,Design services and minor equipment purchases,Defence Equipment and Support,DEVONPORT ROYAL DOCKYARD LIMITED,PL1 4SG,575488,Equipment support non-project costs,£799.74,,,
Ministry of Defence,Ministry of Defence,25/08/2021,IT and communication services,Strategic Command,BOXXE LIMITED,YO31 7RE,575625,Computer equipment costing below the capitalisation threshold,£574.44,,,
Ministry of Defence,Ministry of Defence,25/08/2021,IT and communication services,DES Bespoke Trading Entity,BOXXE LIMITED,YO31 7RE,575625,Computer equipment costing below the capitalisation threshold,£292.20,,,
Ministry of Defence,Ministry of Defence,25/08/2021,General services and support,Navy Command,CENTERPRISE INTERNATIONAL LTD,RG24 8GQ,575507,Purchase of defence support equipment below capitalisation threshold of £25k.,£81.12,,,
Ministry of Defence,Ministry of Defence,25/08/2021,Purchase of inventory and services ,Navy Command,CENTERPRISE INTERNATIONAL LTD,RG24 8GQ,575507,Cost of other material consumed,£78.00,,,
Ministry of Defence,Ministry of Defence,25/08/2021,IT and communication services,Head Office and Corporate Services,AKHTER COMPUTERS LIMITED,CM18 7PN,575492,Computer equipment costing below the capitalisation threshold,£72.12,,,
Ministry of Defence,Ministry of Defence,25-Aug-21,Design services and minor equipment purchases,Air Command,AKHTER COMPUTERS LIMITED,CM18 7PN,575492,Equipment support non-project costs,£27.60,,,
Ministry of Defence,Ministry of Defence,24/08/2021,Purchase of buildings and military equipment ,Defence Equipment and Support,BAE SYSTEMS SURFACE SHIPS LIMITED,G14 0XN,575258,Single use military equipment asset under construction - capital in year addition,"£44,043,797.90",,,
Ministry of Defence,Ministry of Defence,24/08/2021,Purchase of buildings and military equipment ,Defence Equipment and Support,BAE SYSTEMS SURFACE SHIPS LIMITED,G14 0XN,6000064286,Single use military equipment asset under construction - capital in year addition,"£5,344,005.41",,,
Ministry of Defence,Ministry of Defence,24/08/2021,Property leases,DEFENCE INFRASTRUCTURE ORGANISATION,FALCON SUPPORT SERVICES LIMITED,M1 4HB,575391,Property dwellings private finance initiative - service concession arrangement service charge,"£1,825,147.27",,,
Ministry of Defence,Ministry of Defence,24/08/2021,IT and communication services,Strategic Command,CGI IT UK LIMITED,CF31 9AP,575202,Information technology services,"£1,572,052.85",,,
Ministry of Defence,Ministry of Defence,24/08/2021,Design services and minor equipment purchases,Defence Equipment and Support,BAE SYSTEMS SURFACE SHIPS LIMITED,PO3 5PQ,575340,Equipment support non-project costs,"£1,277,581.00",,,
Ministry of Defence,Ministry of Defence,24/08/2021,Spend on Inventory - General,Defence Equipment and Support,"LEIDOS EUROPE, LIMITED",BS16 7FH,6000064287,Spend on Inventory - General,"£805,308.74",,,
Ministry of Defence,Ministry of Defence,24/08/2021,Design services and minor equipment purchases,Defence Equipment and Support,BABCOCK INTEGRATED TECHNOLOGY  LIMITED,BS3 2HQ,575261,Equipment support project costs,"£703,005.04",,,
Ministry of Defence,Ministry of Defence,24/08/2021,IT and communication services,Army Command,AKHTER COMPUTERS LIMITED,CM18 7PN,575298,IT Services -internal costs,"£635,860.96",,,
Ministry of Defence,Ministry of Defence,24/08/2021,Inventory Accruals,Defence Equipment and Support,TSI INSTRUMENTS LTD,HP12 3RT,575247,Contract Expenditure on Capital Spares that are managed by DE+S Inventory Systems.,"£624,384.00",,,
Ministry of Defence,Ministry of Defence,24/08/2021,IT and communication services,Army Command,MONITOR INTELLIGENCE SERVICES LTD,SN5 6QR,575228,Information technology services,"£599,535.60",,,
Ministry of Defence,Ministry of Defence,24/08/2021,Design services and minor equipment purchases,Defence Equipment and Support,RAYTHEON SYSTEMS LIMITED,CM17 9NA,575325,Equipment support project costs,"£546,306.00",,,
Ministry of Defence,Ministry of Defence,24/08/2021,Estate management,DEFENCE INFRASTRUCTURE ORGANISATION,SODEXO LTD,M50 0AL,575328,Estate management,"£463,766.31",,,
Ministry of Defence,Ministry of Defence,24/08/2021,Purchase of buildings and military equipment ,DEFENCE INFRASTRUCTURE ORGANISATION,VOLKERSTEVIN LIMITED,PR2 5PE,575362,Fiscal asset under construction - capital in year addition,"£460,353.01",,,
Ministry of Defence,Ministry of Defence,24/08/2021,Purchase of buildings and military equipment ,DEFENCE INFRASTRUCTURE ORGANISATION,TILBURY DOUGLAS CONSTRUCTION LIMITED,BH23 3TF,575361,Fiscal asset under construction - capital in year addition,"£288,899.34",,,
Ministry of Defence,Ministry of Defence,24/08/2021,Design services and minor equipment purchases,Navy Command,NUVIA LIMITED,WA3 6AE,575364,Equipment support non-project costs,"£264,662.08",,,
Ministry of Defence,Ministry of Defence,24/08/2021,IT and communication services,Navy Command,CENTERPRISE INTERNATIONAL LTD,RG24 8GQ,575319,Computer equipment costing below the capitalisation threshold,"£209,195.04",,,
Ministry of Defence,Ministry of Defence,24/08/2021,IT and communication services,DEFENCE INFRASTRUCTURE ORGANISATION,SOPRA STERIA LIMITED,HP2 7AH,575367,Information technology services,"£194,727.70",,,
Ministry of Defence,Ministry of Defence,24/08/2021,Research and development,Navy Command,KINSETSU LIMITED,BT3 9HB,575241,Reasearch+Development Frasc,"£173,665.20",,,
Ministry of Defence,Ministry of Defence,24/08/2021,Design services and minor equipment purchases,Defence Equipment and Support,ORGANISATION FOR JOINT ARMAMENTS CO-OPERATION EXECUTIVE ADMIN,,6000064285,Equipment support non-project costs,"£173,634.05",,,
Ministry of Defence,Ministry of Defence,24/08/2021,Payment of utilities,DEFENCE INFRASTRUCTURE ORGANISATION,VEOLIA WATER OUTSOURCING LIMITED,WS11 8JP,575388,Utilities consumed - water + sewage,"£104,895.80",,,
Ministry of Defence,Ministry of Defence,24/08/2021,NCA003-Estates-Equipment/Works,DIO-SSG,MISC CREDITORS,N/A,AP00521PC9221,NCA003-Estates-Equipment/Works,"£101,376.00",,,
Ministry of Defence,Ministry of Defence,24/08/2021,IT and communication services,Strategic Command,ACTICA CONSULTING LIMITED,GU2 7RF,575336,Information technology services,"£93,120.00",,,
Ministry of Defence,Ministry of Defence,24/08/2021,Spend on Inventory - General,Defence Equipment and Support,KELLOGG BROWN & ROOT LIMITED,KT22 7NL,575263,Spend on Inventory - General,"£86,786.24",,,
Ministry of Defence,Ministry of Defence,24/08/2021,Development costs for military equipment,Defence Equipment and Support,BAE SYSTEMS SURFACE SHIPS LIMITED,G14 0XN,575258,Intangible fiscal asset  - in year capital addition,"£79,986.48",,,
Ministry of Defence,Ministry of Defence,24/08/2021,Fees for professional services,DEFENCE INFRASTRUCTURE ORGANISATION,ATKINS LIMITED,SW1E 5BY,575395,"The provision of advice and assistance relating to corporate financing structures, accountancy, control mechanisms and systems","£66,506.40",,,
Ministry of Defence,Ministry of Defence,24/08/2021,Spend on Inventory - General,Defence Equipment and Support,BABCOCK INTEGRATED TECHNOLOGY  LIMITED,BS3 2HQ,575261,Spend on Inventory - General,"£56,331.89",,,
Ministry of Defence,Ministry of Defence,24/08/2021,IT and communication services,Strategic Command,TECHMODAL LIMITED,BS1 4ND,575215,Information technology services,"£31,174.72",,,
Ministry of Defence,Ministry of Defence,24-Aug-21,Building maintenance and accommodation stores,DEFENCE INFRASTRUCTURE ORGANISATION,EMERGENT CROWN CONTRACT OFFICE FURNISHINGS LIMITED,HX3 8EF,575296,Building maintenance accommodation inventory,"£29,824.20",,,
Ministry of Defence,Ministry of Defence,24/08/2021,Purchase of information and communications technology,Defence Equipment and Support,AKHTER COMPUTERS LIMITED,CM18 7PN,575298,IT + communications asset - in year capital addition,"£29,691.36",,,
Ministry of Defence,Ministry of Defence,24/08/2021,Purchase of inventory and services ,Defence Equipment and Support,KELLOGG BROWN & ROOT LIMITED,KT22 7NL,575263,Cost of other material consumed,"£28,404.94",,,
Ministry of Defence,Ministry of Defence,24/08/2021,IT and communication services,Navy Command,BOXXE LIMITED,YO31 7RE,575222,Computer equipment costing below the capitalisation threshold,"£28,117.08",,,
Ministry of Defence,Ministry of Defence,24/08/2021,Medical treatment & stores and welfare services,Strategic Command,AAH PHARMACEUTICALS LTD,CV2 2TX,575331,Medical inventory and services excluding the inventory system,"£28,062.24",,,
Ministry of Defence,Ministry of Defence,24/08/2021,Purchase of buildings and military equipment ,Defence Equipment and Support,QINETIQ LIMITED,GU14 0LX,575295,Single use military equipment asset under construction - capital in year addition,"£25,340.40",,,
Ministry of Defence,Ministry of Defence,24/08/2021,Fees for professional services,Strategic Command,TECHMODAL LIMITED,BS1 4ND,575215,Costs of administration services/manpower support provided by Defence Science and Technology laboratory excluding research and development,"£23,612.06",,,
Ministry of Defence,Ministry of Defence,24/08/2021,Purchase of buildings and military equipment ,Defence Equipment and Support,TRL TECHNOLOGY LTD,GL20 8DN,575206,Single use military equipment asset under construction - capital in year addition,"£23,544.00",,,
Ministry of Defence,Ministry of Defence,24/08/2021,Inventory Accruals,Defence Equipment and Support,BABCOCK INTEGRATED TECHNOLOGY  LIMITED,BS3 2HQ,575261,Contract Expenditure on Capital Spares that are managed by DE+S Inventory Systems.,"£21,001.68",,,
Ministry of Defence,Ministry of Defence,24/08/2021,Purchase of buildings and military equipment ,DEFENCE INFRASTRUCTURE ORGANISATION,ATKINS LIMITED,SW1E 5BY,575395,Fiscal asset under construction - capital in year addition,"£17,242.14",,,
Ministry of Defence,Ministry of Defence,24/08/2021,Property leases,Navy Command,FALCON SUPPORT SERVICES LIMITED,M1 4HB,575391,Property dwellings private finance initiative - service concession arrangement service charge,"£15,901.90",,,
Ministry of Defence,Ministry of Defence,24/08/2021,"Purchase of major spares armaments, medical & general stores",Defence Equipment and Support,DEVONPORT ROYAL DOCKYARD LIMITED,PL1 4SG,575294,Capital spares engineering and technical inventory single use military equip capital in year addition,"£14,122.58",,,
Ministry of Defence,Ministry of Defence,24/08/2021,Estate management,DEFENCE INFRASTRUCTURE ORGANISATION,AMEY DEFENCE SERVICES LIMITED,B75 7RL,575372,Estate management,"£13,476.35",,,
Ministry of Defence,Ministry of Defence,24/08/2021,Fees for professional services,Army Command,ACTICA CONSULTING LIMITED,GU2 7RF,575336,Fees for professional services excluding legal fees,"£12,701.06",,,
Ministry of Defence,Ministry of Defence,24/08/2021,Estate management,DEFENCE INFRASTRUCTURE ORGANISATION,KIER CONSTRUCTION LTD,CB25 9PD,575404,Works - estate management,"£12,196.22",,,
Ministry of Defence,Ministry of Defence,24/08/2021,Spend on Inventory - General,DES Bespoke Trading Entity,BABCOCK INTEGRATED TECHNOLOGY  LIMITED,BS3 2HQ,575261,Spend on Inventory - General,"£11,780.32",,,
Ministry of Defence,Ministry of Defence,24/08/2021,Transport hire charges,Navy Command,BABCOCK LAND DEFENCE LIMITED,SP11 8HT,6000064289,Transport other operating lease,"£11,174.43",,,
Ministry of Defence,Ministry of Defence,24/08/2021,IT and communication services,Army Command,ACTICA CONSULTING LIMITED,GU2 7RF,575336,Information technology services,"£10,755.00",,,
Ministry of Defence,Ministry of Defence,24/08/2021,Transport hire charges,Strategic Command,BABCOCK LAND DEFENCE LIMITED,SP11 8HT,6000064289,Transport other operating lease,"£9,828.93",,,
Ministry of Defence,Ministry of Defence,24/08/2021,IT and communication services,Air Command,AKHTER COMPUTERS LIMITED,CM18 7PN,575298,Computer equipment costing below the capitalisation threshold,"£9,197.21",,,
Ministry of Defence,Ministry of Defence,24/08/2021,Enabling Services,DES Bespoke Trading Entity,TETRA TECH MANAGEMENT SERVICES LIMITED,L2 6RE,575329,PSS Other Tech Support Exc R+D,"£8,819.45",,,
Ministry of Defence,Ministry of Defence,24/08/2021,Estate management,DEFENCE INFRASTRUCTURE ORGANISATION,AMEY DEFENCE SERVICES LIMITED,B75 7RL,575372,Works services - excluding United States forces/NATO + married quarters,"£5,777.18",,,
Ministry of Defence,Ministry of Defence,24/08/2021,IT and communication services,Army Command,CENTERPRISE INTERNATIONAL LTD,RG24 8GQ,575319,Computer equipment costing below the capitalisation threshold,"£4,389.60",,,
Ministry of Defence,Ministry of Defence,24/08/2021,Design services and minor equipment purchases,Defence Equipment and Support,KELLOGG BROWN & ROOT LIMITED,KT22 7NL,575263,Equipment support non-project costs,"£4,124.69",,,
Ministry of Defence,Ministry of Defence,24/08/2021,IT and communication services,Army Command,AKHTER COMPUTERS LIMITED,CM18 7PN,575298,Computer equipment costing below the capitalisation threshold,"£2,604.08",,,
Ministry of Defence,Ministry of Defence,24/08/2021,IT and communication services,Strategic Command,AKHTER COMPUTERS LIMITED,CM18 7PN,575298,Computer equipment costing below the capitalisation threshold,"£2,455.20",,,
Ministry of Defence,Ministry of Defence,24/08/2021,Inventory Accruals,Defence Equipment and Support,KELLOGG BROWN & ROOT LIMITED,KT22 7NL,575263,Contract Expenditure on Capital Spares that are managed by DE+S Inventory Systems.,"£2,124.59",,,
Ministry of Defence,Ministry of Defence,24/08/2021,IT and communication services,Air Command,CENTERPRISE INTERNATIONAL LTD,RG24 8GQ,575319,Computer equipment costing below the capitalisation threshold,"£1,712.59",,,
Ministry of Defence,Ministry of Defence,24/08/2021,Spend on Inventory - General,Defence Equipment and Support,DEVONPORT ROYAL DOCKYARD LIMITED,PL1 4SG,575294,Spend on Inventory - General,"£1,175.30",,,
Ministry of Defence,Ministry of Defence,24/08/2021,"Public relations, including marketing and advertising",Air Command,AKHTER COMPUTERS LIMITED,CM18 7PN,575298,Public relations services including items such as sales marketing and advertising,"£1,116.00",,,
Ministry of Defence,Ministry of Defence,24/08/2021,Design services and minor equipment purchases,Defence Equipment and Support,AKHTER COMPUTERS LIMITED,CM18 7PN,575298,Equipment support non-project costs,£777.60,,,
Ministry of Defence,Ministry of Defence,24/08/2021,Purchase of inventory and services ,Navy Command,AKHTER COMPUTERS LIMITED,CM18 7PN,575298,Cost of other material consumed,£711.35,,,
Ministry of Defence,Ministry of Defence,24/08/2021,IT and communication services,Head Office and Corporate Services,AKHTER COMPUTERS LIMITED,CM18 7PN,575298,Computer equipment costing below the capitalisation threshold,£603.97,,,
Ministry of Defence,Ministry of Defence,24/08/2021,Transport hire charges,DES Bespoke Trading Entity,BABCOCK LAND DEFENCE LIMITED,SP11 8HT,6000064289,Transport other operating lease,£537.96,,,
Ministry of Defence,Ministry of Defence,24/08/2021,IT and communication services,Navy Command,AKHTER COMPUTERS LIMITED,CM18 7PN,575298,Computer equipment costing below the capitalisation threshold,£478.46,,,
Ministry of Defence,Ministry of Defence,24/08/2021,IT and communication services,Air Command,BOXXE LIMITED,YO31 7RE,575222,Computer equipment costing below the capitalisation threshold,£453.24,,,
Ministry of Defence,Ministry of Defence,24/08/2021,IT and communication services,Strategic Command,BOXXE LIMITED,YO31 7RE,575222,Computer equipment costing below the capitalisation threshold,£438.48,,,
Ministry of Defence,Ministry of Defence,24/08/2021,Design services and minor equipment purchases,Defence Equipment and Support,INDUSTRIAL MAINTENANCE SERVICES LIMITED,PO3 5FL,575285,Equipment support non-project costs,£281.75,,,
Ministry of Defence,Ministry of Defence,24/08/2021,IT and communication services,DES Bespoke Trading Entity,AKHTER COMPUTERS LIMITED,CM18 7PN,575298,Telephone minor equipment below capitalisation threshold,£62.14,,,
Ministry of Defence,Ministry of Defence,24/08/2021,IT and communication services,Strategic Command,AKHTER COMPUTERS LIMITED,CM18 7PN,575298,Estate management,£54.01,,,
Ministry of Defence,Ministry of Defence,23/08/2021,Property leases,DEFENCE INFRASTRUCTURE ORGANISATION,ANCALA WATER SERVICES (ESTATES) LIMITED,S75 3JR,575124,Property non dwellings private finance initiative - service concession arrangement service charge,"£4,504,118.70",,,
Ministry of Defence,Ministry of Defence,23/08/2021,Payment of utilities,DEFENCE INFRASTRUCTURE ORGANISATION,CORONA ENERGY RETAIL 4 LIMITED,WD17 1JW,575120,Utilities consumed - gas,"£1,937,627.33",,,
Ministry of Defence,Ministry of Defence,23/08/2021,Property leases,DEFENCE INFRASTRUCTURE ORGANISATION,VEOLIA WATER NEVIS LIMITED,WS11 8JP,575146,Property non dwellings private finance initiative - service concession arrangement service charge,"£1,408,387.57",,,
Ministry of Defence,Ministry of Defence,23/08/2021,Transport hire charges,Army Command,BABCOCK LAND DEFENCE LIMITED,SP11 8HT,575182,Transport other operating lease,"£622,638.78",,,
Ministry of Defence,Ministry of Defence,23/08/2021,IT and communication services,Army Command,MONITOR INTELLIGENCE SERVICES LTD,SN5 6QR,575119,Information technology services,"£243,137.93",,,
Ministry of Defence,Ministry of Defence,23/08/2021,IT and communication services,Strategic Command,WHITESPACE VENTURES LIMITED,W1W 7LT,575041,Computer equipment costing below the capitalisation threshold,"£240,000.00",,,
Ministry of Defence,Ministry of Defence,23/08/2021,Transport hire charges,Navy Command,BABCOCK LAND DEFENCE LIMITED,SP11 8HT,575182,Transport other operating lease,"£210,559.40",,,
Ministry of Defence,Ministry of Defence,23/08/2021,Fees for professional services,Army Command,MONITOR INTELLIGENCE SERVICES LTD,SN5 6QR,575119,Fees for professional services excluding legal fees,"£163,633.00",,,
Ministry of Defence,Ministry of Defence,23/08/2021,Purchase of buildings and military equipment ,DEFENCE INFRASTRUCTURE ORGANISATION,MOTT MACDONALD LTD,BS1 6FL,575185,Fiscal asset under construction - capital in year addition,"£117,972.06",,,
Ministry of Defence,Ministry of Defence,23/08/2021,Purchase of buildings and military equipment ,DEFENCE INFRASTRUCTURE ORGANISATION,RAMBOLL UK LIMITED,SE1 8NW,575121,Fiscal asset under construction - capital in year addition,"£112,577.54",,,
Ministry of Defence,Ministry of Defence,23/08/2021,Design services and minor equipment purchases,Navy Command,BABCOCK AEROSPACE LIMITED,BH23 6BS,575190,Equipment support non-project costs,"£107,996.45",,,
Ministry of Defence,Ministry of Defence,23-Aug-21,Design services and minor equipment purchases,Army Command,ADARGA LIMITED,SE1 0LN,575194,Equipment support project costs,"£100,000.01",,,
Ministry of Defence,Ministry of Defence,23/08/2021,Medical treatment & stores and welfare services,Defence Equipment and Support,AAH PHARMACEUTICALS LTD,CV2 2TX,575103,Medical inventory and services excluding the inventory system,"£87,176.56",,,
Ministry of Defence,Ministry of Defence,23/08/2021,IT and communication services,Strategic Command,PROXIMIE LIMITED,W2 3LH,575042,Computer equipment costing below the capitalisation threshold,"£75,000.00",,,
Ministry of Defence,Ministry of Defence,23/08/2021,Medical treatment & stores and welfare services,Army Command,MONITOR INTELLIGENCE SERVICES LTD,SN5 6QR,575119,Medical health services,"£65,204.00",,,
Ministry of Defence,Ministry of Defence,23/08/2021,Transport hire charges,DES Bespoke Trading Entity,BABCOCK LAND DEFENCE LIMITED,SP11 8HT,575182,Transport other operating lease,"£64,728.21",,,
Ministry of Defence,Ministry of Defence,23/08/2021,Estate management,Head Office and Corporate Services,BILFINGER HSG FACILITY MANAGEMENT LTD,OX7 5SR,575116,Works - estate management,"£54,614.40",,,
Ministry of Defence,Ministry of Defence,23/08/2021,Development costs for military equipment,Army Command,MONITOR INTELLIGENCE SERVICES LTD,SN5 6QR,575119,Intangible single use military equipment asset  - in year capital addition,"£49,037.41",,,
Ministry of Defence,Ministry of Defence,23/08/2021,Estate management,DEFENCE INFRASTRUCTURE ORGANISATION,MITIE (DEFENCE) LIMITED,B70 1DA,575072,Estate management,"£48,091.98",,,
Ministry of Defence,Ministry of Defence,23/08/2021,Design services and minor equipment purchases,Strategic Command,BAE SYSTEMS (OPERATIONS) LIMITED,BH23 4JE,575073,Equipment support project costs,"£48,079.20",,,
Ministry of Defence,Ministry of Defence,23/08/2021,Design services and minor equipment purchases,Defence Equipment and Support,RHEINMETALL BAE SYSTEMS LAND LIMITED,NP15 1XL,575125,Post design services which are not capitalised,"£45,220.53",,,
Ministry of Defence,Ministry of Defence,23/08/2021,Transport hire charges,Head Office and Corporate Services,BABCOCK LAND DEFENCE LIMITED,SP11 8HT,575182,Transport other operating lease,"£39,526.52",,,
Ministry of Defence,Ministry of Defence,23/08/2021,Spend on Inventory - General,Defence Equipment and Support,BABCOCK INTEGRATED TECHNOLOGY  LIMITED,BS3 2HQ,575191,Spend on Inventory - General,"£35,139.88",,,
Ministry of Defence,Ministry of Defence,23/08/2021,Transport hire charges,Strategic Command,BABCOCK LAND DEFENCE LIMITED,SP11 8HT,575182,Transport other operating lease,"£34,411.07",,,
Ministry of Defence,Ministry of Defence,23/08/2021,Transport hire charges,Air Command,BABCOCK LAND DEFENCE LIMITED,SP11 8HT,575182,Transport other operating lease,"£33,855.95",,,
Ministry of Defence,Ministry of Defence,23/08/2021,"Transportation of personnel, freight and travel expenses",Head Office and Corporate Services,FOREIGN COMMONWEALTH & DEVELOPMENT OFFICE,MK10 1PX,300007035,Civilian short term detached duty,"£32,870.46",,,
Ministry of Defence,Ministry of Defence,23/08/2021,Medical treatment & stores and welfare services,Strategic Command,AAH PHARMACEUTICALS LTD,CV2 2TX,575103,Medical inventory and services excluding the inventory system,"£32,140.57",,,
Ministry of Defence,Ministry of Defence,23/08/2021,Fees for professional services,Head Office and Corporate Services,OH ASSIST LIMITED,G1 3PE,575176,Fees for professional services excluding legal fees,"£30,894.75",,,
Ministry of Defence,Ministry of Defence,23/08/2021,"Transportation of personnel, freight and travel expenses",Head Office and Corporate Services,RAIL SETTLEMENT PLAN LIMITED,NG9 1ND,575050,Military short term detached duty,"£26,384.60",,,
Ministry of Defence,Ministry of Defence,23/08/2021,Fuel for military use,Navy Command,CERTAS ENERGY UK LIMITED,WA3 6XG,575180,Cost of ground diesel fuel consumed,"£26,159.41",,,
Ministry of Defence,Ministry of Defence,23/08/2021,IT and communication services,Air Command,MONITOR INTELLIGENCE SERVICES LTD,SN5 6QR,575119,Information technology services,"£21,718.83",,,
Ministry of Defence,UKHO,23/08/2021,Purchased Services,Corporate Comms,Blue Communications Limited,,2000098392,Purchased Services,"£21,500.00",,,
Ministry of Defence,Ministry of Defence,23/08/2021,Spend on Inventory - General,Defence Equipment and Support,AEBI SCHMIDT UK LIMITED,PE2 6GP,575192,Spend on Inventory - General,"£20,967.11",,,
Ministry of Defence,Ministry of Defence,23/08/2021,Transport hire charges,DEFENCE INFRASTRUCTURE ORGANISATION,BABCOCK LAND DEFENCE LIMITED,SP11 8HT,575182,Transport other operating lease,"£16,893.75",,,
Ministry of Defence,Ministry of Defence,23/08/2021,"Transportation of personnel, freight and travel expenses",Army Command,RAIL SETTLEMENT PLAN LIMITED,NG9 1ND,575050,Military short term detached duty,"£16,793.00",,,
Ministry of Defence,Ministry of Defence,23/08/2021,Estate management,DEFENCE INFRASTRUCTURE ORGANISATION,VEOLIA WATER NEVIS LIMITED,WS11 8JP,575146,Works services - excluding United States forces/NATO + married quarters,"£15,194.00",,,
Ministry of Defence,Ministry of Defence,23/08/2021,Purchase of buildings and military equipment ,Strategic Command,BAE SYSTEMS (OPERATIONS) LIMITED,BH23 4JE,575073,Fiscal asset under construction - capital in year addition,"£14,580.00",,,
Ministry of Defence,Ministry of Defence,23/08/2021,IT and communication services,Head Office and Corporate Services,BOXXE LIMITED,YO31 7RE,575138,Computer equipment costing below the capitalisation threshold,"£14,400.00",,,
Ministry of Defence,Ministry of Defence,23/08/2021,"Transportation of personnel, freight and travel expenses",Strategic Command,RAIL SETTLEMENT PLAN LIMITED,NG9 1ND,575050,Military short term detached duty,"£13,936.50",,,
Ministry of Defence,Ministry of Defence,23/08/2021,IT and communication services,Navy Command,CENTERPRISE INTERNATIONAL LTD,RG24 8GQ,575098,Computer equipment costing below the capitalisation threshold,"£11,880.00",,,
Ministry of Defence,Ministry of Defence,23/08/2021,"Transportation of personnel, freight and travel expenses",Air Command,RAIL SETTLEMENT PLAN LIMITED,NG9 1ND,575050,Civilian short term detached duty,"£10,428.00",,,
Ministry of Defence,Ministry of Defence,23/08/2021,"Transportation of personnel, freight and travel expenses",Army Command,RAIL SETTLEMENT PLAN LIMITED,NG9 1ND,575050,Civilian short term detached duty,"£9,035.70",,,
Ministry of Defence,Ministry of Defence,23/08/2021,Fees for professional services,Army Command,MONITOR INTELLIGENCE SERVICES LTD,SN5 6QR,575119,Costs of administration services/manpower support provided by Defence Science and Technology laboratory excluding research and development,"£6,585.00",,,
Ministry of Defence,Ministry of Defence,23/08/2021,"Transportation of personnel, freight and travel expenses",Strategic Command,RAIL SETTLEMENT PLAN LIMITED,NG9 1ND,575050,Civilian short term detached duty,"£6,342.00",,,
Ministry of Defence,Ministry of Defence,23/08/2021,Spend on Inventory - General,Defence Equipment and Support,DEVONPORT ROYAL DOCKYARD LIMITED,PL1 4SG,575077,Spend on Inventory - General,"£5,330.39",,,
Ministry of Defence,Ministry of Defence,23/08/2021,Purchase of buildings and military equipment ,DEFENCE INFRASTRUCTURE ORGANISATION,TRANT ENGINEERING LIMITED,SO40 9LT,575068,Fiscal asset under construction - capital in year addition,"£4,484.73",,,
Ministry of Defence,Ministry of Defence,23/08/2021,International contributions,Head Office and Corporate Services,FOREIGN COMMONWEALTH & DEVELOPMENT OFFICE,MK10 1PX,300007035,Defence military assistance fund international subscriptions and other payments,"£3,845.99",,,
Ministry of Defence,Ministry of Defence,23/08/2021,Purchase of inventory and services ,Defence Equipment and Support,AEBI SCHMIDT UK LIMITED,PE2 6GP,575192,Cost of other material consumed,"£3,700.45",,,
Ministry of Defence,Ministry of Defence,23/08/2021,Fuel for military use,DEFENCE INFRASTRUCTURE ORGANISATION,CERTAS ENERGY UK LIMITED,WA3 6XG,575180,Cost of ground diesel fuel consumed,"£3,109.25",,,
Ministry of Defence,Ministry of Defence,23/08/2021,Transport hire charges,Strategic Command,BABCOCK LAND DEFENCE LIMITED,SP11 8HT,575182,Estate management,"£2,872.00",,,
Ministry of Defence,Ministry of Defence,23/08/2021,"Transportation of personnel, freight and travel expenses",Air Command,RAIL SETTLEMENT PLAN LIMITED,NG9 1ND,575050,Military short term detached duty,"£2,532.00",,,
Ministry of Defence,Ministry of Defence,23/08/2021,Inventory Accruals,Defence Equipment and Support,DEVONPORT ROYAL DOCKYARD LIMITED,PL1 4SG,575077,Contract Expenditure on Capital Spares that are managed by DE+S Inventory Systems.,"£2,354.40",,,
Ministry of Defence,Ministry of Defence,23/08/2021,IT and communication services,Army Command,BOXXE LIMITED,YO31 7RE,575138,Computer equipment costing below the capitalisation threshold,"£1,764.00",,,
