Department,Entity,Payment Date,Expense Type,Expense Area,Supplier Name,Supplier Site Post Code,Transaction Number,Payment Description,Total,,
Ministry of Defence,Ministry of Defence,28/09/2022,Estate+Facilities Mgmnt Servs,DEFENCE INFRASTRUCTURE ORGANISATION,MITIE (DEFENCE) LIMITED,B70 1DA,648642,Estate+Facilities Mgmnt Servs,"£204,385.46",,
Ministry of Defence,Ministry of Defence,06/09/2022,Capital Spares,Defence Equipment and Support,IAN EDGAR(LIVERPOOL)LIMITED,SK11 0LR,644850,CS Engineering + Technical,"£204,240.00",,
Ministry of Defence,Ministry of Defence,15/09/2022,Estate+Facilities Mgmnt Servs,DEFENCE INFRASTRUCTURE ORGANISATION,MITIE LIMITED,SE1 9SG,646343,Estate+Facilities Mgmnt Servs,"£200,280.65",,
Ministry of Defence,Ministry of Defence,16/09/2022,Assets under Construction,DEFENCE INFRASTRUCTURE ORGANISATION,MITIE LIMITED,SE1 9SG,646858,Fiscal AUC Capital Additions,"£199,897.70",,
Ministry of Defence,Ministry of Defence,27/09/2022,P+M General Services,Defence Equipment and Support,LOCKHEED MARTIN UK LIMITED,PO9 1SA,648331,P+M General Services,"£197,876.28",,
Ministry of Defence,Ministry of Defence,01/09/2022,Estate+Facilities Mgmnt Servs,DEFENCE INFRASTRUCTURE ORGANISATION,KIER CONSTRUCTION LTD,CB25 9PD,643767,Estate+Facilities Mgmnt Servs,"£197,864.41",,
Ministry of Defence,Ministry of Defence,07/09/2022,External Education + Training,Army Command,CUBIC DEFENCE UK LTD.,RH1 5LA,645011,External Training Mil.,"£195,877.61",,
Ministry of Defence,Ministry of Defence,16/09/2022,Telecomms + IT non capital,Navy Command,CARBON60 LIMITED,HP20 2LA,646646,IT+Comms Rental Payments,"£193,214.75",,
Ministry of Defence,Ministry of Defence,13/09/2022,Assets under Construction,Navy Command,PKL GROUP (UK) LTD,GL52 7DQ,645975,Fiscal AUC Capital Additions,"£192,718.20",,
Ministry of Defence,Ministry of Defence,21/09/2022,Fuels Non Utilities Consumed,Army Command,YOUR NRG LTD,TS25 1PW,647231,Fuels Non Utilities Consumed,"£192,112.62",,
Ministry of Defence,Ministry of Defence,27/09/2022,Assets under Construction,Strategic Command,BAE SYSTEMS (OPERATIONS) LIMITED,BH23 4JE,648320,Fiscal AUC Capital Additions,"£191,782.80",,
Ministry of Defence,Ministry of Defence,05 Sep 2022,Assets under Construction,Air Command,CENTERPRISE INTERNATIONAL LTD,RG24 8GQ,644709,Fiscal AUC Capital Additions,"£191,619.16",,
Ministry of Defence,Ministry of Defence,29/09/2022,Fees for Prof Services,DEFENCE INFRASTRUCTURE ORGANISATION,DOOSAN BABCOCK LIMITED,PA4 8DJ,648867,Fees for Other Prof Services,"£189,318.43",,
Ministry of Defence,Ministry of Defence,16/09/2022,Fuels Non Utilities Consumed,Navy Command,CERTAS ENERGY UK LIMITED,WA3 6XG,646714,Fuels Non Utilities Consumed,"£188,125.04",,
Ministry of Defence,Ministry of Defence,22/09/2022,Assets under Construction,DEFENCE INFRASTRUCTURE ORGANISATION,MITIE (DEFENCE) LIMITED,BS32 4NH,6000072002,Fiscal AUC Capital Additions,"£187,395.79",,
Ministry of Defence,Ministry of Defence,16/09/2022,Rental Payments - Buildings,DEFENCE INFRASTRUCTURE ORGANISATION,ASPIRE DEFENCE LIMITED,SP9 7QD,646637,Prop Dw SCA Serv Chrge+ Off BS,"£187,369.02",,
Ministry of Defence,Ministry of Defence,01/09/2022,Estate+Facilities Mgmnt Servs,DEFENCE INFRASTRUCTURE ORGANISATION,MITIE (DEFENCE) LIMITED,BS32 4NH,6000071565,Estate+Facilities Mgmnt Servs,"£186,714.77",,
Ministry of Defence,Ministry of Defence,13/09/2022,Telecomms + IT non capital,Navy Command,BOXXE LIMITED,YO31 7RE,645928,IT+Comms Internal Costs,"£186,216.12",,
Ministry of Defence,Ministry of Defence,08/09/2022,P+M General Services,Army Command,NETCOMPANY UK LIMITED,EC1V 0AT,645243,P+M General Services,"£185,538.75",,
Ministry of Defence,Ministry of Defence,06/09/2022,Fees for Prof Services,DEFENCE INFRASTRUCTURE ORGANISATION,SEVERN TRENT SERVICES DEFENCE LIMITED,CV3 9NT,644766,Fees for Other Prof Services,"£184,741.79",,
Ministry of Defence,Ministry of Defence,08/09/2022,Research+Development Expend,Defence Nuclear Organisation,AWE PLC,RG7 4PR,645129,Research+Development Expend,"£184,003.97",,
Ministry of Defence,Ministry of Defence,28/09/2022,Plant + Machinery,Air Command,NIKON METROLOGY EUROPE N.V.,,648657,P+M Capital Additions In Year,"£183,600.00",,
Ministry of Defence,Ministry of Defence,15/09/2022,Estate+Facilities Mgmnt Servs,DEFENCE INFRASTRUCTURE ORGANISATION,VIVO DEFENCE SERVICES LIMITED,NE12 8EX,646342,Estate+Facilities Mgmnt Servs,"£183,276.86",,
Ministry of Defence,Ministry of Defence,15/09/2022,Assets under Construction,DEFENCE INFRASTRUCTURE ORGANISATION,TRANT ENGINEERING LIMITED,SO40 9LT,646584,Fiscal AUC Capital Additions,"£182,507.69",,
Ministry of Defence,Ministry of Defence,23/09/2022,P+M General Services,Defence Equipment and Support,AVIATION & DEFENCE SPARES LIMITED,BH12 1DW,647706,P+M General Services,"£182,471.85",,
Ministry of Defence,Ministry of Defence,13/09/2022,Telecomms + IT non capital,Strategic Command,RESEARCH INNOVATIONS INCORPORATED,,2000020889,IT+Comms Internal Costs,"£182,359.81",,
Ministry of Defence,Ministry of Defence,14/09/2022,Intangibles Non SUME,Strategic Command,DIGI2AL LIMITED,SE1 9PD,646064,Intangible Cap Additions In Yr,"£180,997.96",,
Ministry of Defence,Ministry of Defence,14/09/2022,Assets under Construction,DEFENCE INFRASTRUCTURE ORGANISATION,RAMBOLL UK LIMITED,SE1 8NW,646138,Fiscal AUC Capital Additions,"£178,319.83",,
Ministry of Defence,Ministry of Defence,27/09/2022,Assets under Construction,DEFENCE INFRASTRUCTURE ORGANISATION,ASPIRE DEFENCE LIMITED,SP9 7QD,648225,Fiscal AUC Capital Additions,"£177,105.85",,
Ministry of Defence,Ministry of Defence,07/09/2022,P+M General Services,Defence Equipment and Support,OCCAR-EA,,6000071670,P+M General Services,"£176,433.64",,
Ministry of Defence,Ministry of Defence,08/09/2022,Fuels Non Utilities Consumed,Army Command,CERTAS ENERGY UK LIMITED,WA3 6XG,645275,Fuels Non Utilities Consumed,"£176,334.82",,
Ministry of Defence,Ministry of Defence,29/09/2022,Telecomms + IT non capital,Strategic Command,XANSIUM CONSULTING LIMITED,GL5 5EQ,648761,IT+Comms Rental Payments,"£175,860.00",,
Ministry of Defence,UKHO,27/09/2022,"Insurance - notional insurance, other",Finance Branch,Willis Limited,,1500022561,"Insurance - notional insurance, other","£175,846.05",,
Ministry of Defence,Ministry of Defence,15/09/2022,P+M General Services,Defence Equipment and Support,PLEXSYS INTERFACE PRODUCTS UK LTD,MK44 3BY,646318,P+M General Services,"£174,471.88",,
Ministry of Defence,Ministry of Defence,15/09/2022,Telecomms + IT non capital,Navy Command,CARBON60 LIMITED,HP20 2LA,646249,IT+Comms Rental Payments,"£174,223.69",,
Ministry of Defence,Ministry of Defence,05/09/2022,P+M General Services,Defence Equipment and Support,RHEINMETALL BAE SYSTEMS LAND LIMITED,NP15 1XL,644531,P+M General Services,"£174,098.19",,
Ministry of Defence,Ministry of Defence,20/09/2022,Telecomms + IT non capital,Strategic Command,"ANDURIL INDUSTRIES, INC.",,646947,IT+Comms Internal Costs,"£173,917.39",,
Ministry of Defence,Ministry of Defence,16/09/2022,P+M General Services,Defence Equipment and Support,NORTHROP GRUMMAN UK LIMITED,SW1Y 4EJ,646781,P+M General Services,"£171,552.92",,
Ministry of Defence,Ministry of Defence,01/09/2022,CL MonthEnd Accruals Balance,Defence Equipment and Support,BABCOCK INTEGRATED TECHNOLOGY  LIMITED,BS3 2HQ,643905,CL MonthEnd Accruals Balance,"£171,067.92",,
Ministry of Defence,Ministry of Defence,16/09/2022,P+M General Services,Defence Equipment and Support,RAYTHEON SYSTEMS LIMITED,CM17 9NA,646754,P+M General Services,"£169,781.11",,
Ministry of Defence,Ministry of Defence,07/09/2022,Telecomms + IT non capital,Army Command,ENTSERV UK LIMITED,GU11 1PZ,645008,IT+Comms SCA Serv Chrg+Off BS,"£169,662.17",,
Ministry of Defence,Ministry of Defence,15/09/2022,Telecomms + IT non capital,Army Command,PA CONSULTING SERVICES LTD,SG8 6DP,646439,IT+Comms Rental Payments,"£169,560.00",,
Ministry of Defence,Ministry of Defence,16/09/2022,Telecomms + IT non capital,Army Command,BOXXE LIMITED,YO31 7RE,646651,IT+Comms Rental Payments,"£169,308.50",,
Ministry of Defence,Ministry of Defence,05/09/2022,P+M General Services,Defence Equipment and Support,BABCOCK INTEGRATED TECHNOLOGY  LIMITED,BS3 2HQ,644510,P+M General Services,"£168,828.05",,
Ministry of Defence,Ministry of Defence,27/09/2022,Defence Equip General Services,Defence Equipment and Support,DEVONPORT ROYAL DOCKYARD LIMITED,PL1 4SG,648230,Defence Eqpt Serv Chrge+Off BS,"£167,681.98",,
Ministry of Defence,Ministry of Defence,02/09/2022,Fees for Prof Services,Air Command,NOVA AEROSPACE LTD,GL7 6BA,644466,Fees for Other Prof Services,"£166,912.00",,
Ministry of Defence,Ministry of Defence,14/09/2022,Fees for Prof Services,Strategic Command,VIMA CONSULTANCY LIMITED,BS26 2RE,646041,PSS Other Tech Support Exc R+D,"£165,484.80",,
Ministry of Defence,Ministry of Defence,20/09/2022,Estate+Facilities Mgmnt Servs,DEFENCE INFRASTRUCTURE ORGANISATION,MITIE LIMITED,SE1 9SG,646940,Estate+Facilities Mgmnt Servs,"£164,883.76",,
Ministry of Defence,Ministry of Defence,28/09/2022,P+M General Services,Defence Equipment and Support,QINETIQ LIMITED,GU14 0LX,648609,P+M General Services,"£164,804.89",,
Ministry of Defence,Ministry of Defence,02/09/2022,Estate+Facilities Mgmnt Servs,DEFENCE INFRASTRUCTURE ORGANISATION,BABCOCK LAND DEFENCE LIMITED,SP11 8HT,6000071596,Estate+Facilities Mgmnt Servs,"£164,579.31",,
Ministry of Defence,Ministry of Defence,27 Sep 2022,Assets under Construction,Defence Equipment and Support,IAN EDGAR(LIVERPOOL)LIMITED,SK11 0LR,648348,SUME AUC Capital Additions,"£164,454.05",,
Ministry of Defence,Ministry of Defence,21/09/2022,Fuels Non Utilities Consumed,Air Command,YOUR NRG LTD,TS25 1PW,647231,Fuels Non Utilities Consumed,"£164,342.03",,
Ministry of Defence,Ministry of Defence,23/09/2022,P+M General Services,Defence Equipment and Support,SUTTON HOUSE LTD,HR1 2J,647776,P+M General Services,"£163,620.95",,
Ministry of Defence,Ministry of Defence,22/09/2022,Rental Payments - Transport,Strategic Command,BABCOCK LAND DEFENCE LIMITED,SP11 8HT,647614,Rental Payments-Transport-Oth,"£163,082.50",,
Ministry of Defence,Ministry of Defence,15/09/2022,Telecomms + IT non capital,Army Command,DELOITTE LLP,MK9 1FD,646359,IT+Comms Rental Payments,"£162,370.80",,
Ministry of Defence,Ministry of Defence,29/09/2022,P+M General Services,Navy Command,NUVIA LIMITED,WA3 6AE,648823,P+M General Services,"£162,029.20",,
Ministry of Defence,Ministry of Defence,15/09/2022,Assets under Construction,DEFENCE INFRASTRUCTURE ORGANISATION,VIVO DEFENCE SERVICES LIMITED,NE12 8EX,646342,Fiscal AUC Capital Additions,"£162,000.00",,
Ministry of Defence,Ministry of Defence,20/09/2022,Telecomms + IT non capital,Strategic Command,CAPITA BUSINESS SERVICES LTD,EC4A 1EN,647120,IT+Comms Rental Payments,"£161,308.92",,
Ministry of Defence,Ministry of Defence,16/09/2022,Telecomms + IT non capital,Air Command,CENTERPRISE INTERNATIONAL LTD,RG24 8GQ,646893,IT+Comms Rental Payments,"£160,800.00",,
Ministry of Defence,Ministry of Defence,23/09/2022,Estate+Facilities Mgmnt Servs,DEFENCE INFRASTRUCTURE ORGANISATION,MITIE (DEFENCE) LIMITED,BS32 4NH,6000072137,Estate+Facilities Mgmnt Servs,"£159,484.32",,
Ministry of Defence,Ministry of Defence,28/09/2022,Telecomms + IT non capital,DES Bespoke Trading Entity,INSIGHT DIRECT (U K) LTD,S9 2BU,648624,IT+Comms Rental Payments,"£158,842.42",,
Ministry of Defence,Ministry of Defence,02/09/2022,P+M General Services,Defence Equipment and Support,DEFENCE ELECTRONIC AND COMPONENTS AGENCY,CH5 2LS,644461,P+M General Services,"£157,034.67",,
Ministry of Defence,Ministry of Defence,20/09/2022,Fees for Prof Services,DEFENCE INFRASTRUCTURE ORGANISATION,PERFECT CIRCLE JV LTD,LE1 1HA,647078,Fees for Other Prof Services,"£156,340.80",,
Ministry of Defence,Royal Hospital Chelsea,23.09.2022,Purchased Services,Royal Hospital Chelsea,CBRE Managed Services Ltd,SE1 0HL,PIN136957,Maintenanace,"£156,325.93",,
Ministry of Defence,Ministry of Defence,21/09/2022,External Education + Training,Air Command,BAE SYSTEMS (OPERATIONS) LIMITED,BA22 8UZ,647164,External Training Mil.,"£155,770.07",,
Ministry of Defence,Ministry of Defence,20/09/2022,Raw Materials + Consumables,Defence Equipment and Support,LAW ENFORCEMENT INTERNATIONAL  LIMITED,AL4 0WA,647069,RMC Armament,"£155,400.00",,
Ministry of Defence,Ministry of Defence,21/09/2022,Assets under Construction,DEFENCE INFRASTRUCTURE ORGANISATION,VOLKERSTEVIN LIMITED,PR2 5PE,647166,Fiscal AUC Capital Additions,"£155,227.58",,
Ministry of Defence,Ministry of Defence,14/09/2022,Assets under Construction,DEFENCE INFRASTRUCTURE ORGANISATION,MITIE LIMITED,SE1 9SG,646090,Fiscal AUC Capital Additions,"£154,469.74",,
Ministry of Defence,Ministry of Defence,16/09/2022,P+M General Services,Defence Equipment and Support,"LEIDOS EUROPE, LIMITED",BS16 7FH,646733,P+M General Services,"£153,141.88",,
Ministry of Defence,Ministry of Defence,16/09/2022,Assets under Construction,DEFENCE INFRASTRUCTURE ORGANISATION,MITIE (DEFENCE) LIMITED,B70 1DA,646876,Fiscal AUC Capital Additions,"£152,995.37",,
Ministry of Defence,Ministry of Defence,27/09/2022,Research+Development Expend,Defence Nuclear Organisation,AWE PLC,RG7 4PR,648214,Research+Development Expend,"£152,712.61",,
Ministry of Defence,Ministry of Defence,09/09/2022,Rental Payments - Transport,Army Command,BABCOCK LAND DEFENCE LIMITED,SP11 8HT,6000071701,Rental Payments-Transport-Oth,"£152,325.97",,
Ministry of Defence,Ministry of Defence,27/09/2022,Telecomms + IT non capital,Army Command,AKHTER COMPUTERS LIMITED,CM19 5QP,648347,IT+Comms Rental Payments,"£151,999.99",,
Ministry of Defence,Ministry of Defence,23/09/2022,Other Materiel Consumed,DES Bespoke Trading Entity,BSI STANDARDS LIMITED,W4 4AL,647796,Other Materiel Consumed,"£151,978.80",,
Ministry of Defence,Ministry of Defence,01/09/2022,Telecomms + IT non capital,Strategic Command,MASTEK (UK) LTD,RG1 8BW,643744,IT+Comms Rental Payments,"£151,900.56",,
Ministry of Defence,Royal Hospital Chelsea,23.09.2022,Purchased Services,Royal Hospital Chelsea,Kind & Company (Builders) Ltd,E11 3EQ,PIN136933,Maintenanace,"£151,791.05",,
Ministry of Defence,Ministry of Defence,21/09/2022,Estate+Facilities Mgmnt Servs,Army Command,BEAVERFIT LIMITED,SY6 6NJ,647376,Estate+Facilities Mgmnt Servs,"£150,707.46",,
Ministry of Defence,Ministry of Defence,01/09/2022,Estate+Facilities Mgmnt Servs,DEFENCE INFRASTRUCTURE ORGANISATION,MITIE LIMITED,SE1 9SG,643911,Estate+Facilities Mgmnt Servs,"£150,291.73",,
Ministry of Defence,Ministry of Defence,15/09/2022,Estate+Facilities Mgmnt Servs,DEFENCE INFRASTRUCTURE ORGANISATION,MITIE (DEFENCE) LIMITED,B70 1DA,646280,Estate+Facilities Mgmnt Servs,"£149,821.73",,
Ministry of Defence,Ministry of Defence,23/09/2022,Fuels Non Utilities Consumed,DEFENCE INFRASTRUCTURE ORGANISATION,CERTAS ENERGY UK LIMITED,WA3 6XG,647886,Fuels Non Utilities Consumed,"£148,225.79",,
Ministry of Defence,Ministry of Defence,27/09/2022,Capital Spares,Defence Equipment and Support,BRIGANTES CONSULTING LIMITED,EX1 1AP,648323,CS Engineering + Technical,"£148,104.00",,
Ministry of Defence,Ministry of Defence,16/09/2022,Transportation + Movement,Army Command,RAIL SETTLEMENT PLAN LIMITED,NG9 1ND,646692,Military Detached Duty,"£147,647.20",,
Ministry of Defence,Ministry of Defence,28/09/2022,Defence Equip General Services,Defence Equipment and Support,MARSHALL LAND SYSTEMS LTD,CB5 8RP,648506,Defence Equip General Services,"£146,530.73",,
Ministry of Defence,Ministry of Defence,02/09/2022,P+M General Services,Defence Equipment and Support,LOCKHEED MARTIN UK LIMITED,PO9 1SA,644002,P+M General Services,"£145,012.00",,
Ministry of Defence,Ministry of Defence,15/09/2022,Telecomms + IT non capital,Strategic Command,MSC DIGITAL LIMITED,BH7 7DU,646344,IT+Comms Rental Payments,"£144,157.50",,
Ministry of Defence,Ministry of Defence,06/09/2022,Med/Welfare/Soc+Rec Costs,Strategic Command,BLATCHFORD LIMITED,RG22 4AH,644846,Medical Costs,"£143,814.21",,
Ministry of Defence,Ministry of Defence,28/09/2022,Telecomms + IT non capital,Strategic Command,BMT DEFENCE AND SECURITY UK LIMITED,BA2 3DQ,648547,IT+Comms Rental Payments,"£143,349.00",,
Ministry of Defence,Ministry of Defence,21/09/2022,P+M General Services,Defence Equipment and Support,HORSTMAN DEFENCE SYSTEMS LTD,BA1 3EX,647298,P+M General Services,"£142,877.86",,
Ministry of Defence,Ministry of Defence,01/09/2022,Telecomms + IT non capital,Navy Command,REDSTONE SOFTWARE & RESEARCH LIMITED,GU31 4WU,643848,IT+Comms Rental Payments,"£142,577.86",,
Ministry of Defence,Ministry of Defence,13/09/2022,Estate+Facilities Mgmnt Servs,DEFENCE INFRASTRUCTURE ORGANISATION,MITIE (DEFENCE) LIMITED,BS32 4NH,6000071746,Estate+Facilities Mgmnt Servs,"£142,309.66",,
Ministry of Defence,Ministry of Defence,22 Sep 2022,Assets under Construction,Defence Equipment and Support,SONARDYNE INTERNATIONAL LTD,GU46 6GD,647551,Fiscal AUC Capital Additions,"£142,119.19",,
Ministry of Defence,Ministry of Defence,29/09/2022,Assets under Construction,DEFENCE INFRASTRUCTURE ORGANISATION,ARCADIS LLP,N1 9AB,648851,Fiscal AUC Capital Additions,"£139,381.00",,
Ministry of Defence,Ministry of Defence,28/09/2022,Assets under Construction,Defence Equipment and Support,"LEIDOS EUROPE, LIMITED",BS16 7FH,648704,Fiscal AUC Capital Additions,"£139,338.00",,
Ministry of Defence,Ministry of Defence,21/09/2022,Rental Payments - Transport,Strategic Command,BABCOCK LAND DEFENCE LIMITED,SP11 8HT,647384,Rental Payments-Transport-Oth,"£138,925.55",,
Ministry of Defence,Ministry of Defence,14/09/2022,Fees for Prof Services,DEFENCE INFRASTRUCTURE ORGANISATION,TETRA TECH MANAGEMENT SERVICES LIMITED,L2 6RE,646058,Fees for Other Prof Services,"£138,893.50",,
Ministry of Defence,Ministry of Defence,09/09/2022,Assets under Construction,DEFENCE INFRASTRUCTURE ORGANISATION,REDS10 (UK) LIMITED,SE1 0HS,645453,Fiscal AUC Capital Additions,"£138,125.00",,
Ministry of Defence,Ministry of Defence,02/09/2022,Transportation + Movement,Air Command,8199400 CANADA INC. SUMMIT AIR,,3209446,Aircraft Landing Fees,"£137,557.66",,
Ministry of Defence,Ministry of Defence,14/09/2022,Estate+Facilities Mgmnt Servs,DEFENCE INFRASTRUCTURE ORGANISATION,MITIE LIMITED,SE1 9SG,646090,Estate+Facilities Mgmnt Servs,"£137,481.35",,
Ministry of Defence,Ministry of Defence,01/09/2022,Research+Development Expend,Defence Equipment and Support,AWE PLC,RG7 4PR,643773,Research+Development Expend,"£137,302.62",,
Ministry of Defence,Ministry of Defence,28/09/2022,Estate+Facilities Mgmnt Servs,Head Office and Corporate Services,BAM FM LIMITED,G33 6FB,648706,Estate+Facilities Mgmnt Servs,"£137,201.68",,
Ministry of Defence,Ministry of Defence,28/09/2022,Assets under Construction,DEFENCE INFRASTRUCTURE ORGANISATION,THE C.S.P. (CYPRUS SERVICES  PROVIDER) JOINT VENTURE,BFPO 53,6000072227,Fiscal AUC Capital Additions,"£136,713.55",,
Ministry of Defence,Ministry of Defence,21/09/2022,Fees for Prof Services,Army Command,MONITOR INTELLIGENCE SERVICES LTD,SN5 6QR,647379,Fees for Other Prof Services,"£136,314.00",,
Ministry of Defence,Ministry of Defence,02/09/2022,External Education + Training,Air Command,META MISSION DATA LIMITED,WR14 3SZ,644049,External Training Civ.,"£136,244.00",,
Ministry of Defence,Ministry of Defence,23/09/2022,NCA003-Estates-Eqipment/Works,DIO-SSG,OPREMA LIMITED ,CF32EY,PC9682AP06,DFD100,"£135,961.51",,
Ministry of Defence,Ministry of Defence,28/09/2022,P+M General Services,Defence Equipment and Support,NORTHERN DIVER (INTERNATIONAL) LTD,WN6 9AE,648685,P+M General Services,"£135,203.60",,
Ministry of Defence,Ministry of Defence,05/09/2022,CL MonthEnd Accruals Balance,Defence Equipment and Support,DEVONPORT ROYAL DOCKYARD LIMITED,PL1 4SG,644716,CL MonthEnd Accruals Balance,"£135,101.70",,
Ministry of Defence,Ministry of Defence,26/09/2022,Estate+Facilities Mgmnt Servs,DEFENCE INFRASTRUCTURE ORGANISATION,AMEY DEFENCE SERVICES LIMITED,B75 7RL,648064,Estate+Facilities Mgmnt Servs,"£135,001.88",,
Ministry of Defence,Ministry of Defence,23/09/2022,P+M General Services,Defence Equipment and Support,HAYS SHIPS LIMITED,AB12 4QL,647836,P+M General Services,"£135,000.00",,
Ministry of Defence,DECA,29/09/2022,DECA - Prev Business Stream 3,Facilities,EMCOR Group (UK) PLC,SO53 3YE,ALB008,Works Planned Maintenance - Aug 22,"£134,834.24",,
Ministry of Defence,Ministry of Defence,28/09/2022,P+M General Services,Defence Equipment and Support,BABCOCK INTEGRATED TECHNOLOGY  LIMITED,BS3 2HQ,648561,P+M General Services,"£133,893.57",,
Ministry of Defence,Ministry of Defence,12/09/2022,Assets under Construction,DEFENCE INFRASTRUCTURE ORGANISATION,JACOBS U.K. LIMITED,G2 7HX,645741,Fiscal AUC Capital Additions,"£131,746.26",,
Ministry of Defence,Ministry of Defence,22/09/2022,Intangibles SUME,Defence Equipment and Support,QINETIQ LIMITED,GU14 0LX,647544,Intangible Cap Additions In Yr,"£130,938.00",,
Ministry of Defence,Ministry of Defence,14/09/2022,Telecomms + IT non capital,Strategic Command,PEOPLE SOURCE CONSULTING LIMITED,BS1 6BA,646016,IT+Comms Rental Payments,"£130,482.00",,
Ministry of Defence,Ministry of Defence,15/09/2022,P+M General Services,Defence Equipment and Support,BABCOCK LAND DEFENCE LIMITED,SP11 8HT,646338,P+M General Services,"£130,150.44",,
Ministry of Defence,Ministry of Defence,16/09/2022,Fuels Non Utilities Consumed,Army Command,CERTAS ENERGY UK LIMITED,FK5 4RB,646629,Fuels Non Utilities Consumed,"£129,807.24",,
Ministry of Defence,Ministry of Defence,20/09/2022,Heating Oil+Utilities Consumed,DEFENCE INFRASTRUCTURE ORGANISATION,CALOR GAS LIMITED,CV34 6RL,647114,Gas,"£129,530.03",,
Ministry of Defence,Ministry of Defence,27/09/2022,P+M General Services,Defence Equipment and Support,BOXXE LIMITED,YO31 7RE,648285,P+M General Services,"£129,368.80",,
Ministry of Defence,Ministry of Defence,26/09/2022,Fuels Non Utilities Consumed,Army Command,YOUR NRG LTD,TS25 1PW,648179,Fuels Non Utilities Consumed,"£129,048.60",,
Ministry of Defence,Ministry of Defence,06/09/2022,Telecomms + IT non capital,DES Bespoke Trading Entity,METHODS ANALYTICS LIMITED,EC1A 4EN,644921,IT+Comms Rental Payments,"£128,400.01",,
Ministry of Defence,DECA,15/09/2022,DECA - Prev Business Stream 3,Facilities,EMCOR Group (UK) PLC,SO53 3YE,ALB005,Works Planned Maintenance - July 22,"£127,995.34",,
Ministry of Defence,Ministry of Defence,05/09/2022,Assets under Construction,DEFENCE INFRASTRUCTURE ORGANISATION,ATKINS LIMITED,SW1E 5BY,644563,Fiscal AUC Capital Additions,"£127,048.63",,
Ministry of Defence,Ministry of Defence,15/09/2022,P+M General Services,Defence Equipment and Support,BABCOCK INTEGRATED TECHNOLOGY  LIMITED,BS3 2HQ,646314,P+M General Services,"£125,513.47",,
Ministry of Defence,Ministry of Defence,12/09/2022,Transportation + Movement,Army Command,RAIL SETTLEMENT PLAN LIMITED,NG9 1ND,645691,Military Detached Duty,"£124,545.30",,
Ministry of Defence,Ministry of Defence,06/09/2022,Fees for Prof Services,Army Command,ALBANY BECK CONSULTANCY SERVICES LTD,HP4 2DF,644807,Fees for Other Prof Services,"£124,470.00",,
Ministry of Defence,Ministry of Defence,27/09/2022,P+M General Services,Army Command,DRUMGRANGE LTD,KT16 9JX,648346,P+M General Services,"£124,463.45",,
Ministry of Defence,Ministry of Defence,28/09/2022,P+M General Services,Defence Equipment and Support,RAYTHEON SYSTEMS LIMITED,CM17 9NA,648452,P+M General Services,"£123,926.14",,
Ministry of Defence,Ministry of Defence,01/09/2022,Defence Equip General Services,Defence Equipment and Support,SYSTEMS ENGINEERING & ASSESSMENT LTD,BA11 6TB,643898,Defence Eqpt Serv Chrge+Off BS,"£121,836.20",,
Ministry of Defence,Ministry of Defence,27/09/2022,Defence Equip General Services,Defence Equipment and Support,SYSTEMS ENGINEERING & ASSESSMENT LTD,BA11 6TB,648357,Defence Eqpt Serv Chrge+Off BS,"£121,836.20",,
Ministry of Defence,Ministry of Defence,16/09/2022,Assets under Construction,DEFENCE INFRASTRUCTURE ORGANISATION,AECOM LIMITED,AL1 3ER,646777,Fiscal AUC Capital Additions,"£121,231.36",,
Ministry of Defence,Ministry of Defence,21/09/2022,Assets under Construction,DEFENCE INFRASTRUCTURE ORGANISATION,JACOBS U.K. LIMITED,G2 7HX,647395,Fiscal AUC Capital Additions,"£120,811.74",,
Ministry of Defence,Ministry of Defence,27/09/2022,Capital Spares,Defence Equipment and Support,BABCOCK INTEGRATED TECHNOLOGY  LIMITED,BS3 2HQ,648193,CS Engineering + Technical,"£120,353.18",,
Ministry of Defence,Ministry of Defence,29/09/2022,Estate+Facilities Mgmnt Servs,DEFENCE INFRASTRUCTURE ORGANISATION,MITIE LIMITED,SE1 9SG,648732,Estate+Facilities Mgmnt Servs,"£120,195.40",,
Ministry of Defence,Ministry of Defence,15/09/2022,Assets under Construction,Defence Equipment and Support,STS DEFENCE LIMITED,B64 5QB,646278,SUME AUC Capital Additions,"£120,000.00",,
Ministry of Defence,Ministry of Defence,12/09/2022,CL MonthEnd Accruals Balance,Defence Equipment and Support,"LEIDOS EUROPE, LIMITED",BS16 7FH,645632,CL MonthEnd Accruals Balance,"£119,645.72",,
Ministry of Defence,Ministry of Defence,15/09/2022,CL MonthEnd Accruals Balance,Defence Equipment and Support,AVIATION & DEFENCE SPARES LIMITED,BH12 1DW,646538,CL MonthEnd Accruals Balance,"£118,908.90",,
Ministry of Defence,Ministry of Defence,08/09/2022,NCA003-Estates-Eqipment/Works,DIO-SSG,PIONEER WELDING CO LTD,CT11 7RX,PC9662AP06,DFD100,"£118,642.67",,
Ministry of Defence,Ministry of Defence,07/09/2022,Rental Payments - Buildings,Head Office and Corporate Services,MODUS SERVICES LIMITED,CF10 2GE,645025,Prop NonDw SCA Srv Chrg+Off BS,"£118,582.92",,
Ministry of Defence,Ministry of Defence,02/09/2022,CL MonthEnd Accruals Balance,Defence Equipment and Support,BABCOCK INTEGRATED TECHNOLOGY  LIMITED,BS3 2HQ,643941,CL MonthEnd Accruals Balance,"£118,346.59",,
