Unique Identifier,Invoice Paid Date,Invoice Cost Centre Description,Invoice Account Description,Supplier Name,Transparency Invoice Amount
July Tranparency 136,19/07/2021,FG CD ESTATES COSTS,EXP - PURCHASE OF GOODS/SERVICES -ACCOMM & BLDNG MGMT - MAINTENANCE & REPAIRS,INSTANT MANAGED OFFICES,"£356,186"
July Tranparency 137,02/07/2021,FG CD ESTATES COSTS,EXP - PURCHASE OF GOODS/SERVICES - BLDNG MANAGEMENT - MAIN CONTRACTOR,INSTANT MANAGED OFFICES,"£355,236"
July Tranparency 138,14/07/2021,DIG IRIS DEL P,EXP - PURCHASE OF GOODS/SERVICES - HOSTING,KAINOS SOFTWARE LTD,"£354,845"
July Tranparency 139,12/07/2021,WWEG EUROPEAN SOCIAL FUND PROGRAMME 2014-2020,CA - OTHER RECEIVABLES - ESF EC CLAIMS PENDING,ESFA ESF PROJECTS,"£354,677"
July Tranparency 140,14/07/2021,DIG ITLR - CONNECTIVITY - PSNC - DELA,AI - PFI - RENTALS UNDER NON-PFI OPERATING LEASES - P&M - CONNECTIVITY,BT GLOBAL SERVICES,"£350,748"
July Tranparency 141,07/07/2021,FG CD ESTATES COSTS,EXP - PURCHASE OF GOODS/SERVICES - BLDNG MANAGEMENT - MAIN CONTRACTOR,ISG FIT OUT LTD,"£350,553"
July Tranparency 142,06/07/2021,FG CD ESTATES TOM DEL A,EXP - PURCHASE OF GOODS/SERVICES -ACCOMM & BLDNG MGMT - MAINTENANCE & REPAIRS,NG BAILEY FACILITIES SERVICES LTD,"£350,532"
July Tranparency 143,29/07/2021,FG CD OPS AND CMG ACQUISITIONS,EXP - PURCHASE OF GOODS/SERVICES - BLDNG MANAGEMENT - MAIN CONTRACTOR,WATES CONSTRUCTION LTD,"£350,354"
July Tranparency 144,12/07/2021,CHG RAR HUB,EXP - PURCHASE OF GOODS/SERVICES - OFFICE RELATED - REPROGRAPHICS,XEROX UK LTD#ZANZIBAR,"£342,726"
July Tranparency 145,14/07/2021,DIG CHILDREN - CMG ACCELERATION ACTIVITY DEL P,EXP - SHORT-TERM CONTRACT & AGENCY STAFF - FULL COST,ACCENTURE UK LTD,"£338,318"
July Tranparency 146,20/07/2021,DIG ITLR - TELEPHONY - PSNT - DELA,EXP - PURCHASE OF GOODS/SERVICES - SUPPORT - ICT OUTSOURCING TELEPHONY,VODAFONE LTD,"£335,528"
July Tranparency 147,13/07/2021,FG CD ESTATES COSTS,EXP - PURCHASE OF GOODS/SERVICES -ACCOMM & BLDNG MGMT - MAINTENANCE & REPAIRS,INSTANT MANAGED OFFICES,"£334,678"
July Tranparency 148,30/07/2021,FG CD ESTATES COSTS,EXP - PURCHASE OF GOODS/SERVICES - BLDNG MANAGEMENT - MAIN CONTRACTOR,KIER CONSTRUCTION LTD,"£334,148"
July Tranparency 149,22/07/2021,FG CD ESTATES RESIDUAL COSTS,EXP - PURCHASE OF GOODS/SERVICES - OTHER PROF SERVICES - NON-ADVISORY,INCENDIUM CONSULTING LTD,"£332,656"
July Tranparency 150,08/07/2021,DIG WORKPLACE COMPUTING SERVICE,EXP - PURCHASE OF GOODS/SERVICES - OFFICE RELATED - EQUIPMENT,COMPUTACENTER UK LTD,"£331,398"
July Tranparency 151,01/07/2021,FG CD ESTATES COSTS,EXP - PURCHASE OF GOODS/SERVICES - BLDNG MANAGEMENT - MAIN CONTRACTOR,KIER CONSTRUCTION LTD,"£326,938"
July Tranparency 152,05/07/2021,FG CS HS PIP LOT 1,EXP - PURCHASE OF GOODS/SERVICES - MEDICAL - PIP F2F ASSESSMENTS,ATOS IT SERVICES UK LTD TRADING AS INDEPENDENT ASSESSMENT SERVICES,"£323,676"
July Tranparency 153,22/07/2021,OPS LB BELFAST SERVICE CENTRE,EXP - PURCHASE OF GOODS/SERVICES - OTHER - NORTHERN IRELAND NON STAFF COSTS,DEPARTMENT FOR COMMUNITIES,"£322,956"
July Tranparency 154,08/07/2021,OPS SE ST DIRECTOR,EXP - PURCHASE OF GOODS/SERVICES - END USER SOFTWARE AND HARDWARE,HIPPO DIGITAL LTD,"£318,173"
July Tranparency 155,27/07/2021,CHG UC DIGITAL SERVICES-RECURRENT,EXP - PURCHASE OF GOODS/SERVICES - HOSTING,ACF TECHNOLOGIES (UK) LTD,"£310,616"
July Tranparency 156,23/07/2021,FG CD ESTATES COSTS,EXP - PURCHASE OF GOODS/SERVICES -ACCOMM & BLDNG MGMT - MAINTENANCE & REPAIRS,INSTANT MANAGED OFFICES,"£309,571"
July Tranparency 157,27/07/2021,WWEG EUROPEAN SOCIAL FUND PROGRAMME 2014-2020,CA - OTHER RECEIVABLES - ESF EC CLAIMS PENDING,DURHAMDIRECTIONS,"£309,001"
July Tranparency 158,13/07/2021,FG CD ESTATES COSTS,EXP - PURCHASE OF GOODS/SERVICES -ACCOMM & BLDNG MGMT - MAINTENANCE & REPAIRS,INSTANT MANAGED OFFICES,"£305,245"
July Tranparency 159,26/07/2021,FG CD ESTATES COSTS,EXP - PURCHASE OF GOODS/SERVICES - OTHER PROF SERVICES - NON-ADVISORY,INSTANT MANAGED OFFICES,"£304,880"
July Tranparency 160,02/07/2021,FG CD ESTATES COSTS,EXP - PURCHASE OF GOODS/SERVICES -ACCOMM & BLDNG MGMT - MAINTENANCE & REPAIRS,INSTANT MANAGED OFFICES,"£301,667"
July Tranparency 161,19/07/2021,WWEG EUROPEAN SOCIAL FUND PROGRAMME 2014-2020,CA - OTHER RECEIVABLES - ESF EC CLAIMS PENDING,ESFA ESF PROJECTS,"£300,547"
July Tranparency 162,20/07/2021,WWEG EUROPEAN SOCIAL FUND PROGRAMME 2014-2020,CA - OTHER RECEIVABLES - ESF EC CLAIMS PENDING,WORKS BETTER ENHANCED,"£299,291"
July Tranparency 163,07/07/2021,FG CD STRATEGY AND BUSINESS MANAGEMENT,EXP - PURCHASE OF GOODS/SERVICES - HOSTING,PIXEL GROUP LTD,"£299,010"
July Tranparency 164,02/07/2021,OPS CFC DEBT CONTRACTS,EXP - PURCHASE OF GOODS/SERVICES - OTHER FACILITIES - CONTACT CENTRES,SERCO LTD,"£298,691"
July Tranparency 165,13/07/2021,WWEG EUROPEAN SOCIAL FUND PROGRAMME 2014-2020,CA - OTHER RECEIVABLES - ESF EC CLAIMS PENDING,NORTH EAST AMBITION PROGRAMME,"£297,947"
July Tranparency 166,19/07/2021,DIG PAYMENTS - STRATEGIC ARA DEL P,EXP - SHORT-TERM CONTRACT & AGENCY STAFF - FULL COST,ACCENTURE UK LTD,"£296,554"
July Tranparency 167,01/07/2021,FG CD ESTATES COSTS,EXP - PURCHASE OF GOODS/SERVICES - BLDNG MANAGEMENT - MAIN CONTRACTOR,KIER CONSTRUCTION LTD,"£296,319"
July Tranparency 168,26/07/2021,DIG INTELLIGENT AUTOMATION GARAGE MAINTENANCE,EXP - SHORT-TERM CONTRACT & AGENCY STAFF - FULL COST,ACCENTURE UK LTD,"£290,743"
July Tranparency 169,15/07/2021,FG CD ESTATES COSTS,EXP - PURCHASE OF GOODS/SERVICES - OTHER PROF SERVICES - NON-ADVISORY,INCENDIUM CONSULTING LTD,"£285,443"
July Tranparency 170,15/07/2021,DIG CROSS CUTTING SERVICES,EXP - PURCHASE OF GOODS/SERVICES - HOSTING,SCOTT LOGIC LTD,"£284,394"
July Tranparency 171,12/07/2021,HR OHS,EXP - PURCHASE OF GOODS/SERVICES - PERSONNEL - OCCUPATIONAL HEALTH SERVICE,PAM GROUP,"£278,934"
July Tranparency 172,29/07/2021,FG CD ESTATES COSTS,EXP - PURCHASE OF GOODS/SERVICES -ACCOMM & BLDNG MGMT - MAINTENANCE & REPAIRS,INSTANT MANAGED OFFICES,"£277,978"
July Tranparency 173,05/07/2021,DIG AUTHENTICATE,EXP - PURCHASE OF GOODS/SERVICES - HOSTING,CABINET OFFICE,"£275,558"
July Tranparency 174,06/07/2021,FG CD CORPORATE CHARGES,EXP - PURCHASE OF GOODS/SERVICES - OFFICE RELATED - POSTAGE,UK MAIL,"£273,361"
July Tranparency 175,07/07/2021,CHG KICK START,EXP - SHORT-TERM CONTRACT & AGENCY STAFF - FULL COST,LA INTERNATIONAL COMPUTER CONSULTANTS LTD,"£273,149"
July Tranparency 176,14/07/2021,CHG KICK START,EXP - SHORT-TERM CONTRACT & AGENCY STAFF - FULL COST,LA INTERNATIONAL COMPUTER CONSULTANTS LTD,"£273,149"
July Tranparency 177,08/07/2021,FG CD ESTATES COSTS,EXP - PURCHASE OF GOODS/SERVICES - BLDNG MANAGEMENT - MAIN CONTRACTOR,KIER CONSTRUCTION LTD,"£272,515"
July Tranparency 178,08/07/2021,FG CD ESTATES COSTS,EXP - PURCHASE OF GOODS/SERVICES - BLDNG MANAGEMENT - MAIN CONTRACTOR,ISG FIT OUT LTD,"£270,325"
July Tranparency 179,23/07/2021,DIG WORKPLACE COMPUTING SERVICE,EXP - PURCHASE OF GOODS/SERVICES - SUPPORT - ICT OUTSOURCING SOFTWARE LICENCES,BYTES SOFTWARE SERVICES LTD,"£268,056"
July Tranparency 180,14/07/2021,FG CD ESTATES TOM DEL P,EXP - PURCHASE OF GOODS/SERVICES - GAS,CORONA ENERGY RETAIL 4 LTD SCC UTILITIES ONLY,"£265,855"
July Tranparency 181,29/07/2021,COMMS SPARE 1,EXP - PURCHASE OF GOODS/SERVICES - MARKETING & MEDIA,MANNING GOTTLIEB OMD,"£265,210"
July Tranparency 182,05/07/2021,FG CD ESTATES COSTS,EXP - PURCHASE OF GOODS/SERVICES - BLDNG MANAGEMENT - MAIN CONTRACTOR,KIER CONSTRUCTION LTD,"£261,825"
July Tranparency 183,07/07/2021,DIG - NETWORK TRANSFORMATION DEL P,EXP - PURCHASE OF GOODS/SERVICES - HOSTING,UBDS IT CONSULTING LTD,"£257,170"
July Tranparency 184,19/07/2021,DIG - NETWORK TRANSFORMATION DEL P,EXP - PURCHASE OF GOODS/SERVICES - HOSTING,BT GLOBAL SERVICES,"£256,560"
July Tranparency 185,26/07/2021,FG CD ESTATES COSTS,EXP - PURCHASE OF GOODS/SERVICES - OTHER PROF SERVICES - NON-ADVISORY,INSTANT MANAGED OFFICES,"£247,194"
July Tranparency 186,13/07/2021,CHG FES WORK MANAGEMENT,EXP - PURCHASE OF GOODS/SERVICES - END USER SOFTWARE AND HARDWARE,COFORGE DPA UK LTD,"£242,730"
July Tranparency 187,14/07/2021,DIG ITLR - CONNECTIVITY - PSNC - DELA,AI - PFI - RENTALS UNDER NON-PFI OPERATING LEASES - P&M - CONNECTIVITY,BT GLOBAL SERVICES,"£241,929"
July Tranparency 188,06/07/2021,DIG WA SOFTWARE & SERVICES DEL P,EXP - PURCHASE OF GOODS/SERVICES - END USER SOFTWARE AND HARDWARE,ADHUNTER LTD,"£241,113"
July Tranparency 189,15/07/2021,OPS CFC DISCRETE BUDGET CONTROL,EXP - PURCHASE OF GOODS/SERVICES - TRAINING & DEVELOPMENT,CAPITA BUSINESS SERVICES LTD TA KNOWLEDGEPOOL,"£235,825"
July Tranparency 190,01/07/2021,WWEG EUROPEAN SOCIAL FUND PROGRAMME 2014-2020,CA - OTHER RECEIVABLES - ESF EC CLAIMS PENDING,THE BIG LOTTERY FUND,"£235,568"
July Tranparency 191,13/07/2021,DIG ITLR ADEP AM - ACCENTURE DEL P,EXP - PURCHASE OF GOODS/SERVICES - OTHER ICT COSTS,ACCENTURE UK LTD,"£234,629"
July Tranparency 192,05/07/2021,DIG AUTHENTICATE,EXP - PURCHASE OF GOODS/SERVICES - HOSTING,CABINET OFFICE,"£233,234"
July Tranparency 193,30/07/2021,DIG STB FUNDED ACCESS TO WORK - HEALTH & DISABILITY DEL P,EXP - PURCHASE OF GOODS/SERVICES - OTHER ICT COSTS,CAPGEMINI UK PLC,"£229,284"
July Tranparency 194,30/07/2021,FG CD ESTATES COSTS,EXP - PURCHASE OF GOODS/SERVICES - BLDNG MANAGEMENT - MAIN CONTRACTOR,KIER CONSTRUCTION LTD,"£229,261"
July Tranparency 195,13/07/2021,DIG DATA TRANSFORMATION,EXP - PURCHASE OF GOODS/SERVICES - OTHER ICT COSTS,CREDERA LTD,"£221,325"
July Tranparency 196,09/07/2021,DIG STB FUNDED ACCESS TO WORK - HEALTH & DISABILITY DEL P,EXP - PURCHASE OF GOODS/SERVICES - OTHER ICT COSTS,CAPGEMINI UK PLC,"£220,706"
July Tranparency 197,07/07/2021,FG ESRM ENTERPRISE SECURITY AND RISK MANAGEMENT,EXP - PURCHASE OF GOODS/SERVICES - HOSTING,AURIGA CONSULTING LTD,"£220,663"
July Tranparency 198,30/07/2021,FG CD ESTATES TOM DEL A,EXP - PURCHASE OF GOODS/SERVICES - ACCOMM & BLDNG MGMT - FURNITURE & FITTINGS,WAGSTAFF BROS LTD T/A WAGSTAFF INTERIORS GROUP,"£218,939"
July Tranparency 199,21/07/2021,WWEG EUROPEAN SOCIAL FUND PROGRAMME 2014-2020,CA - OTHER RECEIVABLES - ESF EC CLAIMS PENDING,ESFA ESF PROJECTS,"£215,680"
July Tranparency 200,06/07/2021,WWEG EUROPEAN SOCIAL FUND PROGRAMME 2014-2020,CA - OTHER RECEIVABLES - ESF EC CLAIMS PENDING,THE BIG LOTTERY FUND,"£215,403"
July Tranparency 201,30/07/2021,FG CD ESTATES OTHER COSTS DEL P,EXP - PURCHASE OF GOODS/SERVICES - BLDNG MANAGEMENT - SECURITY,G4S SECURE SOLUTIONS UK LTD,"£214,182"
July Tranparency 202,01/07/2021,WWEG EUROPEAN SOCIAL FUND PROGRAMME 2014-2020,CA - OTHER RECEIVABLES - ESF EC CLAIMS PENDING,THE BIG LOTTERY FUND,"£212,476"
July Tranparency 203,13/07/2021,FG CRC PROTECTIVE MONITORING INTEGRATION,EXP - PURCHASE OF GOODS/SERVICES - HOSTING,SOMERFORD ASSOCIATES LTD,"£210,666"
July Tranparency 204,09/07/2021,FG ESRM ENTERPRISE SECURITY AND RISK MANAGEMENT,EXP - PURCHASE OF GOODS/SERVICES - HOSTING,AURIGA CONSULTING LTD,"£209,543"
July Tranparency 205,28/07/2021,CMG OPS EXTERNAL CONTRACTS/SLAS OPTIONS,EXP - PURCHASE OF GOODS/SERVICES - OTHER FACILITIES - CONTACT CENTRES,G4S GOVERNMENT AND OUTSOURCING SERVICES UK LTD,"£208,836"
July Tranparency 206,19/07/2021,EP CEP PHASE 2 NEA NB CPA02 CENTRAL ENGLAND,EXP - PURCHASE OF GOODS/SERVICES - SOCIAL CARE ,PINNACLE PEOPLE,"£208,123"
July Tranparency 207,07/07/2021,FG CD ESTATES TOM DEL A,EXP - PURCHASE OF GOODS/SERVICES - ACCOMMODATION & BLDNG MANAGEMENT - OFFICE CLEANING,MITIE FM LTD ,"£207,905"
July Tranparency 208,19/07/2021,FG CD ESTATES COSTS,EXP - PURCHASE OF GOODS/SERVICES -ACCOMM & BLDNG MGMT - MAINTENANCE & REPAIRS,INSTANT MANAGED OFFICES,"£203,842"
July Tranparency 209,01/07/2021,FG CD ESTATES COSTS,EXP - PURCHASE OF GOODS/SERVICES - BLDNG MANAGEMENT - MAIN CONTRACTOR,KIER CONSTRUCTION LTD,"£202,539"
July Tranparency 210,29/07/2021,DIG TRANSITIONAL HOSTING SERVICE,EXP - PURCHASE OF GOODS/SERVICES - HOSTING,HMRC,"£198,968"
July Tranparency 211,30/07/2021,SE SPD RECORDS MANAGEMENT,EXP - PURCHASE OF GOODS/SERVICES - OFFICE RELATED - REMOTE STORAGE,RESTORE PLC DOCUMENT MANAGEMENT SERVICES DIVISION,"£198,100"
July Tranparency 212,02/07/2021,WWEG EUROPEAN SOCIAL FUND PROGRAMME 2014-2020,CA - OTHER RECEIVABLES - ESF EC CLAIMS PENDING,THE BIG LOTTERY FUND,"£192,196"
July Tranparency 213,14/07/2021,DIG BULK PRINT SERVICE DEL P,EXP - PURCHASE OF GOODS/SERVICES - HOSTING,WILLIAMS LEA CCM LTD,"£192,109"
July Tranparency 214,26/07/2021,FG CD ESTATES TOM DEL A,EXP - PURCHASE OF GOODS/SERVICES - ACCOMMODATION & BLDNG MANAGEMENT - OFFICE CLEANING,MITIE FM LTD ,"£189,440"
July Tranparency 215,07/07/2021,FG CD ESTATES COSTS,Exp - Purchase Of Goods/Services - Consultancy,DENTONS UK & MIDDLE EAST LLP,"£187,246"
July Tranparency 216,02/07/2021,DIG - NETWORK TRANSFORMATION DEL P,EXP - PURCHASE OF GOODS/SERVICES - SUPPORT - ICT OUTSOURCING - CONNECTIVITY,BT GLOBAL SERVICES,"£187,165"
July Tranparency 217,22/07/2021,DIG CHILDREN  - LIVE SERVICE DEL P,EXP - PURCHASE OF GOODS/SERVICES - OTHER ICT COSTS,TATA CONSULTANCY SERVICES LTD,"£182,897"
July Tranparency 218,29/07/2021,DIG DDSP BUSINESS SERVICES,EXP - SHORT-TERM CONTRACT & AGENCY STAFF - FULL COST,IBM UK LTD,"£182,364"
July Tranparency 219,29/07/2021,FG CD ESTATES TOM DEL A,EXP - PURCHASE OF GOODS/SERVICES - BLDNG MANAGEMENT - INTEGRATOR,SODEXO LTD,"£181,534"
July Tranparency 220,13/07/2021,FG CRC PROTECTIVE MONITORING INTEGRATION,EXP - PURCHASE OF GOODS/SERVICES - HOSTING,SOMERFORD ASSOCIATES LTD,"£180,624"
July Tranparency 221,01/07/2021,WWEG EUROPEAN SOCIAL FUND PROGRAMME 2014-2020,CA - OTHER RECEIVABLES - ESF EC CLAIMS PENDING,THE BIG LOTTERY FUND,"£178,289"
July Tranparency 222,27/07/2021,DIG CROSS DWP DATA GOV POLICY & IMPLEMENTATION,EXP - PURCHASE OF GOODS/SERVICES - HOSTING,DELOITTE LLP,"£177,650"
July Tranparency 223,20/07/2021,FG CD ESTATES TOM DEL P,EXP - PURCHASE OF GOODS/SERVICES - BLDNG MANAGEMENT - MAIN CONTRACTOR,SODEXO LTD,"£175,053"
July Tranparency 224,06/07/2021,WWEG EUROPEAN SOCIAL FUND PROGRAMME 2014-2020,CA - OTHER RECEIVABLES - ESF EC CLAIMS PENDING,THE BIG LOTTERY FUND,"£171,123"
July Tranparency 225,26/07/2021,FG CD OPS AND CMG ACQUISITIONS,EXP - PURCHASE OF GOODS/SERVICES - ACCOMM & BLDNG MGMT - FURNITURE & FITTINGS,SPELLER METCALFE MALVERN LTD,"£170,985"
July Tranparency 226,14/07/2021,DIG BULK PRINT SERVICE DEL P,EXP - PURCHASE OF GOODS/SERVICES - HOSTING,WILLIAMS LEA CCM LTD,"£170,094"
July Tranparency 227,27/07/2021,DIG DIGITAL CROSS BOUNDARY TEAM INITIATIVES DEL P,EXP - SHORT-TERM CONTRACT & AGENCY STAFF - FULL COST,CAPGEMINI UK PLC,"£169,924"
July Tranparency 228,06/07/2021,WWEG EUROPEAN SOCIAL FUND PROGRAMME 2014-2020,CA - OTHER RECEIVABLES - ESF EC CLAIMS PENDING,THE BIG LOTTERY FUND,"£164,884"
July Tranparency 229,02/07/2021,WWEG EUROPEAN SOCIAL FUND PROGRAMME 2014-2020,CA - OTHER RECEIVABLES - ESF EC CLAIMS PENDING,THE BIG LOTTERY FUND,"£164,542"
July Tranparency 230,14/07/2021,"DIG ENGAGEMENT, ADOPTION & RELEASE SERVICE",EXP - SHORT-TERM CONTRACT & AGENCY STAFF - FULL COST,ACCENTURE UK LTD,"£163,632"
July Tranparency 231,05/07/2021,FG CD ESTATES TOM DEL A,EXP - PURCHASE OF GOODS/SERVICES - ACCOMM & BLDNG MGMT - FURNITURE & FITTINGS,WAGSTAFF BROS LTD T/A WAGSTAFF INTERIORS GROUP,"£161,116"
July Tranparency 232,14/07/2021,FG CD ESTATES TOM DEL P,EXP - PURCHASE OF GOODS/SERVICES - WATER,SCOTTISH WATER BUSINESS STREAM LTD,"£158,351"
July Tranparency 233,14/07/2021,DIG ON PREMISES HOSTING REFRESH,EXP - PURCHASE OF GOODS/SERVICES - HOSTING,REDESMERE LTD,"£158,082"
July Tranparency 234,07/07/2021,CHG INTEGRATED SERVICE,EXP - PURCHASE OF GOODS/SERVICES - OTHER ICT COSTS,BJSS LTD,"£157,497"
July Tranparency 235,15/07/2021,FG CRC CYBER RESILIENCE CENTRE,EXP - PURCHASE OF GOODS/SERVICES - OTHER ICT COSTS,PIONEN LTD,"£151,200"
July Tranparency 236,20/07/2021,FG CD ESTATES TOM DEL A,EXP - PURCHASE OF GOODS/SERVICES - ACCOMMODATION & BLDNG MANAGEMENT,CUSHMAN & WAKEFIELD DEBENHAM TIE LEUNG LTD,"£149,620"
July Tranparency 237,14/07/2021,WWEG EUROPEAN SOCIAL FUND PROGRAMME 2014-2020,CA - OTHER RECEIVABLES - ESF EC CLAIMS PENDING,ESFA ESF PROJECTS,"£148,084"
July Tranparency 238,28/07/2021,CHG KICK START,EXP - SHORT-TERM CONTRACT & AGENCY STAFF - FULL COST,IBM UNITED KINGDOM LTD,"£148,080"
July Tranparency 239,09/07/2021,WWEG EUROPEAN SOCIAL FUND PROGRAMME 2014-2020,CA - OTHER RECEIVABLES - ESF EC CLAIMS PENDING,ESFA ESF PROJECTS,"£142,614"
July Tranparency 240,26/07/2021,FG CD ESTATES COSTS,EXP - PURCHASE OF GOODS/SERVICES -ACCOMM & BLDNG MGMT - MAINTENANCE & REPAIRS,INSTANT MANAGED OFFICES,"£141,452"
July Tranparency 241,07/07/2021,DIG TEAM COLLABORATION ,EXP - PURCHASE OF GOODS/SERVICES - SUPPORT - ICT OUTSOURCING SOFTWARE MAIN & SUP,INVOTRA LTD,"£138,611"
July Tranparency 242,01/07/2021,FG CD ESTATES COSTS,EXP - PURCHASE OF GOODS/SERVICES - BLDNG MANAGEMENT - MAIN CONTRACTOR,KIER CONSTRUCTION LTD,"£136,697"
July Tranparency 243,28/07/2021,DIG RBC - COMMERCIAL COSTS,EXP - PURCHASE OF GOODS/SERVICES - OTHER ICT COSTS,SCRUMCONNECT LTD,"£136,170"
July Tranparency 244,21/07/2021,DIG NOTIFICATION SERVICE PROJECT DELP,EXP - SHORT-TERM CONTRACT & AGENCY STAFF - FULL COST,ACCENTURE UK LTD,"£134,460"
July Tranparency 245,08/07/2021,DIG CONTACT CENTRE SERVICE DEL P,EXP - PURCHASE OF GOODS/SERVICES - SUPPORT - ICT OUTSOURCING CONTACT CENTRES,BT GLOBAL SERVICE SOLUTIONS,"£134,395"
July Tranparency 246,21/07/2021,FG CD OPS AND CMG ACQUISITIONS,EXP - PURCHASE OF GOODS/SERVICES -OTHER PROFESSIONAL SERVICES - LEGAL,DENTONS UK AND MIDDLE EAST LLP,"£134,367"
July Tranparency 247,14/07/2021,FG CD ESTATES COSTS,EXP - PURCHASE OF GOODS/SERVICES -ACCOMM & BLDNG MGMT - MAINTENANCE & REPAIRS,INSTANT MANAGED OFFICES,"£133,921"
July Tranparency 248,08/07/2021,DIG WORKPLACE COMPUTING SERVICE,EXP - PURCHASE OF GOODS/SERVICES - OFFICE RELATED - EQUIPMENT,COMPUTACENTER UK LTD,"£133,283"
July Tranparency 249,29/07/2021,DIG DDSP BUSINESS SERVICES,EXP - SHORT-TERM CONTRACT & AGENCY STAFF - FULL COST,IBM UK LTD,"£133,128"
July Tranparency 250,15/07/2021,DIG NOTIFICATION SERVICE PROJECT DELP,EXP - SHORT-TERM CONTRACT & AGENCY STAFF - FULL COST,OPEN TEXT UK LTD,"£131,326"
July Tranparency 251,06/07/2021,WWEG EUROPEAN SOCIAL FUND PROGRAMME 2014-2020,CA - OTHER RECEIVABLES - ESF EC CLAIMS PENDING,DURHAM ADVANCE,"£131,056"
July Tranparency 252,19/07/2021,FG CD ESTATES COSTS,EXP - PURCHASE OF GOODS/SERVICES -ACCOMM & BLDNG MGMT - MAINTENANCE & REPAIRS,INSTANT MANAGED OFFICES,"£130,364"
July Tranparency 253,29/07/2021,DIG DDSP BUSINESS SERVICES,EXP - SHORT-TERM CONTRACT & AGENCY STAFF - FULL COST,IBM UK LTD,"£128,337"
July Tranparency 254,16/07/2021,WWEG EUROPEAN SOCIAL FUND PROGRAMME 2014-2020,CA - OTHER RECEIVABLES - ESF EC CLAIMS PENDING,CARING FOR THE FUTURE,"£126,654"
July Tranparency 255,05/07/2021,FG CD ESTATES COSTS,EXP - PURCHASE OF GOODS/SERVICES - BLDNG MANAGEMENT - MAIN CONTRACTOR,KIER CONSTRUCTION LTD,"£126,525"
July Tranparency 256,06/07/2021,DIG DIGITAL CROSS BOUNDARY TEAM INITIATIVES DEL P,EXP - PURCHASE OF GOODS/SERVICES - HOSTING,LAYER 7 IT SECURITY,"£126,310"
July Tranparency 257,21/07/2021,CHG INTEGRATED SERVICE,EXP - PURCHASE OF GOODS/SERVICES - OTHER ICT COSTS,BJSS LTD,"£125,273"
July Tranparency 258,06/07/2021,WWEG EUROPEAN SOCIAL FUND PROGRAMME 2014-2020,CA - OTHER RECEIVABLES - ESF EC CLAIMS PENDING,THE BIG LOTTERY FUND,"£124,951"
July Tranparency 259,26/07/2021,FG CD ESTATES TOM DEL A,EXP - PURCHASE OF GOODS/SERVICES - BLDNG MANAGEMENT - SECURITY,G4S SECURE SOLUTIONS UK LTD,"£124,615"
July Tranparency 260,01/07/2021,COMMS SPARE 1,EXP - PURCHASE OF GOODS/SERVICES - MARKETING & MEDIA - PRODUCTION,MANNING GOTTLIEB OMD,"£124,211"
July Tranparency 261,27/07/2021,DIG ECMS PROJECT,EXP - SHORT-TERM CONTRACT & AGENCY STAFF - FULL COST,CAPGEMINI UK PLC,"£123,746"
July Tranparency 262,26/07/2021,SE CE CUSTOMER INSIGHT,EXP - SHORT-TERM CONTRACT & AGENCY STAFF - FULL COST,ACCENTURE UK LTD,"£121,060"
July Tranparency 263,27/07/2021,FG CD ESTATES TOM DEL P,EXP - PURCHASE OF GOODS/SERVICES - BLDNG MANAGEMENT - MAIN CONTRACTOR,MORRIS & SPOTTISWOOD,"£121,012"
July Tranparency 264,29/07/2021,DIG - SECURITY PROJECTS DEL P,EXP - PURCHASE OF GOODS/SERVICES - HOSTING,COMPUTACENTER UK LTD,"£120,459"
July Tranparency 265,19/07/2021,DIG CARERS POC - CARERS PATHFINDER DEL P,EXP - PURCHASE OF GOODS/SERVICES - HOSTING,SCRUMCONNECT LTD,"£120,250"
July Tranparency 266,02/07/2021,FG CSO CHIEF SECURITY OFFICER,EXP - PURCHASE OF GOODS/SERVICES - OTHER - DEPARTMENTAL SUBSCRIPTIONS,CABINET OFFICE,"£120,000"
July Tranparency 267,14/07/2021,WWEG EUROPEAN SOCIAL FUND PROGRAMME 2014-2020,CA - OTHER RECEIVABLES - ESF EC CLAIMS PENDING,ESFA ESF PROJECTS,"£117,646"
July Tranparency 268,29/07/2021,DIG TECH PLATFORM CIS SEF,EXP - PURCHASE OF GOODS/SERVICES - OTHER ICT COSTS,CAPGEMINI UK PLC,"£116,687"
July Tranparency 269,14/07/2021,DIG CONTACT CENTRE MAINTENANCE NGCC2022 DEL P,EXP - PURCHASE OF GOODS/SERVICES - HOSTING,HIPPO DIGITAL LTD,"£115,900"
July Tranparency 270,09/07/2021,DIG MOBILE DEVICES CONTRACT DEL A,EXP - PURCHASE OF GOODS/SERVICES - SUPPORT - ICT OUTSOURCING TELEPHONY,VODAFONE LTD,"£114,125"
July Tranparency 271,05/07/2021,FG CRC CYBER RESILIENCE CENTRE,EXP - PURCHASE OF GOODS/SERVICES - OTHER ICT COSTS,PIONEN LTD,"£113,850"
July Tranparency 272,06/07/2021,WWEG EUROPEAN SOCIAL FUND PROGRAMME 2014-2020,CA - OTHER RECEIVABLES - ESF EC CLAIMS PENDING,THE BIG LOTTERY FUND,"£113,446"
July Tranparency 273,09/07/2021,WWEG EUROPEAN SOCIAL FUND PROGRAMME 2014-2020,CA - OTHER RECEIVABLES - ESF EC CLAIMS PENDING,HULL CLLD PROJECT,"£112,999"
