Identifier,Invoice Paid Date,Invoice Cost Centre Description,Invoice Account Description,Supplier Name,Transparency Invoice Amount
Transparency Aug 134,12/08/2021,DIG CONTACT CENTRE SERVICE DEL P,EXP - PURCHASE OF GOODS/SERVICES - SUPPORT - ICT OUTSOURCING CONTACT CENTRES,BT GLOBAL SERVICE SOLUTIONS,"£310,452"
Transparency Aug 135,18/08/2021,DIG IOS ARCHITECTURE DESIGN,EXP - PURCHASE OF GOODS/SERVICES - OTHER ICT COSTS,IBM UK LTD,"£310,152"
Transparency Aug 136,27/08/2021,OPS LB BELFAST SERVICE CENTRE,EXP - PURCHASE OF GOODS/SERVICES - OTHER - NORTHERN IRELAND NON STAFF COSTS,DEPARTMENT FOR COMMUNITIES,"£309,501"
Transparency Aug 137,23/08/2021,DIG IRIS DEL P,EXP - PURCHASE OF GOODS/SERVICES - HOSTING,KAINOS SOFTWARE LTD,"£308,109"
Transparency Aug 138,09/08/2021,FG CD ESTATES COSTS,EXP - PURCHASE OF GOODS/SERVICES - BLDNG MANAGEMENT - MAIN CONTRACTOR,ISG FIT OUT LTD,"£298,680"
Transparency Aug 139,19/08/2021,DIG CROSS CUTTING SERVICES,EXP - PURCHASE OF GOODS/SERVICES - HOSTING,SCOTT LOGIC LTD,"£288,842"
Transparency Aug 140,27/08/2021,OPS LB BELFAST SERVICE CENTRE,EXP - PURCHASE OF GOODS/SERVICES - OTHER - NORTHERN IRELAND NON STAFF COSTS,DEPARTMENT FOR COMMUNITIES,"£285,873"
Transparency Aug 141,12/08/2021,OPS PEN PS DIRECTOR OF PENSIONS OPERATIONS AND SUPPORT,EXP - PURCHASE OF GOODS/SERVICES - OTHER FACILITIES - CONTACT CENTRES,G4S GOVERNMENT AND OUTSOURCING SERVICES UK LTD,"£285,763"
Transparency Aug 142,04/08/2021,WWEG EUROPEAN SOCIAL FUND PROGRAMME 2014-2020,CA - OTHER RECEIVABLES - ESF EC CLAIMS PENDING,ESFA ESF PROJECTS,"£282,832"
Transparency Aug 143,18/08/2021,DIG CHILDREN - CMG ACCELERATION ACTIVITY DEL P,EXP - SHORT-TERM CONTRACT & AGENCY STAFF - FULL COST,ACCENTURE UK LTD,"£282,251"
Transparency Aug 144,27/08/2021,OPS LB BELFAST SERVICE CENTRE,EXP - PURCHASE OF GOODS/SERVICES - OTHER - NORTHERN IRELAND NON STAFF COSTS,DEPARTMENT FOR COMMUNITIES,"£280,163"
Transparency Aug 145,18/08/2021,OPS PEN PS DIRECTOR OF PENSIONS OPERATIONS AND SUPPORT,EXP - PURCHASE OF GOODS/SERVICES - OTHER FACILITIES - CONTACT CENTRES,G4S GOVERNMENT AND OUTSOURCING SERVICES UK LTD,"£278,613"
Transparency Aug 146,26/08/2021,DIG O365 PLATFORM SERVICE,EXP - PURCHASE OF GOODS/SERVICES - SUPPORT - ICT OUTSOURCING SOFTWARE LICENCES,SOFTCAT PLC,"£277,200"
Transparency Aug 147,19/08/2021,DIG INTELLIGENT AUTOMATION GARAGE MAINTENANCE,EXP - SHORT-TERM CONTRACT & AGENCY STAFF - FULL COST,ACCENTURE UK LTD,"£276,629"
Transparency Aug 148,09/08/2021,FG CD ESTATES COSTS,EXP - PURCHASE OF GOODS/SERVICES - BLDNG MANAGEMENT - MAIN CONTRACTOR,KIER CONSTRUCTION LTD,"£275,757"
Transparency Aug 149,17/08/2021,DIG UNIFIED COMMS SERVICE,EXP - PURCHASE OF GOODS/SERVICES - SUPPORT - ICT OUTSOURCING NETWORKS,SOFTCAT PLC,"£275,184"
Transparency Aug 150,20/08/2021,HR OHS,EXP - PURCHASE OF GOODS/SERVICES - PERSONNEL - OCCUPATIONAL HEALTH SERVICE,PAM GROUP,"£266,684"
Transparency Aug 151,03/08/2021,WWEG EUROPEAN SOCIAL FUND PROGRAMME 2014-2020,CA - OTHER RECEIVABLES - ESF EC CLAIMS PENDING,ESFA ESF PROJECTS,"£266,164"
Transparency Aug 152,13/08/2021,FG CD ESTATES TOM DEL A,EXP - PURCHASE OF GOODS/SERVICES - ACCOMMODATION & BLDNG MANAGEMENT - OFFICE CLEANING,MITIE FM LTD - 2WM,"£264,737"
Transparency Aug 153,27/08/2021,DIG CHILDREN  - CMS 2012 CORE,EXP - PURCHASE OF GOODS/SERVICES - OTHER ICT COSTS,TATA CONSULTANCY SERVICES LTD,"£264,288"
Transparency Aug 154,05/08/2021,WWEG EUROPEAN SOCIAL FUND PROGRAMME 2014-2020,CA - OTHER RECEIVABLES - ESF EC CLAIMS PENDING,NEW COLLEGE DURHAM,"£263,433"
Transparency Aug 155,05/08/2021,WWEG EUROPEAN SOCIAL FUND PROGRAMME 2014-2020,CA - OTHER RECEIVABLES - ESF EC CLAIMS PENDING,SMART SKILLS,"£260,007"
Transparency Aug 156,11/08/2021,STR PRIVATE PENS,EXP - SUBSIDIES TO PUBLIC CORPORATIONS (PC) - NEST,NEST CORPORATION,"£257,283"
Transparency Aug 157,25/08/2021,FG CD ESTATES COSTS,EXP - PURCHASE OF GOODS/SERVICES - BLDNG MANAGEMENT - MAIN CONTRACTOR,SPELLER METCALFE MALVERN LTD,"£256,944"
Transparency Aug 158,31/08/2021,WWEG EUROPEAN SOCIAL FUND PROGRAMME 2014-2020,CA - OTHER RECEIVABLES - ESF EC CLAIMS PENDING,DEPARTMENT FOR WORK & PENSIONS,"£254,138"
Transparency Aug 159,09/08/2021,CHG KICK START,EXP - SHORT-TERM CONTRACT & AGENCY STAFF - FULL COST,LA INTERNATIONAL COMPUTER CONSULTANTS LTD,"£252,248"
Transparency Aug 160,03/08/2021,WWEG EUROPEAN SOCIAL FUND PROGRAMME 2014-2020,CA - OTHER RECEIVABLES - ESF EC CLAIMS PENDING,ESFA ESF PROJECTS,"£251,933"
Transparency Aug 161,17/08/2021,DIG - SDX DEL P,PPE - INFORMATION TECHNOLOGY (OWNED) - COST - ADDITIONS,COMPUTACENTER UK LTD,"£247,062"
Transparency Aug 162,10/08/2021,FG CD ESTATES COSTS,EXP - PURCHASE OF GOODS/SERVICES - OTHER PROF SERVICES - NON-ADVISORY,INCENDIUM CONSULTING LTD,"£245,603"
Transparency Aug 163,03/08/2021,WWEG EUROPEAN SOCIAL FUND PROGRAMME 2014-2020,CA - OTHER RECEIVABLES - ESF EC CLAIMS PENDING,ESFA ESF PROJECTS,"£245,081"
Transparency Aug 164,05/08/2021,WWEG EUROPEAN SOCIAL FUND PROGRAMME 2014-2020,CA - OTHER RECEIVABLES - ESF EC CLAIMS PENDING,ESFA ESF PROJECTS,"£244,358"
Transparency Aug 165,18/08/2021,CHG FES WORK MANAGEMENT,EXP - PURCHASE OF GOODS/SERVICES - END USER SOFTWARE AND HARDWARE,COFORGE DPA UK LTD,"£244,356"
Transparency Aug 166,05/08/2021,DIG WA SOFTWARE & SERVICES DEL P,EXP - PURCHASE OF GOODS/SERVICES - END USER SOFTWARE AND HARDWARE,ADHUNTER LTD,"£241,113"
Transparency Aug 167,12/08/2021,FG CD ESTATES TOM DEL A,EXP - PURCHASE OF GOODS/SERVICES - BLDNG MANAGEMENT - INTEGRATOR,SODEXO LTD,"£240,439"
Transparency Aug 168,18/08/2021,WWEG EUROPEAN SOCIAL FUND PROGRAMME 2014-2020,CA - OTHER RECEIVABLES - ESF EC CLAIMS PENDING,ESFA ESF PROJECTS,"£238,555"
Transparency Aug 169,05/08/2021,FG CD ESTATES COSTS,EXP - PURCHASE OF GOODS/SERVICES - BLDNG MANAGEMENT - MAIN CONTRACTOR,SPELLER METCALFE MALVERN LTD,"£238,351"
Transparency Aug 170,24/08/2021,FG CD ESTATES COSTS,EXP - PURCHASE OF GOODS/SERVICES -ACCOMM & BLDNG MGMT - MAINTENANCE & REPAIRS,INSTANT MANAGED OFFICES,"£237,064"
Transparency Aug 171,20/08/2021,DIG STB FUNDED ACCESS TO WORK - HEALTH & DISABILITY DEL P,EXP - PURCHASE OF GOODS/SERVICES - OTHER ICT COSTS,CAPGEMINI UK PLC,"£235,656"
Transparency Aug 172,31/08/2021,WWEG EUROPEAN SOCIAL FUND PROGRAMME 2014-2020,CA - OTHER RECEIVABLES - ESF EC CLAIMS PENDING,DEPARTMENT FOR WORK & PENSIONS,"£234,916"
Transparency Aug 173,09/08/2021,DIG ITLR ADEP AM - ACCENTURE DEL P,EXP - PURCHASE OF GOODS/SERVICES - OTHER ICT COSTS,ACCENTURE UK LTD,"£234,629"
Transparency Aug 174,09/08/2021,DIG EDW REMEDIATION,EXP - PURCHASE OF GOODS/SERVICES - SUPPORT - ICT OUTSOURCING SOFTWARE LICENCES,SOFTCAT PLC,"£233,187"
Transparency Aug 175,04/08/2021,FG CD ESTATES TOM DEL A,EXP - PURCHASE OF GOODS/SERVICES - BLDNG MANAGEMENT - SECURITY,G4S SECURE SOLUTIONS UK LTD,"£232,274"
Transparency Aug 176,17/08/2021,DIG PAYMENTS - STRATEGIC ARA DEL P,EXP - SHORT-TERM CONTRACT & AGENCY STAFF - FULL COST,ACCENTURE UK LTD,"£232,026"
Transparency Aug 177,09/08/2021,FG CD ESTATES COSTS,EXP - PURCHASE OF GOODS/SERVICES - BLDNG MANAGEMENT - MAIN CONTRACTOR,ISG FIT OUT LTD,"£231,223"
Transparency Aug 178,12/08/2021,STR LEGAL SERVICES,EXP - PURCHASE OF GOODS/SERVICES -OTHER PROFESSIONAL SERVICES - LEGAL,GOVERNMENT LEGAL DEPARTMENT,"£228,909"
Transparency Aug 179,16/08/2021,DIG DATA TRANSFORMATION,EXP - PURCHASE OF GOODS/SERVICES - OTHER ICT COSTS,CREDERA LTD,"£227,388"
Transparency Aug 180,17/08/2021,WWEG EUROPEAN SOCIAL FUND PROGRAMME 2014-2020,CA - OTHER RECEIVABLES - ESF EC CLAIMS PENDING,WORKS BETTER 1525 POSITIVE MINDS,"£224,270"
Transparency Aug 181,26/08/2021,DIG RBC - COMMERCIAL COSTS,EXP - SHORT-TERM CONTRACT & AGENCY STAFF - FULL COST,CAPGEMINI UK PLC,"£219,955"
Transparency Aug 182,05/08/2021,WWEG EUROPEAN SOCIAL FUND PROGRAMME 2014-2020,CA - OTHER RECEIVABLES - ESF EC CLAIMS PENDING,UPSKILLING LANCASHIRE,"£219,021"
Transparency Aug 183,17/08/2021,DIG TEAM COLLABORATION ,EXP - PURCHASE OF GOODS/SERVICES - HOSTING,SOFTWAREONE UK LTD,"£215,165"
Transparency Aug 184,06/08/2021,SE SPD RECORDS MANAGEMENT,EXP - PURCHASE OF GOODS/SERVICES - OFFICE RELATED - REMOTE STORAGE,IRON MOUNTAIN UK LTD,"£215,115"
Transparency Aug 185,05/08/2021,FG CD ESTATES TOM DEL A,EXP - PURCHASE OF GOODS/SERVICES - ACCOMMODATION & BLDNG MANAGEMENT - OFFICE CLEANING,MITIE FM LTD ,"£214,892"
Transparency Aug 186,26/08/2021,FG CD ESTATES COSTS,EXP - PURCHASE OF GOODS/SERVICES - BLDNG MANAGEMENT - MAIN CONTRACTOR,KIER CONSTRUCTION LTD,"£214,750"
Transparency Aug 187,11/08/2021,DIG ITLR - CONNECTIVITY - PSNC - DELA,AI - PFI - RENTALS UNDER NON-PFI OPERATING LEASES - P&M - CONNECTIVITY,BT GLOBAL SERVICES,"£209,956"
Transparency Aug 188,11/08/2021,STR LEGAL SERVICES,EXP - PURCHASE OF GOODS/SERVICES -OTHER PROFESSIONAL SERVICES - LEGAL,GOVERNMENT LEGAL DEPARTMENT,"£208,720"
Transparency Aug 189,09/08/2021,DIG WORKPLACE COMPUTING SERVICE,EXP - PURCHASE OF GOODS/SERVICES - OFFICE RELATED - EQUIPMENT,SPECIALIST COMPUTER CENTRES PLC,"£206,640"
Transparency Aug 190,04/08/2021,WWEG EUROPEAN SOCIAL FUND PROGRAMME 2014-2020,CA - OTHER RECEIVABLES - ESF EC CLAIMS PENDING,IPROGRAMME 2 1 ESF,"£205,095"
Transparency Aug 191,09/08/2021,FG ESTATES TOM DEL A SALARY COSTS,EXP - PURCHASE OF GOODS/SERVICES - BLDNG MANAGEMENT - MAIN CONTRACTOR,ISG FIT OUT LTD,"£200,085"
Transparency Aug 192,09/08/2021,FG CD ESTATES COSTS,EXP - PURCHASE OF GOODS/SERVICES - BLDNG MANAGEMENT - MAIN CONTRACTOR,KIER CONSTRUCTION LTD,"£199,086"
Transparency Aug 193,24/08/2021,DIG CROSS DWP DATA GOV POLICY & IMPLEMENTATION,EXP - PURCHASE OF GOODS/SERVICES - HOSTING,DELOITTE LLP,"£193,305"
Transparency Aug 194,05/08/2021,WWEG EUROPEAN SOCIAL FUND PROGRAMME 2014-2020,CA - OTHER RECEIVABLES - ESF EC CLAIMS PENDING,NEW COLLEGE DURHAM,"£191,358"
Transparency Aug 195,18/08/2021,STR LEGAL SERVICES,EXP - PURCHASE OF GOODS/SERVICES -OTHER PROFESSIONAL SERVICES - LEGAL,GOVERNMENT LEGAL DEPARTMENT,"£191,112"
Transparency Aug 196,12/08/2021,FG CD ESTATES COSTS,EXP - PURCHASE OF GOODS/SERVICES -ACCOMM & BLDNG MGMT - MAINTENANCE & REPAIRS,INSTANT MANAGED OFFICES,"£189,538"
Transparency Aug 197,06/08/2021,FG CD ESTATES TOM DEL A,EXP - PURCHASE OF GOODS/SERVICES - BLDNG MANAGEMENT - INTEGRATOR,SODEXO LTD,"£189,415"
Transparency Aug 198,12/08/2021,FG SPC FG SECURITY  POLICY & COMPLIANCE,EXP - PURCHASE OF GOODS/SERVICES - OTHER PROF SERVICES - RECRUITMENT,CABINET OFFICE,"£188,155"
Transparency Aug 199,04/08/2021,WWEG EUROPEAN SOCIAL FUND PROGRAMME 2014-2020,CA - OTHER RECEIVABLES - ESF EC CLAIMS PENDING,NORTH OF TYNE WORKING HOMES,"£187,892"
Transparency Aug 200,12/08/2021,FG CRC PROTECTIVE MONITORING INTEGRATION,EXP - PURCHASE OF GOODS/SERVICES - HOSTING,SOMERFORD ASSOCIATES LTD,"£185,736"
Transparency Aug 201,31/08/2021,FG CS HS HDAS NON CONTRACT,EXP - PURCHASE OF GOODS/SERVICES - OTHER ICT COSTS,ATOS ORIGIN IT SERVICES UK LTD,"£182,418"
Transparency Aug 202,11/08/2021,STR LEGAL SERVICES,EXP - PURCHASE OF GOODS/SERVICES -OTHER PROFESSIONAL SERVICES - LEGAL,GOVERNMENT LEGAL DEPARTMENT,"£182,194"
Transparency Aug 203,05/08/2021,WWEG EUROPEAN SOCIAL FUND PROGRAMME 2014-2020,CA - OTHER RECEIVABLES - ESF EC CLAIMS PENDING,ESFA ESF PROJECTS,"£181,306"
Transparency Aug 204,25/08/2021,FG CD ESTATES COSTS,CA - PREPAYMENTS (NON-PFI),DENTONS UK & MIDDLE EAST LLP,"£179,598"
Transparency Aug 205,17/08/2021,STR LEGAL SERVICES,EXP - PURCHASE OF GOODS/SERVICES -OTHER PROFESSIONAL SERVICES - LEGAL,GOVERNMENT LEGAL DEPARTMENT,"£174,555"
Transparency Aug 206,09/08/2021,FG CD ESTATES TOM DEL P,EXP - PURCHASE OF GOODS/SERVICES - BLDNG MANAGEMENT - MAIN CONTRACTOR,FES SUPPORT SERVICES LTD,"£174,361"
Transparency Aug 207,24/08/2021,DIG DCBT EXTERNALS DEL P,EXP - SHORT-TERM CONTRACT & AGENCY STAFF - FULL COST,CAPGEMINI UK PLC,"£173,638"
Transparency Aug 208,26/08/2021,DIG RBC - COMMERCIAL COSTS,EXP - SHORT-TERM CONTRACT & AGENCY STAFF - FULL COST,CAPGEMINI UK PLC,"£171,959"
Transparency Aug 209,16/08/2021,FG SPC SECURITY CULTURE EDUCATION AWARENESS,EXP - PURCHASE OF GOODS/SERVICES - HOSTING,CAPGEMINI UK PLC,"£170,975"
Transparency Aug 210,09/08/2021,FG CD ESTATES COSTS,EXP - PURCHASE OF GOODS/SERVICES -ACCOMM & BLDNG MGMT - MAINTENANCE & REPAIRS,INSTANT MANAGED OFFICES,"£170,954"
Transparency Aug 211,17/08/2021,OPS SE CE CUSTOMER EXPERIENCE & LEARNING,EXP - PURCHASE OF GOODS/SERVICES - HOSTING,ACCENTURE UK LTD,"£170,861"
Transparency Aug 212,13/08/2021,FG CD ESTATES TOM DEL P,EXP - PURCHASE OF GOODS/SERVICES - ACCOMMODATION & BLDNG MANAGEMENT - BUILDING SERVICE CHARGES,MITIE FM LTD - 2WM,"£168,410"
Transparency Aug 213,18/08/2021,STR LEGAL SERVICES,EXP - PURCHASE OF GOODS/SERVICES -OTHER PROFESSIONAL SERVICES - LEGAL,GOVERNMENT LEGAL DEPARTMENT,"£167,058"
Transparency Aug 214,19/08/2021,FG CD ESTATES COSTS,CA - PREPAYMENTS (NON-PFI),DENTONS UK & MIDDLE EAST LLP,"£167,000"
Transparency Aug 215,17/08/2021,DIG CHANNELS SERVICES IN LIEU,EXP - SHORT-TERM CONTRACT & AGENCY STAFF - FULL COST,ACCENTURE UK LTD,"£166,394"
Transparency Aug 216,05/08/2021,DIG WA TACTICAL TRANSFORMATION DEL P,EXP - PURCHASE OF GOODS/SERVICES - HOSTING,VALTECH LTD,"£165,675"
Transparency Aug 217,05/08/2021,DIG WA TACTICAL TRANSFORMATION DEL P,EXP - PURCHASE OF GOODS/SERVICES - HOSTING,VALTECH LTD,"£165,675"
Transparency Aug 218,17/08/2021,DIG LIFE TEAM - CARERS PATHFINDER DEL P,EXP - SHORT-TERM CONTRACT & AGENCY STAFF - FULL COST,IBM UNITED KINGDOM LTD,"£165,391"
Transparency Aug 219,03/08/2021,DIG TECH PLATFORM CIS SEF,EXP - PURCHASE OF GOODS/SERVICES - OTHER ICT COSTS,ACCENTURE UK LTD,"£165,303"
Transparency Aug 220,24/08/2021,DIG CITIZEN INFORMATION - STRATEGIC ARA DEL P,EXP - PURCHASE OF GOODS/SERVICES - OTHER ICT COSTS,ACCENTURE UK LTD,"£164,902"
Transparency Aug 221,16/08/2021,FG CD ESTATES TOM DEL P,EXP - PURCHASE OF GOODS/SERVICES - BLDNG MANAGEMENT - INTEGRATOR,SODEXO LTD,"£163,739"
Transparency Aug 222,23/08/2021,FG CD ESTATES COSTS,EXP - PURCHASE OF GOODS/SERVICES - ACCOMMODATION & BLDNG MANAGEMENT,CUSHMAN & WAKEFIELD DEBENHAM TIE LEUNG LTD,"£162,843"
Transparency Aug 223,23/08/2021,FG CD ESTATES OTHER COSTS DEL P,EXP - SERVICE ELEMENT OF NON - PFI FIN LEASES - NON PRIME,INSTANT MANAGED OFFICES,"£162,723"
Transparency Aug 224,03/08/2021,WWEG EUROPEAN SOCIAL FUND PROGRAMME 2014-2020,CA - OTHER RECEIVABLES - ESF EC CLAIMS PENDING,UNDER ONE ROOF,"£160,737"
Transparency Aug 225,10/08/2021,WWEG EUROPEAN SOCIAL FUND PROGRAMME 2014-2020,CA - OTHER RECEIVABLES - ESF EC CLAIMS PENDING,ESFA ESF PROJECTS,"£160,713"
Transparency Aug 226,09/08/2021,FG CD ESTATES COSTS,EXP - PURCHASE OF GOODS/SERVICES - BLDNG MANAGEMENT - MAIN CONTRACTOR,KIER CONSTRUCTION LTD,"£158,831"
Transparency Aug 227,03/08/2021,WWEG EUROPEAN SOCIAL FUND PROGRAMME 2014-2020,CA - OTHER RECEIVABLES - ESF EC CLAIMS PENDING,ESFA ESF PROJECTS,"£157,282"
Transparency Aug 228,16/08/2021,FG CD ESTATES TOM DEL A,EXP - PURCHASE OF GOODS/SERVICES - ACCOMM & BLDNG MGMT - FURNITURE & FITTINGS,WAGSTAFF BROS LTD T/A WAGSTAFF INTERIORS GROUP,"£156,735"
Transparency Aug 229,13/08/2021,FG ESRM ENTERPRISE SECURITY AND RISK MANAGEMENT,EXP - PURCHASE OF GOODS/SERVICES - HOSTING,AURIGA CONSULTING LTD,"£155,333"
Transparency Aug 230,16/08/2021,WWEG EUROPEAN SOCIAL FUND PROGRAMME 2014-2020,CA - OTHER RECEIVABLES - ESF EC CLAIMS PENDING,SKILLS FOR GROWTH CHESHIRE AND WARRINGTON,"£155,125"
Transparency Aug 231,31/08/2021,DIG PUBLIC CLOUD DEL P,EXP - PURCHASE OF GOODS/SERVICES - SUPPORT - ICT OUTSOURCING SOFTWARE LICENCES,SOFTCAT PLC,"£154,958"
Transparency Aug 232,09/08/2021,DIG FAMILY RESOURCE SURVEY ACCELERATION DEL P,EXP - PURCHASE OF GOODS/SERVICES - HOSTING,CREDERA LTD,"£154,360"
Transparency Aug 233,18/08/2021,EP CEP PHASE 2 NEA NB CPA02 CENTRAL ENGLAND,EXP - PURCHASE OF GOODS/SERVICES - SOCIAL CARE,PINNACLE PEOPLE,"£152,185"
Transparency Aug 234,31/08/2021,CASD CENTRAL ANALYSIS AND SCIENCE DIRECTORATE,EXP - PURCHASE OF GOODS/SERVICES - OTHER PROF SERVICES - RECRUITMENT,CABINET OFFICE,"£150,967"
Transparency Aug 235,23/08/2021,FG CD ESTATES TOM DEL A,EXP - PURCHASE OF GOODS/SERVICES - ACCOMMODATION & BLDNG MANAGEMENT,CUSHMAN & WAKEFIELD DEBENHAM TIE LEUNG LTD,"£149,791"
Transparency Aug 236,23/08/2021,"DIG ENGAGEMENT, ADOPTION & RELEASE SERVICE",EXP - SHORT-TERM CONTRACT & AGENCY STAFF - FULL COST,ACCENTURE UK LTD,"£149,299"
Transparency Aug 237,25/08/2021,WWEG EUROPEAN SOCIAL FUND PROGRAMME 2014-2020,CA - OTHER RECEIVABLES - ESF EC CLAIMS PENDING,LEICESTERSHIRE EMPLOYMENT HUB,"£147,394"
Transparency Aug 238,16/08/2021,DIG BASELINE RUN - HEALTH AND DISABILITY DEL P,EXP - PURCHASE OF GOODS/SERVICES - HOSTING,OPENCAST,"£144,318"
Transparency Aug 239,17/08/2021,CHG INTEGRATED SERVICE,EXP - SERVICE ELEMENT OF NON-PFI FIN LEASES - DESKTOPS,ATOS IT SERVICES UK LTD,"£144,139"
Transparency Aug 240,09/08/2021,FG CD ESTATES COSTS,EXP - PURCHASE OF GOODS/SERVICES - BLDNG MANAGEMENT - MAIN CONTRACTOR,KIER CONSTRUCTION LTD,"£143,674"
Transparency Aug 241,12/08/2021,OPS LB CAPITA,EXP - PURCHASE OF GOODS/SERVICES - OTHER FACILITIES - CONTACT CENTRES,SERCO LTD,"£143,385"
Transparency Aug 242,16/08/2021,FG SPC SECURITY CULTURE EDUCATION AWARENESS,EXP - PURCHASE OF GOODS/SERVICES - HOSTING,CAPGEMINI UK PLC,"£142,630"
Transparency Aug 243,26/08/2021,FG CD ESTATES TOM DEL A,EXP - PURCHASE OF GOODS/SERVICES - ACCOMM & BLDNG MGMT - FURNITURE & FITTINGS,WAGSTAFF BROS LTD T/A WAGSTAFF INTERIORS GROUP,"£142,585"
Transparency Aug 244,10/08/2021,WWEG EUROPEAN SOCIAL FUND PROGRAMME 2014-2020,CA - OTHER RECEIVABLES - ESF EC CLAIMS PENDING,ESFA ESF PROJECTS,"£142,378"
Transparency Aug 245,17/08/2021,FG CD ESTATES TOM DEL P,EXP - PURCHASE OF GOODS/SERVICES - GAS,CORONA ENERGY RETAIL 4 LTD SCC UTILITIES ONLY,"£140,471"
Transparency Aug 246,17/08/2021,DIG NOTIFICATION SERVICE PROJECT DELP,EXP - SHORT-TERM CONTRACT & AGENCY STAFF - FULL COST,ACCENTURE UK LTD,"£140,044"
Transparency Aug 247,10/08/2021,DIG TEAM COLLABORATION ,EXP - PURCHASE OF GOODS/SERVICES - SUPPORT - ICT OUTSOURCING SOFTWARE MAIN & SUP,INVOTRA LTD,"£138,611"
Transparency Aug 248,17/08/2021,CHG DIGITAL DEBT MANAGEMENT SERVICE,EXP - PURCHASE OF GOODS/SERVICES - END USER SOFTWARE AND HARDWARE,SCRUMCONNECT LTD,"£138,600"
Transparency Aug 249,09/08/2021,DIG ON PREMISES HOSTING REFRESH,EXP - PURCHASE OF GOODS/SERVICES - HOSTING,REDESMERE LTD,"£138,128"
Transparency Aug 250,24/08/2021,FG CD ESTATES COSTS,EXP - PURCHASE OF GOODS/SERVICES -ACCOMM & BLDNG MGMT - MAINTENANCE & REPAIRS,INSTANT MANAGED OFFICES,"£138,125"
Transparency Aug 251,05/08/2021,FG CD ESTATES COSTS,EXP - PURCHASE OF GOODS/SERVICES - BLDNG MANAGEMENT - MAIN CONTRACTOR,SPELLER METCALFE MALVERN LTD,"£136,943"
Transparency Aug 252,24/08/2021,DIG ITLR - OTHER NETWORK CONTRACTS - DELA,EXP - PURCHASE OF GOODS/SERVICES - SUPPORT - ICT OUTSOURCING NETWORKS,NOMINET UK,"£136,365"
Transparency Aug 253,17/08/2021,DIG TECH PLATFORM CIS SEF,EXP - PURCHASE OF GOODS/SERVICES - OTHER ICT COSTS,IBM UNITED KINGDOM LTD,"£136,250"
Transparency Aug 254,13/08/2021,FG CRC CYBER RESILIENCE CENTRE,EXP - PURCHASE OF GOODS/SERVICES - OTHER ICT COSTS,PIONEN LTD,"£134,250"
Transparency Aug 255,19/08/2021,CHG INTEGRATED SERVICE,EXP - PURCHASE OF GOODS/SERVICES - OTHER ICT COSTS,BJSS LTD,"£133,438"
Transparency Aug 256,02/08/2021,FG CS HS HDAS PASSTHROUGH,EXP - PURCHASE OF GOODS/SERVICES - MEDICAL - FIXED COSTS,CENTRE FOR HEALTH & DISABILITY ASSESSMENTS LTD,"£133,420"
Transparency Aug 257,25/08/2021,DIG ECMS PROJECT,EXP - SHORT-TERM CONTRACT & AGENCY STAFF - FULL COST,CAPGEMINI UK PLC,"£132,202"
Transparency Aug 258,12/08/2021,DIG CONTACT CENTRE SERVICE DEL P,EXP - PURCHASE OF GOODS/SERVICES - SUPPORT - ICT OUTSOURCING CONTACT CENTRES,BT GLOBAL SERVICE SOLUTIONS,"£131,813"
Transparency Aug 259,09/08/2021,DIG WORKPLACE COMPUTING SERVICE,EXP - PURCHASE OF GOODS/SERVICES - OFFICE RELATED - EQUIPMENT,COMPUTACENTER UK LTD,"£131,563"
Transparency Aug 260,16/08/2021,DIG NOTIFICATION SERVICE PROJECT DELP,EXP - SHORT-TERM CONTRACT & AGENCY STAFF - FULL COST,ACCENTURE UK LTD,"£131,112"
Transparency Aug 261,03/08/2021,DIG RBC - COMMERCIAL COSTS,EXP - SHORT-TERM CONTRACT & AGENCY STAFF - FULL COST,CAPGEMINI UK PLC,"£130,153"
Transparency Aug 262,27/08/2021,FG CD ESTATES COSTS,EXP - PURCHASE OF GOODS/SERVICES - BLDNG MANAGEMENT - MAIN CONTRACTOR,KIER CONSTRUCTION LTD,"£128,563"
Transparency Aug 263,11/08/2021,FG CD OPS AND CMG ACQUISITIONS,EXP - PURCHASE OF GOODS/SERVICES - BLDNG MANAGEMENT - MAIN CONTRACTOR,SEDDON CONSTRUCTION LTD,"£127,495"
Transparency Aug 264,25/08/2021,DIG CITIZEN INFORMATION - STRATEGIC ARA DEL P,EXP - PURCHASE OF GOODS/SERVICES - OTHER ICT COSTS,IBM UNITED KINGDOM LTD,"£127,422"
Transparency Aug 265,31/08/2021,DIG DDSP BUSINESS SERVICES,EXP - SHORT-TERM CONTRACT & AGENCY STAFF - FULL COST,IBM UK LTD,"£126,616"
Transparency Aug 266,11/08/2021,DIG - NETWORK TRANSFORMATION DEL P,EXP - PURCHASE OF GOODS/SERVICES - SUPPORT - ICT OUTSOURCING SOFTWARE MAIN & SUP,PHOENIX SOFTWARE LTD,"£126,091"
Transparency Aug 267,13/08/2021,CHG DIGITAL DEBT MANAGEMENT SERVICE,EXP - PURCHASE OF GOODS/SERVICES - END USER SOFTWARE AND HARDWARE,SCRUMCONNECT LTD,"£125,400"
Transparency Aug 268,25/08/2021,FG CD ESTATES TOM DEL A,EXP - PURCHASE OF GOODS/SERVICES - BLDNG MANAGEMENT - SECURITY,G4S SECURE SOLUTIONS UK LTD,"£124,752"
