Unique identifier,Invoice Paid Date,Invoice Cost Centre Description,Invoice Account Description,Invoice Number,Supplier Name,Transparency Invoice Amount
Jun. Transparency 124,17/06/2021,FG CD ESTATES TOM DEL A,EXP - PURCHASE OF GOODS/SERVICES -ACCOMM & BLDNG MGMT - MAINTENANCE & REPAIRS,II9706823,NG BAILEY FACILITIES SERVICES LTD ,"£432,138"
Jun. Transparency 125,28/06/2021,WWEG EUROPEAN SOCIAL FUND PROGRAMME 2014-2020,CA - OTHER RECEIVABLES - ESF EC CLAIMS PENDING,12S17P01614/CL/21Q01/19,BUSINESS ELEVATOR,"£426,704"
Jun. Transparency 126,18/06/2021,FG CD ESTATES COSTS,EXP - PURCHASE OF GOODS/SERVICES - BLDNG MANAGEMENT - MAIN CONTRACTOR,00002095-210831,INSTANT MANAGED OFFICES,"£423,103"
Jun. Transparency 127,23/06/2021,FG CD ESTATES COSTS,EXP - PURCHASE OF GOODS/SERVICES -ACCOMM & BLDNG MGMT - MAINTENANCE & REPAIRS,00002095-210914,INSTANT MANAGED OFFICES,"£422,354"
Jun. Transparency 128,02/06/2021,WWEG EUROPEAN SOCIAL FUND PROGRAMME 2014-2020,CA - OTHER RECEIVABLES - ESF EC CLAIMS PENDING,19S17P01623/CL/21Q01/17,MORE POSITIVE TOGETHER,"£417,901"
Jun. Transparency 129,23/06/2021,DIG DATA ASSET MANAGEMENT,EXP - PURCHASE OF GOODS/SERVICES - HOSTING,SIN065517,METHODS BUSINESS AND DIGITAL TECHNOLOGY LTD,"£416,576"
Jun. Transparency 130,28/06/2021,FG CD ESTATES COSTS,EXP - PURCHASE OF GOODS/SERVICES - BLDNG MANAGEMENT - MAIN CONTRACTOR,CSI01578-3,ISG FIT OUT LTD,"£411,471"
Jun. Transparency 131,16/06/2021,WWEG EUROPEAN SOCIAL FUND PROGRAMME 2014-2020,CA - OTHER RECEIVABLES - ESF EC CLAIMS PENDING,30S17C01885/CL/21Q01/29,THE BIG LOTTERY FUND,"£411,207"
Jun. Transparency 132,01/06/2021,OPS LB CAPITA,EXP - PURCHASE OF GOODS/SERVICES - OTHER FACILITIES - CONTACT CENTRES,INV00286,G4S GOVERNMENT AND OUTSOURCING SERVICES UK LTD,"£410,859"
Jun. Transparency 133,21/06/2021,HR GRS,EXP - PURCHASE OF GOODS/SERVICES - OTHER PROF SERVICES - RECRUITMENT,3807539,CABINET OFFICE,"£410,084"
Jun. Transparency 134,18/06/2021,WWEG EUROPEAN SOCIAL FUND PROGRAMME 2014-2020,CA - OTHER RECEIVABLES - ESF EC CLAIMS PENDING,12S18P02593/CL/21Q01/13,PURE,"£407,238"
Jun. Transparency 135,09/06/2021,WWEG EUROPEAN SOCIAL FUND PROGRAMME 2014-2020,CA - OTHER RECEIVABLES - ESF EC CLAIMS PENDING,28S19P03479/CL/21Q01/09,PATHWAYS TO SUCCESS,"£403,255"
Jun. Transparency 136,18/06/2021,WWEG EUROPEAN SOCIAL FUND PROGRAMME 2014-2020,CA - OTHER RECEIVABLES - ESF EC CLAIMS PENDING,20S17C01904/CL/21Q01/29,THE BIG LOTTERY FUND,"£400,923"
Jun. Transparency 137,11/06/2021,FG SPC ROSA ROLLOUT,EXP - PURCHASE OF GOODS/SERVICES - OTHER - REIMBURSE OVERPAID MAINTENANCE,21/22DWPROSABURDENSHARECHARGES,CABINET OFFICE,"£400,576"
Jun. Transparency 138,28/06/2021,FG CD ESTATES COSTS,EXP - PURCHASE OF GOODS/SERVICES - BLDNG MANAGEMENT - MAIN CONTRACTOR,CSI01579-3,ISG FIT OUT LTD,"£400,394"
Jun. Transparency 139,18/06/2021,WWEG EUROPEAN SOCIAL FUND PROGRAMME 2014-2020,CA - OTHER RECEIVABLES - ESF EC CLAIMS PENDING,19S17C01879/CL/21Q01/29,THE BIG LOTTERY FUND,"£382,769"
Jun. Transparency 140,28/06/2021,DIG CHILDREN - CMG ACCELERATION ACTIVITY DEL P,EXP - SHORT-TERM CONTRACT & AGENCY STAFF - FULL COST,3003509060,ACCENTURE UK LTD,"£379,533"
Jun. Transparency 141,18/06/2021,WWEG EUROPEAN SOCIAL FUND PROGRAMME 2014-2020,CA - OTHER RECEIVABLES - ESF EC CLAIMS PENDING,34S17C01890/CL/21Q01/29,THE BIG LOTTERY FUND,"£377,558"
Jun. Transparency 142,25/06/2021,WWEG EUROPEAN SOCIAL FUND PROGRAMME 2014-2020,CA - OTHER RECEIVABLES - ESF EC CLAIMS PENDING,21S17P02161/CL/21Q01/14,LEICESTERSHIRE EMPLOYMENT HUB,"£377,324"
Jun. Transparency 143,03/06/2021,DIG PUBLIC CLOUD DEL P,EXP - PURCHASE OF GOODS/SERVICES - HOSTING,INV02942299,SOFTCAT PLC,"£375,046"
Jun. Transparency 144,18/06/2021,WWEG EUROPEAN SOCIAL FUND PROGRAMME 2014-2020,CA - OTHER RECEIVABLES - ESF EC CLAIMS PENDING,12S20P04155/CL/21Q01/04,STEM UP ESF,"£374,978"
Jun. Transparency 145,01/06/2021,FG FIN CONT ESF 2014-2020,CA - OTHER RECEIVABLES - ESF EC CLAIMS PENDING,23S17C02269/CL/20Q04/16,WEST LONDON WORK & HEALTH PROGRAMME,"£374,736"
Jun. Transparency 146,18/06/2021,PO PERMANENT SECRETARY,EXP - PURCHASE OF GOODS/SERVICES - OTHER PROF SERVICES - INTERPRETATION,672731SA,THE BIG WORD,"£367,673"
Jun. Transparency 147,15/06/2021,DWP UCO DIRECTOR OUTSOURCING,EXP - PURCHASE OF GOODS/SERVICES - OTHER FACILITIES - CONTACT CENTRES,91771062,SERCO LTD,"£367,422"
Jun. Transparency 148,22/06/2021,DIG RBC - COMMERCIAL COSTS,EXP - PURCHASE OF GOODS/SERVICES - OTHER ICT COSTS,INV-1293,SCRUMCONNECT LTD,"£362,940"
Jun. Transparency 149,18/06/2021,WWEG EUROPEAN SOCIAL FUND PROGRAMME 2014-2020,CA - OTHER RECEIVABLES - ESF EC CLAIMS PENDING,24S17C01877/CL/21Q01/29,THE BIG LOTTERY FUND,"£361,914"
Jun. Transparency 150,14/06/2021,OPS SE ST DIRECTOR,EXP - PURCHASE OF GOODS/SERVICES - END USER SOFTWARE AND HARDWARE,INV-1809,HIPPO DIGITAL LTD,"£361,560"
Jun. Transparency 151,07/06/2021,DWP UCO DIRECTOR OUTSOURCING,EXP - PURCHASE OF GOODS/SERVICES - OTHER FACILITIES - CONTACT CENTRES,6119000462,CAPITA BUSINESS SERVICES LTD,"£352,291"
Jun. Transparency 152,09/06/2021,DIG ITLR - CONNECTIVITY - PSNC - DELA,AI - PFI - RENTALS UNDER NON-PFI OPERATING LEASES - P&M - CONNECTIVITY,565822,BT GLOBAL SERVICES,"£350,136"
Jun. Transparency 153,25/06/2021,FG CS HS HDAS NON CONTRACT,EXP - PURCHASE OF GOODS/SERVICES - SUPPORT - ICT OUTSOURCING SOFTWARE LICENCES,INV02944367,SOFTCAT PLC,"£343,549"
Jun. Transparency 154,18/06/2021,WWEG EUROPEAN SOCIAL FUND PROGRAMME 2014-2020,CA - OTHER RECEIVABLES - ESF EC CLAIMS PENDING,15S17C01887/CL/21Q01/29,THE BIG LOTTERY FUND,"£342,242"
Jun. Transparency 155,17/06/2021,DIG ITLR - TELEPHONY - PSNT - DELA,EXP - PURCHASE OF GOODS/SERVICES - SUPPORT - ICT OUTSOURCING TELEPHONY,98156848,VODAFONE LTD,"£339,908"
Jun. Transparency 156,23/06/2021,OPS LB CAPITA,EXP - PURCHASE OF GOODS/SERVICES - OTHER FACILITIES - CONTACT CENTRES,INV00294,G4S GOVERNMENT AND OUTSOURCING SERVICES UK LTD,"£335,125"
Jun. Transparency 157,21/06/2021,DIG IRIS DEL P,EXP - PURCHASE OF GOODS/SERVICES - HOSTING,INV026266,KAINOS SOFTWARE LTD,"£334,206"
Jun. Transparency 158,21/06/2021,FG CD OPS AND CMG ACQUISITIONS,EXP - PURCHASE OF GOODS/SERVICES - BLDNG MANAGEMENT - MAIN CONTRACTOR,ILCS0948-2,ISG FIT OUT LTD,"£331,561"
Jun. Transparency 159,16/06/2021,DIG CHILDREN - CMG ACCELERATION ACTIVITY DEL P,EXP - SHORT-TERM CONTRACT & AGENCY STAFF - FULL COST,3003509349,ACCENTURE UK LTD,"£329,587"
Jun. Transparency 160,28/06/2021,FG CD ESTATES COSTS,EXP - PURCHASE OF GOODS/SERVICES - BLDNG MANAGEMENT - MAIN CONTRACTOR,10261366,KIER CONSTRUCTION LTD,"£328,202"
Jun. Transparency 161,07/06/2021,DWP UCO DIRECTOR OUTSOURCING,EXP - PURCHASE OF GOODS/SERVICES - OTHER FACILITIES - CONTACT CENTRES,6119000463,CAPITA BUSINESS SERVICES LTD,"£328,163"
Jun. Transparency 162,21/06/2021,DIG IRIS DEL P,EXP - PURCHASE OF GOODS/SERVICES - HOSTING,INV026265,KAINOS SOFTWARE LTD,"£326,890"
Jun. Transparency 163,01/06/2021,OPS LB CAPITA,EXP - PURCHASE OF GOODS/SERVICES - OTHER FACILITIES - CONTACT CENTRES,INV00289,G4S GOVERNMENT AND OUTSOURCING SERVICES UK LTD,"£322,860"
Jun. Transparency 164,17/06/2021,WWEG EUROPEAN SOCIAL FUND PROGRAMME 2014-2020,CA - OTHER RECEIVABLES - ESF EC CLAIMS PENDING,22S16P00078/CL/21Q01/22,TALENT MATCH PLUS PROJECT 2014 2020,"£322,224"
Jun. Transparency 165,17/06/2021,FG CD STRATEGY AND BUSINESS MANAGEMENT,EXP - PURCHASE OF GOODS/SERVICES - HOSTING,DWP-G12-CS-06,PIXEL GROUP LTD,"£319,800"
Jun. Transparency 166,03/06/2021,WWEG EUROPEAN SOCIAL FUND PROGRAMME 2014-2020,CA - OTHER RECEIVABLES - ESF EC CLAIMS PENDING,24S19P03029/CL/21Q01/05,WORK WELL SUFFOLK 1 4 ESF,"£314,225"
Jun. Transparency 167,23/06/2021,FG CS HS PIP LOT 1,EXP - PURCHASE OF GOODS/SERVICES - MEDICAL - PIP F2F ASSESSMENTS,5584364809,ATOS IT SERVICES UK LTD TRADING AS INDEPENDENT ASSESSMENT SERVICES,"£313,592"
Jun. Transparency 168,30/06/2021,DIG WORKPLACE COMPUTING SERVICE,EXP - PURCHASE OF GOODS/SERVICES - OFFICE RELATED - EQUIPMENT,3780122324,COMPUTACENTER UK LTD,"£312,449"
Jun. Transparency 169,23/06/2021,FG CD ESTATES COSTS,EXP - PURCHASE OF GOODS/SERVICES -ACCOMM & BLDNG MGMT - MAINTENANCE & REPAIRS,00002095-210911,INSTANT MANAGED OFFICES,"£311,384"
Jun. Transparency 170,10/06/2021,DWP UCO DIRECTOR OUTSOURCING,EXP - PURCHASE OF GOODS/SERVICES - OTHER FACILITIES - CONTACT CENTRES,91771068,SERCO LTD,"£305,962"
Jun. Transparency 171,17/06/2021,WWEG EUROPEAN SOCIAL FUND PROGRAMME 2014-2020,CA - OTHER RECEIVABLES - ESF EC CLAIMS PENDING,03S17C01886/CL/21Q01/29,THE BIG LOTTERY FUND,"£303,978"
Jun. Transparency 172,18/06/2021,FG CD ESTATES COSTS,EXP - PURCHASE OF GOODS/SERVICES -ACCOMM & BLDNG MGMT - MAINTENANCE & REPAIRS,00002095-210907,INSTANT MANAGED OFFICES,"£301,049"
Jun. Transparency 173,17/06/2021,FG CD STRATEGY AND BUSINESS MANAGEMENT,EXP - PURCHASE OF GOODS/SERVICES - HOSTING,DWP-G12-CS-07,PIXEL GROUP LTD,"£299,010"
Jun. Transparency 174,18/06/2021,WWEG EUROPEAN SOCIAL FUND PROGRAMME 2014-2020,CA - OTHER RECEIVABLES - ESF EC CLAIMS PENDING,06S17C01920/CL/21Q01/29,THE BIG LOTTERY FUND,"£294,176"
Jun. Transparency 175,22/06/2021,FG CD ESTATES COSTS,EXP - PURCHASE OF GOODS/SERVICES -ACCOMM & BLDNG MGMT - MAINTENANCE & REPAIRS,00002095-210815,INSTANT MANAGED OFFICES,"£290,026"
Jun. Transparency 176,30/06/2021,OPS DS ATW DISC EP NATIONAL,EXP - PURCHASE OF GOODS/SERVICES - SOCIAL CARE ,140308,INGEUS UK LTD,"£288,638"
Jun. Transparency 177,22/06/2021,DIG CROSS CUTTING SERVICES,EXP - PURCHASE OF GOODS/SERVICES - HOSTING,INV008077,SCOTT LOGIC LTD,"£285,146"
Jun. Transparency 178,28/06/2021,WWEG EUROPEAN SOCIAL FUND PROGRAMME 2014-2020,CA - OTHER RECEIVABLES - ESF EC CLAIMS PENDING,06S20P03522/CL/21Q01/01,AMBITION2,"£283,003"
Jun. Transparency 179,17/06/2021,DIG INTELLIGENT AUTOMATION GARAGE MAINTENANCE,EXP - SHORT-TERM CONTRACT & AGENCY STAFF - FULL COST,3003509511,ACCENTURE UK LTD,"£278,954"
Jun. Transparency 180,30/06/2021,HR SHARED SERVICES,EXP - PURCHASE OF GOODS/SERVICES - OTHER PROF SERVICES - HR,100023929,SHARED SERVICES CONNECTED LTD,"£278,689"
Jun. Transparency 181,15/06/2021,DIG PAYMENTS - STRATEGIC ARA DEL P,EXP - SHORT-TERM CONTRACT & AGENCY STAFF - FULL COST,3003509343,ACCENTURE UK LTD,"£277,749"
Jun. Transparency 182,01/06/2021,OPS DS ATW DISC EP NATIONAL,EXP - PURCHASE OF GOODS/SERVICES - SOCIAL CARE ,139246,INGEUS UK LTD,"£273,223"
Jun. Transparency 183,09/06/2021,WWEG EUROPEAN SOCIAL FUND PROGRAMME 2014-2020,CA - OTHER RECEIVABLES - ESF EC CLAIMS PENDING,04S20P04213/CL/21Q01/02,MAKING A DIFFERENCE,"£271,895"
Jun. Transparency 184,07/06/2021,DWP UCO DIRECTOR OUTSOURCING,EXP - PURCHASE OF GOODS/SERVICES - OTHER FACILITIES - CONTACT CENTRES,6119000464,CAPITA BUSINESS SERVICES LTD,"£271,818"
Jun. Transparency 185,16/06/2021,DIG LOCAL PRINT SERVICE,EXP - PURCHASE OF GOODS/SERVICES - OTHER ICT COSTS,2795041,XEROX UK LTD,"£264,153"
Jun. Transparency 186,23/06/2021,FG CD ESTATES TOM DEL P,EXP - PURCHASE OF GOODS/SERVICES - BLDNG MANAGEMENT - SECURITY,82610064930B,G4S SECURE SOLUTIONS UK LTD,"£263,434"
Jun. Transparency 187,30/06/2021,OPS DS ATW DISC EP NATIONAL,EXP - PURCHASE OF GOODS/SERVICES - SOCIAL CARE ,140303,REMPLOY LTD,"£262,912"
Jun. Transparency 188,15/06/2021,FG CD ESTATES COSTS,EXP - PURCHASE OF GOODS/SERVICES - OTHER PROF SERVICES - NON-ADVISORY,INV-1855,INCENDIUM CONSULTING LTD,"£261,990"
Jun. Transparency 189,18/06/2021,WWEG EUROPEAN SOCIAL FUND PROGRAMME 2014-2020,CA - OTHER RECEIVABLES - ESF EC CLAIMS PENDING,36S17C01915/CL/21Q01/29,THE BIG LOTTERY FUND,"£261,800"
Jun. Transparency 190,25/06/2021,FG CD ESTATES RESIDUAL COSTS,EXP - PURCHASE OF GOODS/SERVICES - OTHER PROF SERVICES - NON-ADVISORY,INV-1858,INCENDIUM CONSULTING LTD,"£260,508"
Jun. Transparency 191,09/06/2021,DIG ITLR - CONNECTIVITY - PSNC - DELA,AI - PFI - RENTALS UNDER NON-PFI OPERATING LEASES - P&M - CONNECTIVITY,566287,BT GLOBAL SERVICES,"£256,850"
Jun. Transparency 192,07/06/2021,FG CD ESTATES COSTS,EXP - PURCHASE OF GOODS/SERVICES -ACCOMM & BLDNG MGMT - MAINTENANCE & REPAIRS,00002095-210731,INSTANT MANAGED OFFICES,"£251,825"
Jun. Transparency 193,01/06/2021,FG CD ESTATES COSTS,EXP - PURCHASE OF GOODS/SERVICES - BLDNG MANAGEMENT - MAIN CONTRACTOR,10258893,KIER CONSTRUCTION LTD,"£251,302"
Jun. Transparency 194,03/06/2021,OPS PEN PS DIRECTOR OF PENSIONS OPERATIONS AND SUPPORT,EXP - PURCHASE OF GOODS/SERVICES - OTHER FACILITIES - CONTACT CENTRES,INV00291,G4S GOVERNMENT AND OUTSOURCING SERVICES UK LTD,"£248,438"
Jun. Transparency 195,08/06/2021,WWEG EUROPEAN SOCIAL FUND PROGRAMME 2014-2020,CA - OTHER RECEIVABLES - ESF EC CLAIMS PENDING,05S20P04191/CL/21Q01/03,BUSINESS CLUSTERS ESF,"£247,829"
Jun. Transparency 196,16/06/2021,OPS CFC DEBT CONTRACTS,EXP - PURCHASE OF GOODS/SERVICES - OTHER FACILITIES - CONTACT CENTRES,91771825,SERCO LTD,"£247,053"
Jun. Transparency 197,04/06/2021,FG CD ESTATES COSTS,EXP - PURCHASE OF GOODS/SERVICES - ACCOMM & BLDNG MGMT - FURNITURE & FITTINGS,00002095-210811,INSTANT MANAGED OFFICES,"£246,016"
Jun. Transparency 198,28/06/2021,WWEG EUROPEAN SOCIAL FUND PROGRAMME 2014-2020,CA - OTHER RECEIVABLES - ESF EC CLAIMS PENDING,20S19P03023/CL/21Q01/09,YOUTH ENGAGEMENT & PROGRESSION,"£245,477"
Jun. Transparency 199,11/06/2021,FG CD ESTATES COSTS,EXP - PURCHASE OF GOODS/SERVICES - BLDNG MANAGEMENT - MAIN CONTRACTOR,00002095-210804,INSTANT MANAGED OFFICES,"£242,767"
Jun. Transparency 200,07/06/2021,DIG WA SOFTWARE & SERVICES DEL P,EXP - PURCHASE OF GOODS/SERVICES - END USER SOFTWARE AND HARDWARE,20211184,ADHUNTER LTD,"£241,113"
Jun. Transparency 201,28/06/2021,FG CD ESTATES COSTS,EXP - PURCHASE OF GOODS/SERVICES - BLDNG MANAGEMENT - MAIN CONTRACTOR,10261365,KIER CONSTRUCTION LTD,"£240,090"
Jun. Transparency 202,21/06/2021,WWEG EUROPEAN SOCIAL FUND PROGRAMME 2014-2020,CA - OTHER RECEIVABLES - ESF EC CLAIMS PENDING,39S17C01898/CL/21Q01/29,THE BIG LOTTERY FUND,"£235,010"
Jun. Transparency 203,11/06/2021,DIG ITLR ADEP AM - ACCENTURE DEL P,EXP - PURCHASE OF GOODS/SERVICES - OTHER ICT COSTS,3003508771,ACCENTURE UK LTD,"£234,629"
Jun. Transparency 204,03/06/2021,OPS LB CAPITA,EXP - PURCHASE OF GOODS/SERVICES - OTHER FACILITIES - CONTACT CENTRES,91769156,SERCO LTD,"£230,856"
Jun. Transparency 205,25/06/2021,DIG O365 PLATFORM SERVICE,EXP - PURCHASE OF GOODS/SERVICES - SUPPORT - ICT OUTSOURCING SOFTWARE LICENCES,INV02960774,SOFTCAT PLC,"£229,380"
Jun. Transparency 206,18/06/2021,WWEG EUROPEAN SOCIAL FUND PROGRAMME 2014-2020,CA - OTHER RECEIVABLES - ESF EC CLAIMS PENDING,22S17C01905/CL/21Q01/29,THE BIG LOTTERY FUND,"£227,649"
Jun. Transparency 207,30/06/2021,FG CD OPS AND CMG ACQUISITIONS,EXP - PURCHASE OF GOODS/SERVICES - ACCOMM & BLDNG MGMT - FURNITURE & FITTINGS,CIN8778,SPELLER METCALFE MALVERN LTD,"£226,605"
Jun. Transparency 208,11/06/2021,HR OHS,EXP - PURCHASE OF GOODS/SERVICES - PERSONNEL - OCCUPATIONAL HEALTH SERVICE,101881,PAM GROUP,"£222,887"
Jun. Transparency 209,21/06/2021,DIG WORKPLACE COMPUTING SERVICE,EXP - PURCHASE OF GOODS/SERVICES - OFFICE RELATED - EQUIPMENT,3780122752,COMPUTACENTER UK LTD,"£221,819"
Jun. Transparency 210,29/06/2021,"DIG ENGAGEMENT, ADOPTION & RELEASE SERVICE",EXP - PURCHASE OF GOODS/SERVICES - OFFICE RELATED,DWP045,UNIFII,"£221,259"
Jun. Transparency 211,23/06/2021,OPS PEN PS DIRECTOR OF PENSIONS OPERATIONS AND SUPPORT,EXP - PURCHASE OF GOODS/SERVICES - OTHER FACILITIES - CONTACT CENTRES,INV00295,G4S GOVERNMENT AND OUTSOURCING SERVICES UK LTD,"£220,373"
Jun. Transparency 212,28/06/2021,DIG CROSS DWP DATA GOV POLICY & IMPLEMENTATION,EXP - PURCHASE OF GOODS/SERVICES - HOSTING,8001897290,DELOITTE LLP,"£218,440"
Jun. Transparency 213,23/06/2021,WWEG WP FG CEP ESF1420 LEICESTER & LEICESTERSHIRE,EXP - PURCHASE OF GOODS/SERVICES - SOCIAL CARE ,140055,FEDCAP EMPLOYMENT,"£216,957"
Jun. Transparency 214,24/06/2021,FG CD ESTATES TOM DEL P,EXP - PURCHASE OF GOODS/SERVICES - BLDNG MANAGEMENT - SECURITY,82610064930C,G4S SECURE SOLUTIONS UK LTD-2WM,"£216,889"
Jun. Transparency 215,03/06/2021,WWEG EUROPEAN SOCIAL FUND PROGRAMME 2014-2020,CA - OTHER RECEIVABLES - ESF EC CLAIMS PENDING,22S19P03841/CL/21Q01/06,DIRECTIONS,"£214,683"
Jun. Transparency 216,02/06/2021,FG ESRM ENTERPRISE SECURITY AND RISK MANAGEMENT,EXP - PURCHASE OF GOODS/SERVICES - HOSTING,INV/044873,AURIGA CONSULTING LTD,"£213,018"
Jun. Transparency 217,30/06/2021,DIG TECH PLATFORM CIS SEF,EXP - PURCHASE OF GOODS/SERVICES - OTHER ICT COSTS,5806211289,IBM UNITED KINGDOM LTD,"£211,750"
Jun. Transparency 218,30/06/2021,DIG WORKPLACE COMPUTING SERVICE,EXP - PURCHASE OF GOODS/SERVICES - OFFICE RELATED - EQUIPMENT,3780121600,COMPUTACENTER UK LTD,"£210,747"
Jun. Transparency 219,11/06/2021,FG CD ESTATES COSTS,EXP - PURCHASE OF GOODS/SERVICES - BLDNG MANAGEMENT - MAIN CONTRACTOR,00002095-210819,INSTANT MANAGED OFFICES,"£209,606"
Jun. Transparency 220,17/06/2021,CMG OPS EXTERNAL CONTRACTS/SLAS OPTIONS,EXP - PURCHASE OF GOODS/SERVICES - OTHER FACILITIES - CONTACT CENTRES,INV00293,G4S GOVERNMENT AND OUTSOURCING SERVICES UK LTD,"£206,499"
Jun. Transparency 221,24/06/2021,DWP UCO DIRECTOR OUTSOURCING,EXP - PURCHASE OF GOODS/SERVICES - OTHER FACILITIES - CONTACT CENTRES,91773475,SERCO LTD,"£205,609"
Jun. Transparency 222,15/06/2021,DIG WORKPLACE COMPUTING SERVICE,EXP - PURCHASE OF GOODS/SERVICES - OFFICE RELATED - EQUIPMENT,3883069789,COMPUTACENTER UK LTD,"£203,975"
Jun. Transparency 223,18/06/2021,FG CD ESTATES COSTS,EXP - PURCHASE OF GOODS/SERVICES -ACCOMM & BLDNG MGMT - MAINTENANCE & REPAIRS,00002095-210905,INSTANT MANAGED OFFICES,"£203,336"
Jun. Transparency 224,09/06/2021,DIG CROSS DWP DATA GOV POLICY & IMPLEMENTATION,EXP - PURCHASE OF GOODS/SERVICES - HOSTING,8001805288,DELOITTE LLP,"£203,203"
Jun. Transparency 225,18/06/2021,DIG TACTICAL TRANSFORMATION -  HWA DEL P,EXP - PURCHASE OF GOODS/SERVICES - OTHER ICT COSTS,2600110277482,CAPGEMINI UK PLC,"£201,481"
Jun. Transparency 226,07/06/2021,FG CD ESTATES TOM DEL A,EXP - PURCHASE OF GOODS/SERVICES - ACCOMMODATION & BLDNG MANAGEMENT - OFFICE CLEANING,FACMI053049,MITIE FM LTD ,"£199,664"
Jun. Transparency 227,07/06/2021,WWEG EUROPEAN SOCIAL FUND PROGRAMME 2014-2020,CA - OTHER RECEIVABLES - ESF EC CLAIMS PENDING,07S17C01894/CL/20Q04/27,ESFA ESF PROJECTS,"£198,465"
Jun. Transparency 228,24/06/2021,DIG DATA TRANSFORMATION,EXP - PURCHASE OF GOODS/SERVICES - OTHER ICT COSTS,INV006474,CREDERA LTD,"£197,556"
Jun. Transparency 229,15/06/2021,STR CHANGE PRIVATE PENS,EXP - PURCHASE OF GOODS/SERVICES - OTHER PROF SERVICES - COURT FEES,P176-HMCTS-(MOJ)-INVOICE-2535662-(Q420-21),HMCTS HM COURTS & TRIBUNALS SERVICE,"£196,270"
Jun. Transparency 230,04/06/2021,DIG DATAWORKS DEL P,EXP - PURCHASE OF GOODS/SERVICES - HOSTING,IN01128426,CLOUDERA INC,"£195,840"
Jun. Transparency 231,14/06/2021,DIG WORKPLACE COMPUTING SERVICE,EXP - PURCHASE OF GOODS/SERVICES - OFFICE RELATED - EQUIPMENT,3780122322,COMPUTACENTER UK LTD,"£191,923"
Jun. Transparency 232,21/06/2021,WWEG EUROPEAN SOCIAL FUND PROGRAMME 2014-2020,CA - OTHER RECEIVABLES - ESF EC CLAIMS PENDING,09S17C01924/CL/21Q01/29,THE BIG LOTTERY FUND,"£191,352"
Jun. Transparency 233,25/06/2021,STR LEGAL SERVICES,EXP - PURCHASE OF GOODS/SERVICES -OTHER PROFESSIONAL SERVICES - LEGAL,GLD494559,GOVERNMENT LEGAL DEPARTMENT,"£191,342"
Jun. Transparency 234,25/06/2021,DIG O365 PLATFORM SERVICE,EXP - PURCHASE OF GOODS/SERVICES - SUPPORT - ICT OUTSOURCING SOFTWARE LICENCES,INV02956246,SOFTCAT PLC,"£191,148"
Jun. Transparency 235,04/06/2021,FG CD ESTATES COSTS,CA - PREPAYMENTS (NON-PFI),REEPPORTSMOUTHP1052,DENTONS UK & MIDDLE EAST LLP,"£190,440"
Jun. Transparency 236,28/06/2021,FG CD ESTATES COSTS,EXP - PURCHASE OF GOODS/SERVICES - BLDNG MANAGEMENT - MAIN CONTRACTOR,10258349,KIER CONSTRUCTION LTD,"£186,905"
Jun. Transparency 237,22/06/2021,DIG TECH PLATFORM OPERATIONS DIGITAL DELIVERY CORE,EXP - PURCHASE OF GOODS/SERVICES - OTHER PROF SERVICES - RECRUITMENT,78110921083,LINKEDIN IRELAND,"£184,320"
Jun. Transparency 238,11/06/2021,FG CD STRATEGY AND BUSINESS MANAGEMENT,EXP - PURCHASE OF GOODS/SERVICES - TRAINING & DEVELOPMENT,3807502,CABINET OFFICE,"£183,600"
Jun. Transparency 239,14/06/2021,CHG FES WORK MANAGEMENT,EXP - PURCHASE OF GOODS/SERVICES - END USER SOFTWARE AND HARDWARE,26437594,COFORGE DPA UK LTD,"£182,664"
Jun. Transparency 240,07/06/2021,FG CD ESTATES TOM DEL A,EXP - PURCHASE OF GOODS/SERVICES - ACCOMM & BLDNG MGMT - FURNITURE & FITTINGS,i199535,WAGSTAFF BROS LTD T/A WAGSTAFF INTERIORS GROUP,"£179,666"
Jun. Transparency 241,04/06/2021,FG CD ESTATES COSTS,EXP - PURCHASE OF GOODS/SERVICES -OTHER PROFESSIONAL SERVICES - LEGAL,105187-114/JPEC,DENTONS UK & MIDDLE EAST LLP,"£179,121"
Jun. Transparency 242,23/06/2021,FG CD ESTATES COSTS,EXP - PURCHASE OF GOODS/SERVICES -ACCOMM & BLDNG MGMT - MAINTENANCE & REPAIRS,00002095-210913,INSTANT MANAGED OFFICES,"£177,995"
Jun. Transparency 243,01/06/2021,WWEG EUROPEAN SOCIAL FUND PROGRAMME 2014-2020,CA - OTHER RECEIVABLES - ESF EC CLAIMS PENDING,18S17C02013/CL/20Q04/27,ESFA ESF PROJECTS,"£175,093"
Jun. Transparency 244,18/06/2021,FG CD ESTATES COSTS,EXP - PURCHASE OF GOODS/SERVICES -ACCOMM & BLDNG MGMT - MAINTENANCE & REPAIRS,00002095-210909,INSTANT MANAGED OFFICES,"£173,786"
Jun. Transparency 245,16/06/2021,FG CSO CHIEF SECURITY OFFICER,EXP - PURCHASE OF GOODS/SERVICES - TRAINING & DEVELOPMENT,5502269311,CSL KPMG LLP,"£172,640"
Jun. Transparency 246,29/06/2021,WWEG EUROPEAN SOCIAL FUND PROGRAMME 2014-2020,CA - OTHER RECEIVABLES - ESF EC CLAIMS PENDING,18S17C01872/CL/21Q01/29,THE BIG LOTTERY FUND,"£172,327"
