unique identifier,Invoice Paid Date,Invoice Cost Centre Description,Invoice Account Description,Supplier Name,Transparency Invoice Amount
Sept Transparency 135,13/09/2021,FG CD ESTATES COSTS,EXP - PURCHASE OF GOODS/SERVICES - BLDNG MANAGEMENT - MAIN CONTRACTOR,KIER CONSTRUCTION LTD,"£423,742"
Sept Transparency 136,17/09/2021,FG CD ESTATES COSTS,EXP - PURCHASE OF GOODS/SERVICES - BLDNG MANAGEMENT - MAIN CONTRACTOR,ISG FIT OUT LTD,"£421,551"
Sept Transparency 137,06/09/2021,WWEG EUROPEAN SOCIAL FUND PROGRAMME 2014-2020,CA - OTHER RECEIVABLES - ESF EC CLAIMS PENDING,ESF EMPLOYMENT HUB,"£420,177"
Sept Transparency 138,29/09/2021,DIG DATAWORKS DEL P,EXP - PURCHASE OF GOODS/SERVICES - HOSTING,CREDERA LTD,"£401,753"
Sept Transparency 139,27/09/2021,DIG ITLR AMS - IBM,EXP - PURCHASE OF GOODS/SERVICES - OTHER ICT COSTS,IBM UNITED KINGDOM LTD,"£392,142"
Sept Transparency 140,09/09/2021,FG CD ESTATES COSTS,EXP - PURCHASE OF GOODS/SERVICES -ACCOMM & BLDNG MGMT - MAINTENANCE & REPAIRS,INSTANT MANAGED OFFICES,"£390,942"
Sept Transparency 141,02/09/2021,CHG KICK START,EXP - PURCHASE OF GOODS/SERVICES - OTHER PROF SERVICES - NON-ADVISORY,DELOITTE,"£384,333"
Sept Transparency 142,09/09/2021,FG CD ESTATES COSTS,EXP - PURCHASE OF GOODS/SERVICES -ACCOMM & BLDNG MGMT - MAINTENANCE & REPAIRS,INSTANT MANAGED OFFICES,"£378,937"
Sept Transparency 143,08/09/2021,DWP UCO DIRECTOR OUTSOURCING,EXP - PURCHASE OF GOODS/SERVICES - OTHER FACILITIES - CONTACT CENTRES,SERCO LTD,"£373,798"
Sept Transparency 144,01/09/2021,WWEG EUROPEAN SOCIAL FUND PROGRAMME 2014-2020,CA - OTHER RECEIVABLES - ESF EC CLAIMS PENDING,DEPARTMENT FOR WORK & PENSIONS,"£371,951"
Sept Transparency 145,22/09/2021,DIG WORKPLACE COMPUTING SERVICE,EXP - PURCHASE OF GOODS/SERVICES - OFFICE RELATED - EQUIPMENT,COMPUTACENTER UK LTD,"£371,537"
Sept Transparency 146,03/09/2021,HR SHARED SERVICES,EXP - PURCHASE OF GOODS/SERVICES - OTHER PROF SERVICES - HR,SHARED SERVICES CONNECTED LTD,"£371,241"
Sept Transparency 147,13/09/2021,WWEG EUROPEAN SOCIAL FUND PROGRAMME 2014-2020,CA - OTHER RECEIVABLES - ESF EC CLAIMS PENDING,ESF EMPLOYMENT HUB,"£370,049"
Sept Transparency 148,06/09/2021,FG CD ESTATES TOM DEL P,EXP - PURCHASE OF GOODS/SERVICES -ACCOMM & BLDNG MGMT - MAINTENANCE & REPAIRS,NG BAILEY FACILITIES SERVICES LTD ,"£366,411"
Sept Transparency 149,14/09/2021,DIG DATA ASSET MANAGEMENT,EXP - PURCHASE OF GOODS/SERVICES - HOSTING,METHODS BUSINESS AND DIGITAL TECHNOLOGY LTD,"£365,393"
Sept Transparency 150,08/09/2021,DIG ITLR - CONNECTIVITY - PSNC - DELA,AI - PFI - RENTALS UNDER NON-PFI OPERATING LEASES - P&M - CONNECTIVITY,BT GLOBAL SERVICES,"£356,443"
Sept Transparency 151,17/09/2021,FG CD ESTATES COSTS,EXP - PURCHASE OF GOODS/SERVICES - BLDNG MANAGEMENT - MAIN CONTRACTOR,ISG FIT OUT LTD,"£350,177"
Sept Transparency 152,22/09/2021,DIG WORKPLACE COMPUTING SERVICE,EXP - PURCHASE OF GOODS/SERVICES - OFFICE RELATED - EQUIPMENT,COMPUTACENTER UK LTD,"£346,671"
Sept Transparency 153,22/09/2021,DIG WORKPLACE COMPUTING SERVICE,EXP - PURCHASE OF GOODS/SERVICES - OFFICE RELATED - EQUIPMENT,COMPUTACENTER UK LTD,"£346,671"
Sept Transparency 154,02/09/2021,FG CD ESTATES RESIDUAL COSTS,EXP - PURCHASE OF GOODS/SERVICES - OTHER PROF SERVICES - NON-ADVISORY,INCENDIUM CONSULTING LTD,"£343,392"
Sept Transparency 155,07/09/2021,FG CD OPS AND CMG ACQUISITIONS,EXP - PURCHASE OF GOODS/SERVICES - ACCOMM & BLDNG MGMT - FURNITURE & FITTINGS,DAMS FURNITURE LTD,"£342,204"
Sept Transparency 156,03/09/2021,WWEG EUROPEAN SOCIAL FUND PROGRAMME 2014-2020,CA - OTHER RECEIVABLES - ESF EC CLAIMS PENDING,NASCENT 21 - ESF,"£340,938"
Sept Transparency 157,01/09/2021,DIG ITLR - TELEPHONY - PSNT - DELA,EXP - PURCHASE OF GOODS/SERVICES - SUPPORT - ICT OUTSOURCING TELEPHONY,VODAFONE LTD,"£335,825"
Sept Transparency 158,07/09/2021,DIG IDENTITY SERVICE,EXP - PURCHASE OF GOODS/SERVICES - SUPPORT - ICT OUTSOURCING SOFTWARE MAIN & SUP,SOFTWAREONE UK LTD,"£333,602"
Sept Transparency 159,27/09/2021,WWEG EUROPEAN SOCIAL FUND PROGRAMME 2014-2020,CA - OTHER RECEIVABLES - ESF EC CLAIMS PENDING,BUSINESS CLUSTERS ESF,"£326,134"
Sept Transparency 160,24/09/2021,FG CD OPS AND CMG ACQUISITIONS,EXP - PURCHASE OF GOODS/SERVICES - BLDNG MANAGEMENT - MAIN CONTRACTOR,SPELLER METCALFE MALVERN LTD,"£325,660"
Sept Transparency 161,08/09/2021,OPS SE ST DIRECTOR,EXP - PURCHASE OF GOODS/SERVICES - END USER SOFTWARE AND HARDWARE,HIPPO DIGITAL LTD,"£318,663"
Sept Transparency 162,02/09/2021,CHG KICK START,EXP - PURCHASE OF GOODS/SERVICES - OTHER PROF SERVICES - NON-ADVISORY,DELOITTE,"£314,599"
Sept Transparency 163,09/09/2021,WWEG EUROPEAN SOCIAL FUND PROGRAMME 2014-2020,CA - OTHER RECEIVABLES - ESF EC CLAIMS PENDING,WORKFORCE FOR THE FUTURE,"£314,134"
Sept Transparency 164,14/09/2021,FG CD ESTATES RESIDUAL COSTS,EXP - PURCHASE OF GOODS/SERVICES - OTHER PROF SERVICES - NON-ADVISORY,INCENDIUM CONSULTING LTD,"£311,322"
Sept Transparency 165,22/09/2021,DIG WORKPLACE COMPUTING SERVICE,EXP - PURCHASE OF GOODS/SERVICES - OFFICE RELATED - EQUIPMENT,COMPUTACENTER UK LTD,"£309,528"
Sept Transparency 166,13/09/2021,FG CD ESTATES COSTS,EXP - PURCHASE OF GOODS/SERVICES -ACCOMM & BLDNG MGMT - MAINTENANCE & REPAIRS,INSTANT MANAGED OFFICES,"£306,452"
Sept Transparency 167,27/09/2021,OPS RS DIRECTOR AND SUPPORT,EXP - PURCHASE OF GOODS/SERVICES - OTHER FACILITIES - CONTACT CENTRES,G4S GOVERNMENT AND OUTSOURCING SERVICES UK LTD,"£303,192"
Sept Transparency 168,17/09/2021,FG CD ESTATES COSTS,EXP - PURCHASE OF GOODS/SERVICES -OTHER PROFESSIONAL SERVICES - LEGAL,DENTONS UK & MIDDLE EAST LLP,"£302,276"
Sept Transparency 169,16/09/2021,FG CD ESTATES COSTS,EXP - PURCHASE OF GOODS/SERVICES -ACCOMM & BLDNG MGMT - MAINTENANCE & REPAIRS,INSTANT MANAGED OFFICES,"£295,139"
Sept Transparency 170,21/09/2021,FG CD ESTATES COSTS,EXP - PURCHASE OF GOODS/SERVICES -ACCOMM & BLDNG MGMT - MAINTENANCE & REPAIRS,INSTANT MANAGED OFFICES,"£293,272"
Sept Transparency 171,20/09/2021,DIG CHILDREN - CMG ACCELERATION ACTIVITY DEL P,EXP - SHORT-TERM CONTRACT & AGENCY STAFF - FULL COST,ACCENTURE UK LTD,"£292,520"
Sept Transparency 172,21/09/2021,HR CHANGE REQUESTS,EXP - PURCHASE OF GOODS/SERVICES - OTHER PROF SERVICES - HR,SHARED SERVICES CONNECTED LTD,"£286,800"
Sept Transparency 173,09/09/2021,FG CD ESTATES COSTS,EXP - PURCHASE OF GOODS/SERVICES -OTHER PROFESSIONAL SERVICES - LEGAL,DENTONS UKMEA LLP,"£284,528"
Sept Transparency 174,06/09/2021,CHG UC DIGITAL SERVICES-RECURRENT,EXP - PURCHASE OF GOODS/SERVICES - SUPPORT - ICT OUTSOURCING SOFTWARE LICENCES,COMPUTACENTER UK LTD,"£282,900"
Sept Transparency 175,16/09/2021,HR OHS,EXP - PURCHASE OF GOODS/SERVICES - PERSONNEL - OCCUPATIONAL HEALTH SERVICE,PAM GROUP,"£280,926"
Sept Transparency 176,20/09/2021,DIG IRIS DEL P,EXP - PURCHASE OF GOODS/SERVICES - HOSTING,KAINOS SOFTWARE LTD,"£279,196"
Sept Transparency 177,20/09/2021,DIG CROSS CUTTING SERVICES,EXP - PURCHASE OF GOODS/SERVICES - HOSTING,SCOTT LOGIC LTD,"£277,625"
Sept Transparency 178,01/09/2021,WWEG EUROPEAN SOCIAL FUND PROGRAMME 2014-2020,CA - OTHER RECEIVABLES - ESF EC CLAIMS PENDING,DEPARTMENT FOR WORK & PENSIONS,"£276,382"
Sept Transparency 179,22/09/2021,WWEG EUROPEAN SOCIAL FUND PROGRAMME 2014-2020,CA - OTHER RECEIVABLES - ESF EC CLAIMS PENDING,PATHWAYS TO SUCCESS,"£275,260"
Sept Transparency 180,21/09/2021,DIG INTELLIGENT AUTOMATION GARAGE MAINTENANCE,EXP - SHORT-TERM CONTRACT & AGENCY STAFF - FULL COST,ACCENTURE UK LTD,"£270,320"
Sept Transparency 181,24/09/2021,DIG RBC - COMMERCIAL COSTS,EXP - PURCHASE OF GOODS/SERVICES - OTHER ICT COSTS,SCRUMCONNECT LTD,"£268,545"
Sept Transparency 182,02/09/2021,DIG LOCAL PRINT SERVICE,EXP - PURCHASE OF GOODS/SERVICES - OTHER ICT COSTS,XEROX UK LTD 3W,"£264,153"
Sept Transparency 183,27/09/2021,DIG LOCAL PRINT SERVICE,EXP - PURCHASE OF GOODS/SERVICES - OTHER ICT COSTS,XEROX UK LTD 3W,"£264,153"
Sept Transparency 184,14/09/2021,WWEG EUROPEAN SOCIAL FUND PROGRAMME 2014-2020,CA - OTHER RECEIVABLES - ESF EC CLAIMS PENDING,UPSKILLING LANCASHIRE,"£257,776"
Sept Transparency 185,27/09/2021,DIG EDW REMEDIATION,EXP - PURCHASE OF GOODS/SERVICES - HOSTING,DELOITTE LLP,"£252,538"
Sept Transparency 186,10/09/2021,FG CD ESTATES TOM DEL A,EXP - PURCHASE OF GOODS/SERVICES - BLDNG MANAGEMENT - INTEGRATOR,SODEXO LTD,"£251,427"
Sept Transparency 187,16/09/2021,FG CD ESTATES TOM DEL P,EXP - PURCHASE OF GOODS/SERVICES - BLDNG MANAGEMENT - MAIN CONTRACTOR,OVERBURY PLC,"£241,797"
Sept Transparency 188,09/09/2021,DIG WA SOFTWARE & SERVICES DEL P,EXP - PURCHASE OF GOODS/SERVICES - END USER SOFTWARE AND HARDWARE,ADHUNTER LTD,"£241,113"
Sept Transparency 189,30/09/2021,DIG WORKPLACE COMPUTING SERVICE,EXP - PURCHASE OF GOODS/SERVICES - OFFICE RELATED - EQUIPMENT,COMPUTACENTER UK LTD,"£240,101"
Sept Transparency 190,15/09/2021,COMMS SPARE 1,EXP - PURCHASE OF GOODS/SERVICES - MARKETING & MEDIA - RECURRENT PUBLICITY,M&C SAATCHI UK LTD,"£237,491"
Sept Transparency 191,08/09/2021,DIG ITLR ADEP AM - ACCENTURE DEL P,EXP - PURCHASE OF GOODS/SERVICES - OTHER ICT COSTS,ACCENTURE UK LTD,"£234,629"
Sept Transparency 192,09/09/2021,WWEG WP FG CEP ESF1420 MARCHES TRANS,EXP - PURCHASE OF GOODS/SERVICES - SOCIAL CARE,REED IN PARTNERSHIP LTD,"£230,379"
Sept Transparency 193,27/09/2021,FG CD ESTATES COSTS,Exp - Purchase Of Goods/Services - Consultancy,DENTONS UK & MIDDLE EAST LLP,"£225,998"
Sept Transparency 194,20/09/2021,CHG FES WORK MANAGEMENT,EXP - PURCHASE OF GOODS/SERVICES - END USER SOFTWARE AND HARDWARE,COFORGE DPA UK LTD,"£218,684"
Sept Transparency 195,27/09/2021,DIG RTG DATA PLATFORMS DEL P,EXP - PURCHASE OF GOODS/SERVICES - HOSTING,DELOITTE LLP,"£217,383"
Sept Transparency 196,02/09/2021,DIG WORKPLACE COMPUTING SERVICE,EXP - PURCHASE OF GOODS/SERVICES - OFFICE RELATED - EQUIPMENT,COMPUTACENTER UK LTD,"£217,337"
Sept Transparency 197,01/09/2021,DIG AUTHENTICATE,EXP - PURCHASE OF GOODS/SERVICES - HOSTING,CABINET OFFICE,"£215,445"
Sept Transparency 198,15/09/2021,FG CD ESTATES TOM DEL P,EXP - PURCHASE OF GOODS/SERVICES - GAS,CORONA ENERGY RETAIL 4 LTD SCC UTILITIES ONLY,"£214,265"
Sept Transparency 199,03/09/2021,FG CD ESTATES OTHER COSTS DEL P,EXP - SERVICE ELEMENT OF NON - PFI FIN LEASES - NON PRIME,INSTANT MANAGED OFFICES,"£213,716"
Sept Transparency 200,24/09/2021,WWEG EUROPEAN SOCIAL FUND PROGRAMME 2014-2020,CA - OTHER RECEIVABLES - ESF EC CLAIMS PENDING,DIRECTIONS,"£209,699"
Sept Transparency 201,10/09/2021,FG CD OPS AND CMG ACQUISITIONS,EXP - PURCHASE OF GOODS/SERVICES - BLDNG MANAGEMENT - MAIN CONTRACTOR,SEDDON CONSTRUCTION LTD,"£209,184"
Sept Transparency 202,23/09/2021,FG CD ESTATES TOM DEL P,EXP - PURCHASE OF GOODS/SERVICES - BLDNG MANAGEMENT - MAIN CONTRACTOR,RESOLUTION INTERIORS LTD,"£206,916"
Sept Transparency 203,28/09/2021,COMMS SPARE 1,EXP - PURCHASE OF GOODS/SERVICES - MARKETING & MEDIA - PRODUCTION,MANNING GOTTLIEB OMD,"£205,170"
Sept Transparency 204,06/09/2021,DIG INTEGRATION PLATFORMS FILE TRANSFER,EXP - PURCHASE OF GOODS/SERVICES - HOSTING,OPENCAST,"£201,723"
Sept Transparency 205,23/09/2021,DIG CHILDREN - CMG ACCELERATION ACTIVITY DEL P,EXP - SHORT-TERM CONTRACT & AGENCY STAFF - FULL COST,ACCENTURE UK LTD,"£198,629"
Sept Transparency 206,17/09/2021,FG CD ESTATES COSTS,EXP - PURCHASE OF GOODS/SERVICES - BLDNG MANAGEMENT - MAIN CONTRACTOR,KIER CONSTRUCTION LTD,"£198,551"
Sept Transparency 207,20/09/2021,DIG CROSS DWP DATA GOV POLICY & IMPLEMENTATION,EXP - PURCHASE OF GOODS/SERVICES - HOSTING,DELOITTE LLP,"£197,860"
Sept Transparency 208,16/09/2021,FG CD ESTATES COSTS,EXP - PURCHASE OF GOODS/SERVICES - OTHER PROF SERVICES - NON-ADVISORY,INCENDIUM CONSULTING LTD,"£197,700"
Sept Transparency 209,20/09/2021,CMG OPS EXTERNAL CONTRACTS/SLAS OPTIONS,EXP - PURCHASE OF GOODS/SERVICES - OTHER FACILITIES - CONTACT CENTRES,G4S GOVERNMENT AND OUTSOURCING SERVICES UK LTD,"£196,750"
Sept Transparency 210,01/09/2021,SE SPD RECORDS MANAGEMENT,EXP - PURCHASE OF GOODS/SERVICES - OFFICE RELATED - REMOTE STORAGE,RESTORE PLC DOCUMENT MANAGEMENT SERVICES DIVISION,"£195,365"
Sept Transparency 211,27/09/2021,OPS LB CAPITA,EXP - PURCHASE OF GOODS/SERVICES - OTHER FACILITIES - CONTACT CENTRES,G4S GOVERNMENT AND OUTSOURCING SERVICES UK LTD,"£193,419"
Sept Transparency 212,10/09/2021,WWEG EUROPEAN SOCIAL FUND PROGRAMME 2014-2020,CA - OTHER RECEIVABLES - ESF EC CLAIMS PENDING,NORTH EAST AMBITION PILOT,"£193,356"
Sept Transparency 213,08/09/2021,DIG ITLR - CONNECTIVITY - PSNC - DELA,AI - PFI - RENTALS UNDER NON-PFI OPERATING LEASES - P&M - CONNECTIVITY,BT GLOBAL SERVICES,"£192,904"
Sept Transparency 214,13/09/2021,FG CD ESTATES COSTS,EXP - PURCHASE OF GOODS/SERVICES -ACCOMM & BLDNG MGMT - MAINTENANCE & REPAIRS,INSTANT MANAGED OFFICES,"£191,760"
Sept Transparency 215,15/09/2021,STR LEGAL SERVICES,EXP - PURCHASE OF GOODS/SERVICES -OTHER PROFESSIONAL SERVICES - LEGAL,GOVERNMENT LEGAL DEPARTMENT,"£190,196"
Sept Transparency 216,28/09/2021,DIG DDSP BUSINESS SERVICES,EXP - SHORT-TERM CONTRACT & AGENCY STAFF - FULL COST,IBM UK LTD,"£190,126"
Sept Transparency 217,21/09/2021,WWEG EUROPEAN SOCIAL FUND PROGRAMME 2014-2020,CA - OTHER RECEIVABLES - ESF EC CLAIMS PENDING,WORKFORCE FOR THE FUTURE,"£189,286"
Sept Transparency 218,13/09/2021,FG ESTATES TOM DEL A SALARY COSTS,EXP - PURCHASE OF GOODS/SERVICES - BLDNG MANAGEMENT - MAIN CONTRACTOR,ISG FIT OUT LTD,"£188,849"
Sept Transparency 219,03/09/2021,FG CD ESTATES OTHER COSTS DEL P,EXP - SERVICE ELEMENT OF NON - PFI FIN LEASES - NON PRIME,INSTANT MANAGED OFFICES,"£186,281"
Sept Transparency 220,02/09/2021,OPS LB CAPITA,EXP - PURCHASE OF GOODS/SERVICES - OTHER FACILITIES - CONTACT CENTRES,SERCO LTD,"£184,016"
Sept Transparency 221,20/09/2021,WWEG EUROPEAN SOCIAL FUND PROGRAMME 2014-2020,CA - OTHER RECEIVABLES - ESF EC CLAIMS PENDING,NORTH EAST AMBITION PILOT,"£183,333"
Sept Transparency 222,16/09/2021,FG CD ESTATES TOM DEL P,EXP - PURCHASE OF GOODS/SERVICES - BLDNG MANAGEMENT - MAIN CONTRACTOR,WATES CONSTRUCTION LTD,"£180,754"
Sept Transparency 223,22/09/2021,DIG WORKPLACE COMPUTING SERVICE,EXP - PURCHASE OF GOODS/SERVICES - OFFICE RELATED - EQUIPMENT,COMPUTACENTER UK LTD,"£180,352"
Sept Transparency 224,23/09/2021,WWEG EUROPEAN SOCIAL FUND PROGRAMME 2014-2020,CA - OTHER RECEIVABLES - ESF EC CLAIMS PENDING,SKILLS ACCESS HUB,"£180,094"
Sept Transparency 225,06/09/2021,DIG MAINTENANCE - HEALTH AND DISABILITY DEL P,EXP - PURCHASE OF GOODS/SERVICES - OTHER ICT COSTS,ENTSERV UK LTD,"£178,649"
Sept Transparency 226,02/09/2021,WWEG EUROPEAN SOCIAL FUND PROGRAMME 2014-2020,CA - OTHER RECEIVABLES - ESF EC CLAIMS PENDING,EMPLOYER LED SKILLS ESF,"£177,633"
Sept Transparency 227,30/09/2021,FG ESRM ENTERPRISE SECURITY AND RISK MANAGEMENT,EXP - PURCHASE OF GOODS/SERVICES - HOSTING,METRICSTREAM UK LTD,"£177,223"
Sept Transparency 228,03/09/2021,DIG IOS ARCHITECTURE DESIGN,EXP - SHORT-TERM CONTRACT & AGENCY STAFF - FULL COST,CAPGEMINI UK PLC,"£176,826"
Sept Transparency 229,15/09/2021,EP CEP PHASE 2 NEA NB CPA08 NORTH EAST,EXP - PURCHASE OF GOODS/SERVICES - SOCIAL CARE,PINNACLE PEOPLE,"£175,563"
Sept Transparency 230,29/09/2021,WWEG EUROPEAN SOCIAL FUND PROGRAMME 2014-2020,CA - OTHER RECEIVABLES - ESF EC CLAIMS PENDING,NORTH EAST AMBITION PILOT,"£173,573"
Sept Transparency 231,28/09/2021,OPS SE CE CUSTOMER EXPERIENCE & LEARNING,EXP - PURCHASE OF GOODS/SERVICES - HOSTING,ACCENTURE UK LTD,"£170,116"
Sept Transparency 232,07/09/2021,EP CEP PHASE 2 NEA NB CPA11 SCOTLAND,EXP - PURCHASE OF GOODS/SERVICES - SOCIAL CARE,PEOPLEPLUS GROUP LTD,"£168,768"
Sept Transparency 233,10/09/2021,FG CRC PROTECTIVE MONITORING INTEGRATION,EXP - PURCHASE OF GOODS/SERVICES - HOSTING,SOMERFORD ASSOCIATES LTD,"£168,696"
Sept Transparency 234,10/09/2021,DIG WA TACTICAL TRANSFORMATION DEL P,EXP - PURCHASE OF GOODS/SERVICES - HOSTING,VALTECH LTD,"£165,675"
Sept Transparency 235,09/09/2021,DIG WA TACTICAL TRANSFORMATION DEL P,EXP - PURCHASE OF GOODS/SERVICES - HOSTING,VALTECH LTD,"£165,675"
Sept Transparency 236,28/09/2021,DIG CITIZEN INFORMATION - STRATEGIC ARA DEL P,EXP - PURCHASE OF GOODS/SERVICES - OTHER ICT COSTS,IBM UNITED KINGDOM LTD,"£164,741"
Sept Transparency 237,15/09/2021,FG CD ESTATES COSTS,EXP - PURCHASE OF GOODS/SERVICES -OTHER PROFESSIONAL SERVICES - LEGAL,DENTONS UK & MIDDLE EAST LLP,"£163,226"
Sept Transparency 238,24/09/2021,DIG IOS ARCHITECTURE DESIGN,EXP - SHORT-TERM CONTRACT & AGENCY STAFF - FULL COST,CAPGEMINI UK PLC,"£163,208"
Sept Transparency 239,15/09/2021,FG CD ESTATES COSTS,EXP - PURCHASE OF GOODS/SERVICES -ACCOMM & BLDNG MGMT - MAINTENANCE & REPAIRS,INSTANT MANAGED OFFICES,"£162,026"
Sept Transparency 240,29/09/2021,WWEG EUROPEAN SOCIAL FUND PROGRAMME 2014-2020,CA - OTHER RECEIVABLES - ESF EC CLAIMS PENDING,EMPLOYMENT PLUS SOLENT,"£161,984"
Sept Transparency 241,10/09/2021,WWEG EUROPEAN SOCIAL FUND PROGRAMME 2014-2020,CA - OTHER RECEIVABLES - ESF EC CLAIMS PENDING,SOLENT SUPPORTING EMPLOYMENT PROGRAMME ESF,"£161,461"
Sept Transparency 242,22/09/2021,DIG MAINTENANCE - HEALTH AND DISABILITY DEL P,EXP - PURCHASE OF GOODS/SERVICES - OTHER ICT COSTS,ENTSERV UK LTD,"£161,064"
Sept Transparency 243,22/09/2021,DIG WORKPLACE COMPUTING SERVICE,EXP - PURCHASE OF GOODS/SERVICES - OFFICE RELATED - EQUIPMENT,COMPUTACENTER UK LTD,"£161,022"
Sept Transparency 244,27/09/2021,FG CD ESTATES COSTS,EXP - PURCHASE OF GOODS/SERVICES -ACCOMM & BLDNG MGMT - MAINTENANCE & REPAIRS,INSTANT MANAGED OFFICES,"£158,364"
Sept Transparency 245,27/09/2021,STR THE PENSIONS OMBUDSMAN NON BUDGET A,EXP - GRANT-IN-AID TO ARMS LENGTH BODIES - TPO,THE PENSIONS OMBUDSMAN,"£155,000"
Sept Transparency 246,14/09/2021,DIG ON PREMISES HOSTING REFRESH,PPE - INFORMATION TECHNOLOGY (OWNED) - COST - ADDITIONS,COMPUTACENTER UK LTD,"£154,379"
Sept Transparency 247,29/09/2021,WWEG EUROPEAN SOCIAL FUND PROGRAMME 2014-2020,CA - OTHER RECEIVABLES - ESF EC CLAIMS PENDING,STAFFORDSHIRE HIGHER SKILLS & ENGAGEMENT PATHWAYS ESF,"£153,658"
Sept Transparency 248,29/09/2021,DIG TECH PLATFORM CIS SEF,EXP - PURCHASE OF GOODS/SERVICES - OTHER ICT COSTS,IBM UNITED KINGDOM LTD,"£153,373"
Sept Transparency 249,03/09/2021,DIG IOS ARCHITECTURE DESIGN,EXP - SHORT-TERM CONTRACT & AGENCY STAFF - FULL COST,CAPGEMINI UK PLC,"£152,726"
Sept Transparency 250,29/09/2021,DIG WORKPLACE COMPUTING SERVICE,EXP - PURCHASE OF GOODS/SERVICES - OFFICE RELATED - EQUIPMENT,COMPUTACENTER UK LTD,"£149,258"
Sept Transparency 251,03/09/2021,FG CD ESTATES TOM DEL P,EXP - PURCHASE OF GOODS/SERVICES - WATER,CASTLE WATER LTD,"£148,508"
Sept Transparency 252,16/09/2021,DIG TECH PLATFORM CIS SEF,EXP - PURCHASE OF GOODS/SERVICES - OTHER ICT COSTS,IBM UNITED KINGDOM LTD,"£147,266"
Sept Transparency 253,27/09/2021,FG CD ESTATES TOM DEL P,EXP - PURCHASE OF GOODS/SERVICES - ACCOMMODATION & BLDNG MANAGEMENT,CUSHMAN & WAKEFIELD DEBENHAM TIE LEUNG LTD,"£146,554"
Sept Transparency 254,21/09/2021,DIG BASELINE RUN - HEALTH AND DISABILITY DEL P,EXP - PURCHASE OF GOODS/SERVICES - HOSTING,OPENCAST,"£144,908"
Sept Transparency 255,13/09/2021,WWEG EUROPEAN SOCIAL FUND PROGRAMME 2014-2020,CA - OTHER RECEIVABLES - ESF EC CLAIMS PENDING,L!NKCD,"£142,257"
Sept Transparency 256,13/09/2021,WWEG EUROPEAN SOCIAL FUND PROGRAMME 2014-2020,CA - OTHER RECEIVABLES - ESF EC CLAIMS PENDING,L!NKCD,"£139,994"
Sept Transparency 257,28/09/2021,DIG DDSP BUSINESS SERVICES,EXP - SHORT-TERM CONTRACT & AGENCY STAFF - FULL COST,IBM UK LTD,"£139,739"
Sept Transparency 258,01/09/2021,DIG CHILD R&B & CF BUSINESS SERVICES - PEOPLE DEL P,EXP - PURCHASE OF GOODS/SERVICES - OTHER PROF SERVICES - NON-ADVISORY,ACCENTURE UK LTD,"£138,717"
Sept Transparency 259,01/09/2021,WWEG EUROPEAN SOCIAL FUND PROGRAMME 2014-2020,CA - OTHER RECEIVABLES - ESF EC CLAIMS PENDING,DEPARTMENT FOR WORK & PENSIONS,"£138,709"
Sept Transparency 260,22/09/2021,DIG WORKPLACE COMPUTING SERVICE,EXP - PURCHASE OF GOODS/SERVICES - OFFICE RELATED - EQUIPMENT,COMPUTACENTER UK LTD,"£138,669"
Sept Transparency 261,07/09/2021,DIG TEAM COLLABORATION ,EXP - PURCHASE OF GOODS/SERVICES - SUPPORT - ICT OUTSOURCING SOFTWARE MAIN & SUP,INVOTRA LTD,"£138,611"
Sept Transparency 262,27/09/2021,FG CD ESTATES TOM DEL P,EXP - PURCHASE OF GOODS/SERVICES - WATER,CASTLE WATER LTD,"£138,486"
Sept Transparency 263,23/09/2021,FG ESRM ENTERPRISE SECURITY AND RISK MANAGEMENT,EXP - PURCHASE OF GOODS/SERVICES - HOSTING,AURIGA CONSULTING LTD,"£138,305"
Sept Transparency 264,16/09/2021,CHG UC DESIGN & BUILD PROGRAMME MANAGER,EXP - PURCHASE OF GOODS/SERVICES - HOSTING,INFINITYWORKS CONSULTING LTD,"£138,256"
Sept Transparency 265,17/09/2021,FG CD ESTATES COSTS,EXP - PURCHASE OF GOODS/SERVICES - BLDNG MANAGEMENT - MAIN CONTRACTOR,ISG FIT OUT LTD,"£136,705"
Sept Transparency 266,13/09/2021,WWEG EUROPEAN SOCIAL FUND PROGRAMME 2014-2020,CA - OTHER RECEIVABLES - ESF EC CLAIMS PENDING,UNDER ONE ROOF,"£135,662"
Sept Transparency 267,27/09/2021,FG CSO CHIEF SECURITY OFFICER,EXP - PURCHASE OF GOODS/SERVICES - OTHER PROF SERVICES - RECRUITMENT,CABINET OFFICE,"£133,892"
Sept Transparency 268,07/09/2021,DIG WORKPLACE COMPUTING SERVICE,EXP - PURCHASE OF GOODS/SERVICES - OFFICE RELATED - EQUIPMENT,COMPUTACENTER UK LTD,"£133,845"
Sept Transparency 269,08/09/2021,DIG CONTACT CENTRE SERVICE DEL P,EXP - PURCHASE OF GOODS/SERVICES - SUPPORT - ICT OUTSOURCING CONTACT CENTRES,BT GLOBAL SERVICE SOLUTIONS,"£133,483"
Sept Transparency 270,06/09/2021,WWEG EUROPEAN SOCIAL FUND PROGRAMME 2014-2020,CA - OTHER RECEIVABLES - ESF EC CLAIMS PENDING,SUPPORTING TECHNICAL EDUCATION IN LANCASHIRE,"£132,709"
