Identifier,Invoice Paid Date,Invoice Cost Centre Description,Invoice Account Description,Invoice Number,Supplier Name,Transparency Invoice Amount
May.Tranparency 123,04/05/2021,FG CD ESTATES COSTS,EXP - PURCHASE OF GOODS/SERVICES -ACCOMM & BLDNG MGMT - MAINTENANCE & REPAIRS,00002095-210702,INSTANT MANAGED OFFICES,"£439,600"
May.Tranparency 124,07/05/2021,FG CD ESTATES COSTS,EXP - PURCHASE OF GOODS/SERVICES -ACCOMM & BLDNG MGMT - MAINTENANCE & REPAIRS,00002095-210703,INSTANT MANAGED OFFICES,"£437,042"
May.Tranparency 125,07/05/2021,DIG WORKPLACE COMPUTING SERVICE,EXP - PURCHASE OF GOODS/SERVICES - OFFICE RELATED - EQUIPMENT,3883022557,COMPUTACENTER UK LTD,"£436,162"
May.Tranparency 126,27/05/2021,DIG FAMILY RESOURCE SURVEY ACCELERATION DEL P,EXP - PURCHASE OF GOODS/SERVICES - HOSTING,INV006413,CREDERA LTD,"£435,923"
May.Tranparency 127,18/05/2021,FG CD ESTATES COSTS,EXP - PURCHASE OF GOODS/SERVICES - BLDNG MANAGEMENT - MAIN CONTRACTOR,CSI01556-2.2,ISG FIT OUT LTD,"£435,243"
May.Tranparency 128,07/05/2021,DIG SURVEYS,EXP - PURCHASE OF GOODS/SERVICES - OTHER PROFESSIONAL SERVICES,198/1074/FTI000666,DEPARTMENT OF HEALTH,"£431,000"
May.Tranparency 129,18/05/2021,FG CD ESTATES COSTS,EXP - PURCHASE OF GOODS/SERVICES -ACCOMM & BLDNG MGMT - MAINTENANCE & REPAIRS,00002095-210718,INSTANT MANAGED OFFICES,"£430,936"
May.Tranparency 130,12/05/2021,WWEG EUROPEAN SOCIAL FUND PROGRAMME 2014-2020,CA - OTHER RECEIVABLES - ESF EC CLAIMS PENDING,06S17C01896/CL/20Q04/27,ESFA ESF PROJECTS,"£430,416"
May.Tranparency 131,18/05/2021,FG CD ESTATES COSTS,EXP - PURCHASE OF GOODS/SERVICES - BLDNG MANAGEMENT - MAIN CONTRACTOR,CSI01574-1.2,ISG FIT OUT LTD,"£424,487"
May.Tranparency 132,06/05/2021,DIG WORKPLACE COMPUTING SERVICE,EXP - PURCHASE OF GOODS/SERVICES - OFFICE RELATED - EQUIPMENT,3883016547,COMPUTACENTER UK LTD,"£423,700"
May.Tranparency 133,12/05/2021,FG CD ESTATES TOM DEL P,EXP - PURCHASE OF GOODS/SERVICES -ACCOMM & BLDNG MGMT - MAINTENANCE & REPAIRS,II9706434,NG BAILEY FACILITIES SERVICES LTD,"£423,170"
May.Tranparency 134,20/05/2021,FG CD ESTATES TOM DEL P,EXP - PURCHASE OF GOODS/SERVICES -ACCOMM & BLDNG MGMT - MAINTENANCE & REPAIRS,II9706510,NG BAILEY FACILITIES SERVICES LTD,"£420,989"
May.Tranparency 135,20/05/2021,FG CD ESTATES COSTS,EXP - PURCHASE OF GOODS/SERVICES - BLDNG MANAGEMENT - MAIN CONTRACTOR,10258347,KIER CONSTRUCTION LTD,"£402,811"
May.Tranparency 136,14/05/2021,DIG DIGITAL CROSS BOUNDARY TEAM - PEOPLE DEL P,EXP - PURCHASE OF GOODS/SERVICES - OTHER ICT COSTS,5804210973,IBM UK LTD,"£401,991"
May.Tranparency 137,25/05/2021,DIG CHILDREN - CMG ACCELERATION ACTIVITY DEL P,EXP - SHORT-TERM CONTRACT & AGENCY STAFF - FULL COST,3003507260,ACCENTURE UK LTD,"£401,082"
May.Tranparency 138,25/05/2021,WWEG EUROPEAN SOCIAL FUND PROGRAMME 2014-2020,CA - OTHER RECEIVABLES - ESF EC CLAIMS PENDING,24S17C02058/CL/20Q04/27,ESFA ESF PROJECTS,"£399,537"
May.Tranparency 139,28/05/2021,DIG PENSIONS & DISABLED SERVICE INITIATIVES,EXP - PURCHASE OF GOODS/SERVICES - OTHER ICT COSTS,INV-1266,SCRUMCONNECT LTD,"£398,295"
May.Tranparency 140,25/05/2021,UCO DIRECTOR CENTRAL COSTS,EXP - PURCHASE OF GOODS/SERVICES - OTHER PROF SERVICES - INTERPRETATION,670899S,THE BIG WORD,"£394,237"
May.Tranparency 141,28/05/2021,FG CD ESTATES COSTS,EXP - PURCHASE OF GOODS/SERVICES -ACCOMM & BLDNG MGMT - MAINTENANCE & REPAIRS,00002095-210808,INSTANT MANAGED OFFICES,"£392,440"
May.Tranparency 142,18/05/2021,FG CD ESTATES TOM DEL A,EXP - PURCHASE OF GOODS/SERVICES - BLDNG MANAGEMENT - INTEGRATOR,9900597636,SODEXO LTD,"£386,843"
May.Tranparency 143,19/05/2021,FG CD ESTATES COSTS,EXP - PURCHASE OF GOODS/SERVICES - BLDNG MANAGEMENT - MAIN CONTRACTOR,CSI01576-2,ISG FIT OUT LTD,"£375,260"
May.Tranparency 144,10/05/2021,WWEG EUROPEAN SOCIAL FUND PROGRAMME 2014-2020,CA - OTHER RECEIVABLES - ESF EC CLAIMS PENDING,04S17C01910/CL/20Q04/27,ESFA ESF PROJECTS,"£373,485"
May.Tranparency 145,17/05/2021,DIG PUBLIC CLOUD DEL P,EXP - PURCHASE OF GOODS/SERVICES - HOSTING,INV02921664,SOFTCAT PLC,"£369,310"
May.Tranparency 146,17/05/2021,FG ESTATES TOM DEL A SALARY COSTS,EXP - PURCHASE OF GOODS/SERVICES -ACCOMM & BLDNG MGMT - MAINTENANCE & REPAIRS,00002095-210711,INSTANT MANAGED OFFICES,"£368,172"
May.Tranparency 147,20/05/2021,OPS SE ST DIRECTOR,EXP - PURCHASE OF GOODS/SERVICES - END USER SOFTWARE AND HARDWARE,INV-1699,HIPPO DIGITAL LTD,"£361,560"
May.Tranparency 148,28/05/2021,WWEG EUROPEAN SOCIAL FUND PROGRAMME 2014-2020,CA - OTHER RECEIVABLES - ESF EC CLAIMS PENDING,24S19P03030/CL/21Q01/05,WORK WELL SUFFOLK 1 1,"£357,910"
May.Tranparency 149,18/05/2021,DIG ITLR - CONNECTIVITY - PSNC - DELA,AI - PFI - RENTALS UNDER NON-PFI OPERATING LEASES - P&M - CONNECTIVITY,563361,BT GLOBAL SERVICES,"£356,379"
May.Tranparency 150,21/05/2021,DWP UCO DIRECTOR OUTSOURCING,EXP - PURCHASE OF GOODS/SERVICES - OTHER FACILITIES - CONTACT CENTRES,91761470,SERCO LTD,"£350,760"
May.Tranparency 151,14/05/2021,FG CS HS PIP LOT 1,EXP - PURCHASE OF GOODS/SERVICES - MEDICAL - PIP F2F ASSESSMENTS,5584361784,ATOS IT SERVICES UK LTD TRADING AS INDEPENDENT ASSESSMENT SERVICES,"£349,770"
May.Tranparency 152,06/05/2021,FG CD ESTATES COSTS,EXP - PURCHASE OF GOODS/SERVICES - BLDNG MANAGEMENT - MAIN CONTRACTOR,CSI01549-2,ISG FIT OUT LTD,"£348,057"
May.Tranparency 153,17/05/2021,WWEG EUROPEAN SOCIAL FUND PROGRAMME 2014-2020,CA - OTHER RECEIVABLES - ESF EC CLAIMS PENDING,01S17C01970/CL/20Q04/27,ESFA ESF PROJECTS,"£347,649"
May.Tranparency 154,04/05/2021,DWP UCO DIRECTOR OUTSOURCING,EXP - PURCHASE OF GOODS/SERVICES - OTHER FACILITIES - CONTACT CENTRES,91761735,SERCO LTD,"£346,838"
May.Tranparency 155,24/05/2021,DIG ITLR - TELEPHONY - PSNT - DELA,EXP - PURCHASE OF GOODS/SERVICES - SUPPORT - ICT OUTSOURCING TELEPHONY,97897731,VODAFONE LTD,"£346,505"
May.Tranparency 156,18/05/2021,DIG WORKPLACE COMPUTING SERVICE,EXP - PURCHASE OF GOODS/SERVICES - OFFICE RELATED - EQUIPMENT,3883037749,COMPUTACENTER UK LTD,"£342,698"
May.Tranparency 157,11/05/2021,DIG CONTACT CENTRE SERVICE DEL P,EXP - PURCHASE OF GOODS/SERVICES - SUPPORT - ICT OUTSOURCING CONTACT CENTRES,564064,BT GLOBAL SERVICE SOLUTIONS,"£338,640"
May.Tranparency 158,14/05/2021,DIG PUBLIC CLOUD DEL P,EXP - PURCHASE OF GOODS/SERVICES - SUPPORT - ICT OUTSOURCING SOFTWARE LICENCES,INV0116336,BOXXE LTD,"£338,512"
May.Tranparency 159,04/05/2021,WWEG EUROPEAN SOCIAL FUND PROGRAMME 2014-2020,CA - OTHER RECEIVABLES - ESF EC CLAIMS PENDING,23S17C02087/CL/20Q04/27,ESFA ESF PROJECTS,"£336,020"
May.Tranparency 160,06/05/2021,FG CD ESTATES COSTS,EXP - PURCHASE OF GOODS/SERVICES - BLDNG MANAGEMENT - MAIN CONTRACTOR,CSI01555-2,ISG FIT OUT LTD,"£335,390"
May.Tranparency 161,28/05/2021,FG CD ESTATES COSTS,EXP - PURCHASE OF GOODS/SERVICES -ACCOMM & BLDNG MGMT - MAINTENANCE & REPAIRS,00002095-210807,INSTANT MANAGED OFFICES,"£332,228"
May.Tranparency 162,20/05/2021,FG CD ESTATES COSTS,EXP - PURCHASE OF GOODS/SERVICES - BLDNG MANAGEMENT - MAIN CONTRACTOR,CSI01578-2,ISG FIT OUT LTD,"£331,049"
May.Tranparency 163,20/05/2021,FG CD ESTATES COSTS,EXP - PURCHASE OF GOODS/SERVICES - BLDNG MANAGEMENT - MAIN CONTRACTOR,10258325,KIER CONSTRUCTION LTD,"£326,614"
May.Tranparency 164,05/05/2021,COMMS SPARE 1,EXP - PURCHASE OF GOODS/SERVICES - MARKETING & MEDIA,E04397,MANNING GOTTLIEB OMD,"£322,343"
May.Tranparency 165,25/05/2021,DIG CHILDREN - CMG ACCELERATION ACTIVITY DEL P,EXP - SHORT-TERM CONTRACT & AGENCY STAFF - FULL COST,3003507197,ACCENTURE UK LTD,"£322,280"
May.Tranparency 166,24/05/2021,FG CD ESTATES TOM DEL P,EXP - PURCHASE OF GOODS/SERVICES - BLDNG MANAGEMENT - MAIN CONTRACTOR,1504574,OVERBURY PLC,"£320,975"
May.Tranparency 167,25/05/2021,FG CD ESTATES TOM DEL P,EXP - PURCHASE OF GOODS/SERVICES - BLDNG MANAGEMENT - SECURITY,82610062638A,G4S SECURE SOLUTIONS UK LTD,"£319,012"
May.Tranparency 168,14/05/2021,FG CS HS PIP LOT 1,EXP - PURCHASE OF GOODS/SERVICES - MEDICAL - PIP F2F ASSESSMENTS,5584361785,ATOS IT SERVICES UK LTD TRADING AS INDEPENDENT ASSESSMENT SERVICES,"£316,869"
May.Tranparency 169,17/05/2021,DIG IRIS DEL P,EXP - PURCHASE OF GOODS/SERVICES - HOSTING,INV025888,KAINOS SOFTWARE LTD,"£311,483"
May.Tranparency 170,04/05/2021,FG CD ESTATES COSTS,EXP - PURCHASE OF GOODS/SERVICES - ACCOMMODATION & BLDNG MANAGEMENT,GB3002-CI-21-04223,CUSHMAN & WAKEFIELD DEBENHAM TIE LEUNG LTD,"£311,364"
May.Tranparency 171,24/05/2021,OPS LB CAPITA,EXP - PURCHASE OF GOODS/SERVICES - OTHER FACILITIES - CONTACT CENTRES,91765241,SERCO LTD,"£311,209"
May.Tranparency 172,25/05/2021,FG CD ESTATES COSTS,EXP - PURCHASE OF GOODS/SERVICES -OTHER PROFESSIONAL SERVICES - LEGAL,055394.00510/AZZR,DENTONS UK & MIDDLE EAST LLP,"£303,051"
May.Tranparency 173,19/05/2021,FG CD ESTATES TOM DEL P,EXP - PURCHASE OF GOODS/SERVICES - BLDNG MANAGEMENT - MAIN CONTRACTOR,9900597629,SODEXO LTD,"£300,905"
May.Tranparency 174,14/05/2021,FG HDD MANAGEMENT,EXP - PURCHASE OF GOODS/SERVICES - OTHER PROF SERVICES - VALUATION OFFICE,18000000072021,VALUATION OFFICE AGENCY,"£300,000"
May.Tranparency 175,21/05/2021,WWEG EUROPEAN SOCIAL FUND PROGRAMME 2014-2020,CA - OTHER RECEIVABLES - ESF EC CLAIMS PENDING,39S17C02071/CL/20Q04/27,ESFA ESF PROJECTS,"£294,815"
May.Tranparency 176,10/05/2021,WWEG EUROPEAN SOCIAL FUND PROGRAMME 2014-2020,CA - OTHER RECEIVABLES - ESF EC CLAIMS PENDING,16S17C01935/CL/20Q04/27,ESFA ESF PROJECTS,"£294,204"
May.Tranparency 177,25/05/2021,DIG WORKPLACE COMPUTING SERVICE,EXP - PURCHASE OF GOODS/SERVICES - OFFICE RELATED - EQUIPMENT,3883047406,COMPUTACENTER UK LTD,"£290,819"
May.Tranparency 178,26/05/2021,FG CD ESTATES COSTS,EXP - PURCHASE OF GOODS/SERVICES -ACCOMM & BLDNG MGMT - MAINTENANCE & REPAIRS,00002095-210727,INSTANT MANAGED OFFICES,"£289,343"
May.Tranparency 179,25/05/2021,DIG INTELLIGENT AUTOMATION GARAGE MAINTENANCE,EXP - SHORT-TERM CONTRACT & AGENCY STAFF - FULL COST,3003507201,ACCENTURE UK LTD,"£288,850"
May.Tranparency 180,13/05/2021,COMMS SPARE 1,EXP - PURCHASE OF GOODS/SERVICES - MARKETING & MEDIA,E03823,MANNING GOTTLIEB OMD,"£285,999"
May.Tranparency 181,25/05/2021,FG CD ESTATES COSTS,EXP - PURCHASE OF GOODS/SERVICES -OTHER PROFESSIONAL SERVICES - LEGAL,105187/111-PJZC,DENTONS UK & MIDDLE EAST LLP,"£285,222"
May.Tranparency 182,06/05/2021,FG CD ESTATES RESIDUAL COSTS,EXP - PURCHASE OF GOODS/SERVICES - OTHER PROF SERVICES - NON-ADVISORY,INV-1785,INCENDIUM CONSULTING LTD,"£283,129"
May.Tranparency 183,24/05/2021,WWEG EUROPEAN SOCIAL FUND PROGRAMME 2014-2020,CA - OTHER RECEIVABLES - ESF EC CLAIMS PENDING,38S16C01288/CL/20Q04/27,ESFA ESF PROJECTS,"£280,849"
May.Tranparency 184,17/05/2021,DIG CROSS CUTTING SERVICES,EXP - PURCHASE OF GOODS/SERVICES - HOSTING,INV007999,SCOTT LOGIC LTD,"£280,542"
May.Tranparency 185,13/05/2021,DIG TACTICAL TRANSFORMATION -  HWA DEL P,EXP - PURCHASE OF GOODS/SERVICES - OTHER ICT COSTS,2600110274242,CAPGEMINI UK PLC,"£277,874"
May.Tranparency 186,28/05/2021,DIG ITLR SOFTWARE DEL P,EXP - PURCHASE OF GOODS/SERVICES - SUPPORT - ICT OUTSOURCING SOFTWARE MAIN & SUP,UK01-2021000263-CI,SNOW SOFTWARE LTD,"£277,447"
May.Tranparency 187,10/05/2021,WWEG EUROPEAN SOCIAL FUND PROGRAMME 2014-2020,CA - OTHER RECEIVABLES - ESF EC CLAIMS PENDING,16S17C02026/CL/20Q04/27,ESFA ESF PROJECTS,"£275,181"
May.Tranparency 188,21/05/2021,FG CD ESTATES COSTS,EXP - PURCHASE OF GOODS/SERVICES - OTHER PROF SERVICES - NON-ADVISORY,INV-1811,INCENDIUM CONSULTING LTD,"£273,600"
May.Tranparency 189,25/05/2021,DIG WA TACTICAL TRANSFORMATION DEL P,EXP - PURCHASE OF GOODS/SERVICES - OTHER ICT COSTS,5805210593,IBM UNITED KINGDOM LTD,"£273,341"
May.Tranparency 190,17/05/2021,DIG IRIS DEL P,EXP - PURCHASE OF GOODS/SERVICES - HOSTING,INV025889,KAINOS SOFTWARE LTD,"£271,008"
May.Tranparency 191,13/05/2021,HR OHS,EXP - PURCHASE OF GOODS/SERVICES - PERSONNEL - OCCUPATIONAL HEALTH SERVICE,100665,PAM GROUP,"£270,853"
May.Tranparency 192,27/05/2021,DIG WORKPLACE COMPUTING SERVICE,EXP - PURCHASE OF GOODS/SERVICES - OFFICE RELATED - EQUIPMENT,3780121423,COMPUTACENTER UK LTD,"£270,418"
May.Tranparency 193,12/05/2021,DIG ITLR - CONNECTIVITY - PSNC - DELA,AI - PFI - RENTALS UNDER NON-PFI OPERATING LEASES - P&M - CONNECTIVITY,563515,BT GLOBAL SERVICES,"£268,574"
May.Tranparency 194,14/05/2021,FG CD ESTATES COSTS,CA - PREPAYMENTS (NON-PFI),REEPGLASGOW,DENTONS UK & MIDDLE EAST LLP,"£268,288"
May.Tranparency 195,04/05/2021,OPS PEN PS DIRECTOR OF PENSIONS OPERATIONS AND SUPPORT,EXP - PURCHASE OF GOODS/SERVICES - OTHER FACILITIES - CONTACT CENTRES,INV00284,G4S GOVERNMENT AND OUTSOURCING SERVICES UK LTD,"£267,834"
May.Tranparency 196,18/05/2021,FG CD ESTATES COSTS,EXP - PURCHASE OF GOODS/SERVICES -ACCOMM & BLDNG MGMT - MAINTENANCE & REPAIRS,00002095-210717,INSTANT MANAGED OFFICES,"£267,583"
May.Tranparency 197,25/05/2021,WWEG EUROPEAN SOCIAL FUND PROGRAMME 2014-2020,CA - OTHER RECEIVABLES - ESF EC CLAIMS PENDING,25S17C02084/CL/20Q04/27,ESFA ESF PROJECTS,"£266,721"
May.Tranparency 198,25/05/2021,DIG LOCAL PRINT SERVICE,EXP - PURCHASE OF GOODS/SERVICES - OTHER ICT COSTS,2792608,XEROX UK LTD ,"£264,153"
May.Tranparency 199,28/05/2021,FG CD ESTATES RESIDUAL COSTS,EXP - PURCHASE OF GOODS/SERVICES - OTHER PROF SERVICES - NON-ADVISORY,INV-1816,INCENDIUM CONSULTING LTD,"£261,698"
May.Tranparency 200,26/05/2021,FG CD ESTATES COSTS,EXP - PURCHASE OF GOODS/SERVICES - BLDNG MANAGEMENT - MAIN CONTRACTOR,CSI01555-3,ISG FIT OUT LTD,"£249,338"
May.Tranparency 201,17/05/2021,FG CD ESTATES COSTS,EXP - PURCHASE OF GOODS/SERVICES -ACCOMM & BLDNG MGMT - MAINTENANCE & REPAIRS,00002095-210713,INSTANT MANAGED OFFICES,"£246,940"
May.Tranparency 202,25/05/2021,WWEG EUROPEAN SOCIAL FUND PROGRAMME 2014-2020,CA - OTHER RECEIVABLES - ESF EC CLAIMS PENDING,33S17C02017/CL/20Q04/27,ESFA ESF PROJECTS,"£246,326"
May.Tranparency 203,18/05/2021,FG CD ESTATES COSTS,EXP - PURCHASE OF GOODS/SERVICES -ACCOMM & BLDNG MGMT - MAINTENANCE & REPAIRS,00002095-210716,INSTANT MANAGED OFFICES,"£241,345"
May.Tranparency 204,13/05/2021,DIG WA SOFTWARE & SERVICES DEL P,EXP - PURCHASE OF GOODS/SERVICES - END USER SOFTWARE AND HARDWARE,20210872,ADHUNTER LTD,"£241,113"
May.Tranparency 205,06/05/2021,DIG WORKPLACE COMPUTING SERVICE,EXP - PURCHASE OF GOODS/SERVICES - OFFICE RELATED - EQUIPMENT,3883010430,COMPUTACENTER UK LTD,"£237,266"
May.Tranparency 206,20/05/2021,FG CD ESTATES TOM DEL P,EXP - PURCHASE OF GOODS/SERVICES -ACCOMM & BLDNG MGMT - MAINTENANCE & REPAIRS,FACMI052503,MITIE FM LTD ,"£237,192"
May.Tranparency 207,06/05/2021,FG CD ESTATES COSTS,EXP - PURCHASE OF GOODS/SERVICES -ACCOMM & BLDNG MGMT - MAINTENANCE & REPAIRS,00002095-210705,INSTANT MANAGED OFFICES,"£237,171"
May.Tranparency 208,26/05/2021,FG CD ESTATES COSTS,EXP - PURCHASE OF GOODS/SERVICES - BLDNG MANAGEMENT - MAIN CONTRACTOR,CSI01582-2,ISG FIT OUT LTD,"£237,064"
May.Tranparency 209,07/05/2021,FG CD ESTATES COSTS,EXP - PURCHASE OF GOODS/SERVICES -ACCOMM & BLDNG MGMT - MAINTENANCE & REPAIRS,00002095-210709,INSTANT MANAGED OFFICES,"£236,450"
May.Tranparency 210,10/05/2021,FG CD ESTATES TOM DEL P,EXP - PURCHASE OF GOODS/SERVICES - ACCOMM & BLDNG MGMT - FURNITURE & FITTINGS,i198160,WAGSTAFF BROS LTD T/A WAGSTAFF INTERIORS GROUP-2WM,"£235,973"
May.Tranparency 211,20/05/2021,FG CD ESTATES COSTS,EXP - PURCHASE OF GOODS/SERVICES - BLDNG MANAGEMENT - MAIN CONTRACTOR,10258030,KIER CONSTRUCTION LTD,"£235,766"
May.Tranparency 212,14/05/2021,DIG ITLR ADEP AM - ACCENTURE DEL P,EXP - PURCHASE OF GOODS/SERVICES - OTHER ICT COSTS,3003505815,ACCENTURE UK LTD,"£234,629"
May.Tranparency 213,21/05/2021,WWEG EUROPEAN SOCIAL FUND PROGRAMME 2014-2020,CA - OTHER RECEIVABLES - ESF EC CLAIMS PENDING,20S20P04145/CL/21Q01/03,PROGRESS2WORK,"£234,556"
May.Tranparency 214,25/05/2021,FG CD ESTATES COSTS,EXP - PURCHASE OF GOODS/SERVICES - BLDNG MANAGEMENT - MAIN CONTRACTOR,10258616,KIER CONSTRUCTION LTD,"£232,632"
May.Tranparency 215,05/05/2021,FG CD SECURE PRINT,EXP - PURCHASE OF GOODS/SERVICES - OFFICE RELATED - POSTAGE,747598,G3 WORLDWIDE MAIL UK LTD,"£230,387"
May.Tranparency 216,05/05/2021,FG CS HS HDAS TCIF CONTRACT,EXP - PURCHASE OF GOODS/SERVICES - MEDICAL - FIXED COSTS,0000000362,CENTRE FOR HEALTH & DISABILITY ASSESSMENTS LTD#ZANZIBAR,"£230,000"
May.Tranparency 217,26/05/2021,FG CD ESTATES TOM DEL P,EXP - PURCHASE OF GOODS/SERVICES - ACCOMMODATION & BLDNG MANAGEMENT - BUILDING SERVICE CHARGES,FACMI052502,MITIE FM LTD ,"£229,798"
May.Tranparency 218,27/05/2021,WWEG EUROPEAN SOCIAL FUND PROGRAMME 2014-2020,CA - OTHER RECEIVABLES - ESF EC CLAIMS PENDING,33S17C01937/CL/20Q04/27,ESFA ESF PROJECTS,"£229,718"
May.Tranparency 219,06/05/2021,DIG O365 PLATFORM SERVICE,EXP - PURCHASE OF GOODS/SERVICES - HOSTING,SI0050747,AKHTER COMPUTERS LTD,"£228,717"
May.Tranparency 220,04/05/2021,FG ESRM ENTERPRISE SECURITY AND RISK MANAGEMENT,EXP - PURCHASE OF GOODS/SERVICES - HOSTING,INV/044627,AURIGA CONSULTING LTD,"£228,308"
May.Tranparency 221,07/05/2021,FG CD ESTATES COSTS,CA - PREPAYMENTS (NON-PFI),REEPMANCHESTER,DENTONS UK & MIDDLE EAST LLP,"£228,113"
May.Tranparency 222,19/05/2021,FG CD ESTATES COSTS,EXP - PURCHASE OF GOODS/SERVICES - BLDNG MANAGEMENT - MAIN CONTRACTOR,10257965,KIER CONSTRUCTION LTD,"£226,544"
May.Tranparency 223,24/05/2021,FG CD ESTATES TOM DEL P,EXP - PURCHASE OF GOODS/SERVICES - BLDNG MANAGEMENT - MAIN CONTRACTOR,129355,WATES CONSTRUCTION LTD,"£222,458"
May.Tranparency 224,10/05/2021,FG CD ESTATES COSTS,EXP - PURCHASE OF GOODS/SERVICES -ACCOMM & BLDNG MGMT - MAINTENANCE & REPAIRS,00002095-210708,INSTANT MANAGED OFFICES,"£220,312"
May.Tranparency 225,12/05/2021,FG CD ESTATES TOM DEL P,EXP - PURCHASE OF GOODS/SERVICES - WATER,2021-05,SCOTTISH WATER BUSINESS STREAM LTD,"£218,215"
May.Tranparency 226,06/05/2021,DIG WORKPLACE COMPUTING SERVICE,EXP - PURCHASE OF GOODS/SERVICES - OFFICE RELATED - EQUIPMENT,3883012674,COMPUTACENTER UK LTD,"£218,081"
May.Tranparency 227,12/05/2021,DIG WORKPLACE COMPUTING SERVICE,EXP - PURCHASE OF GOODS/SERVICES - OFFICE RELATED - EQUIPMENT,3883028987,COMPUTACENTER UK LTD,"£218,081"
May.Tranparency 228,28/05/2021,DIG SPECIALIST & ENGINEERING DEVICE SERVICE,PPE - INFORMATION TECHNOLOGY (OWNED) - COST - ADDITIONS,KZ25252,XMA LTD,"£216,901"
May.Tranparency 229,19/05/2021,SE SPD RECORDS MANAGEMENT,EXP - PURCHASE OF GOODS/SERVICES - OFFICE RELATED - REMOTE STORAGE,0667486,IRON MOUNTAIN UK LTD,"£215,115"
May.Tranparency 230,07/05/2021,WWEG EUROPEAN SOCIAL FUND PROGRAMME 2014-2020,CA - OTHER RECEIVABLES - ESF EC CLAIMS PENDING,39S16C01109/CL/20Q04/27,ESFA ESF PROJECTS,"£214,761"
May.Tranparency 231,05/05/2021,DIG WORKPLACE COMPUTING SERVICE,PPE - INFORMATION TECHNOLOGY (OWNED) - COST - ADDITIONS,3883010428,COMPUTACENTER UK LTD,"£213,763"
May.Tranparency 232,04/05/2021,DIG DDSP BUSINESS SERVICES,EXP - SHORT-TERM CONTRACT & AGENCY STAFF - FULL COST,5804211085,IBM,"£213,457"
May.Tranparency 233,17/05/2021,STR WORK & HEALTH INNOVATION FUND,EXP - CURRENT GRANTS TO LOCAL GOVERNMENT,SCR-WORKWINEXTENSIONGRANTPAYMENT-FEB21TOMAR21,SHEFFIELD CITY REGION COMBINED AUTHORITY,"£207,255"
May.Tranparency 234,05/05/2021,DIG WORKPLACE COMPUTING SERVICE,EXP - PURCHASE OF GOODS/SERVICES - OFFICE RELATED - EQUIPMENT,3980042847,COMPUTACENTER UK LTD,"£205,827"
May.Tranparency 235,19/05/2021,CHG KICK START RECURRENT,EXP - CURRENT GRANTS - NPISH - KICK START - SERVICE FEES,KICK5044853C,"EAST MIDLANDS CHAMBER (DERBYSHIRE,NOTTINGHAMSHIRE,LEICESTERSHIRE)","£204,428"
May.Tranparency 236,28/05/2021,FG CD ESTATES COSTS,EXP - PURCHASE OF GOODS/SERVICES - BLDNG MANAGEMENT - MAIN CONTRACTOR,10258054,KIER CONSTRUCTION LTD,"£203,612"
May.Tranparency 237,13/05/2021,DIG INTEGRATION - STRATEGIC ARA DEL P,EXP - PURCHASE OF GOODS/SERVICES - OTHER ICT COSTS,5804211090,IBM UK LTD,"£202,721"
May.Tranparency 238,28/05/2021,DIG WORKPLACE COMPUTING SERVICE,EXP - PURCHASE OF GOODS/SERVICES - SUPPORT - ICT OUTSOURCING SOFTWARE LICENCES,3883043807,COMPUTACENTER UK LTD,"£199,669"
May.Tranparency 239,12/05/2021,DIG ITLR - CONNECTIVITY - PSNC - DELA,AI - PFI - RENTALS UNDER NON-PFI OPERATING LEASES - P&M - CONNECTIVITY,564484,BT GLOBAL SERVICES,"£197,273"
May.Tranparency 240,25/05/2021,FG CD ESTATES COSTS,EXP - PURCHASE OF GOODS/SERVICES - ACCOMMODATION & BLDNG MANAGEMENT,GB3002-CI-21-05192,CUSHMAN & WAKEFIELD DEBENHAM TIE LEUNG LTD,"£196,619"
May.Tranparency 241,26/05/2021,CMG OPS EXTERNAL CONTRACTS/SLAS OPTIONS,EXP - PURCHASE OF GOODS/SERVICES - OTHER FACILITIES - CONTACT CENTRES,INV00287,G4S GOVERNMENT AND OUTSOURCING SERVICES UK LTD,"£194,433"
May.Tranparency 242,25/05/2021,FG CD ESTATES COSTS,EXP - PURCHASE OF GOODS/SERVICES - BLDNG MANAGEMENT - MAIN CONTRACTOR,10257273,KIER CONSTRUCTION LTD,"£190,294"
May.Tranparency 243,20/05/2021,DIG PLATFORMS FRAUD & ERROR REFRESH SPEND,EXP - PURCHASE OF GOODS/SERVICES - HOSTING,2578710,HOME OFFICE,"£189,151"
May.Tranparency 244,17/05/2021,DIG DATA TRANSFORMATION,EXP - PURCHASE OF GOODS/SERVICES - OTHER ICT COSTS,INV006416,CREDERA LTD,"£188,219"
May.Tranparency 245,26/05/2021,WWEG EUROPEAN SOCIAL FUND PROGRAMME 2014-2020,CA - OTHER RECEIVABLES - ESF EC CLAIMS PENDING,36S17C02030/CL/20Q04/27,ESFA ESF PROJECTS,"£184,242"
May.Tranparency 246,28/05/2021,DIG ITLR - OTHER NETWORK CONTRACTS - DELA,EXP - PURCHASE OF GOODS/SERVICES - SUPPORT - ICT OUTSOURCING NETWORKS,UK10/042021/7106,VODAFONE LTD,"£184,113"
