Indentifier,Invoice Paid Date,Invoice Cost Centre Description,Invoice Account Description,Invoice Number,Supplier Name,Transparency Invoice Amount
Apr. Transparency 122,20/04/2021,WWEG EUROPEAN SOCIAL FUND PROGRAMME 2014-2020,CA - OTHER RECEIVABLES - ESF EC CLAIMS PENDING,20S19P03465/CL/20Q04/06,EMPLOYMENT HUB,"£654,925"
Apr. Transparency 123,21/04/2021,FG CD ESTATES COSTS,EXP - PURCHASE OF GOODS/SERVICES - BLDNG MANAGEMENT - MAIN CONTRACTOR,CSI01557-2,ISG FIT OUT LTD,"£653,098"
Apr. Transparency 124,23/04/2021,FG CD ESTATES COSTS,EXP - PURCHASE OF GOODS/SERVICES - BLDNG MANAGEMENT - MAIN CONTRACTOR,00002095-210616,INSTANT MANAGED OFFICES,"£643,211"
Apr. Transparency 125,23/04/2021,DIG CONTACT CENTRE SERVICE DEL P,EXP - PURCHASE OF GOODS/SERVICES - SUPPORT - ICT OUTSOURCING CONTACT CENTRES,561220,BT GLOBAL SERVICES,"£642,863"
Apr. Transparency 126,14/04/2021,WWEG EUROPEAN SOCIAL FUND PROGRAMME 2014-2020,CA - OTHER RECEIVABLES - ESF EC CLAIMS PENDING,36S20C03555/CL/20Q03/04,DEPARTMENT FOR WORK & PENSIONS,"£640,186"
Apr. Transparency 127,21/04/2021,WWEG EUROPEAN SOCIAL FUND PROGRAMME 2014-2020,CA - OTHER RECEIVABLES - ESF EC CLAIMS PENDING,16S17C01930/CL/20Q04/28,THE BIG LOTTERY FUND,"£624,055"
Apr. Transparency 128,26/04/2021,FG CD ESTATES COSTS,EXP - PURCHASE OF GOODS/SERVICES -ACCOMM & BLDNG MGMT - MAINTENANCE & REPAIRS,00002095-210612,INSTANT MANAGED OFFICES,"£617,618"
Apr. Transparency 129,09/04/2021,WWEG WP FG CEP ESF1420 LANCASHIRE,EXP - PURCHASE OF GOODS/SERVICES - SOCIAL CARE,137888,G4S REGIONAL MANAGEMENT UK & I LTD,"£611,849"
Apr. Transparency 130,22/04/2021,FG CD ESTATES COSTS,EXP - PURCHASE OF GOODS/SERVICES -ACCOMM & BLDNG MGMT - MAINTENANCE & REPAIRS,00002095-210601,INSTANT MANAGED OFFICES,"£610,088"
Apr. Transparency 131,12/04/2021,DWP UCO DIRECTOR OUTSOURCING,EXP - PURCHASE OF GOODS/SERVICES - OTHER FACILITIES - CONTACT CENTRES,6119000446,CAPITA BUSINESS SERVICES LTD,"£606,143"
Apr. Transparency 132,06/04/2021,FG CRC ORCHESTRATION,EXP - PURCHASE OF GOODS/SERVICES - END USER SOFTWARE AND HARDWARE,DWP021,UNIFII,"£604,387"
Apr. Transparency 133,14/04/2021,DIG SDX REFRESH,PPE - INFORMATION TECHNOLOGY (OWNED) - COST - ADDITIONS,3882988436,COMPUTACENTER UK LTD,"£600,282"
Apr. Transparency 134,23/04/2021,DIG ITLR AMS - IBM,EXP - PURCHASE OF GOODS/SERVICES - OTHER ICT COSTS,5804210433,IBM UNITED KINGDOM LTD,"£598,822"
Apr. Transparency 135,14/04/2021,FG CD ESTATES COSTS,EXP - PURCHASE OF GOODS/SERVICES - BLDNG MANAGEMENT - MAIN CONTRACTOR,00002095-210522,INSTANT MANAGED OFFICES,"£597,323"
Apr. Transparency 136,06/04/2021,FG CD ESTATES COSTS,EXP - PURCHASE OF GOODS/SERVICES -ACCOMM & BLDNG MGMT - MAINTENANCE & REPAIRS,00002095-210509,INSTANT MANAGED OFFICES,"£596,529"
Apr. Transparency 137,16/04/2021,FG CD CORPORATE CHARGES,EXP - PURCHASE OF GOODS/SERVICES - OFFICE RELATED - POSTAGE,7295627,UK MAIL,"£595,712"
Apr. Transparency 138,14/04/2021,FG CD ESTATES COSTS,EXP - PURCHASE OF GOODS/SERVICES - BLDNG MANAGEMENT - SECURITY,82610059611,G4S SECURE SOLUTIONS UK LTD,"£595,105"
Apr. Transparency 139,15/04/2021,DIG FAMILY RESOURCE SURVEY ACCELERATION DEL P,EXP - PURCHASE OF GOODS/SERVICES - HOSTING,INV006363,CREDERA LTD,"£593,331"
Apr. Transparency 140,14/04/2021,FG CD ESTATES COSTS,EXP - PURCHASE OF GOODS/SERVICES -ACCOMM & BLDNG MGMT - MAINTENANCE & REPAIRS,00002095-210514,INSTANT MANAGED OFFICES,"£588,543"
Apr. Transparency 141,14/04/2021,WWEG EUROPEAN SOCIAL FUND PROGRAMME 2014-2020,CA - OTHER RECEIVABLES - ESF EC CLAIMS PENDING,23S16P01175/CL/20Q04/22,ESF PROGRAMME SUPPORT,"£581,056"
Apr. Transparency 142,14/04/2021,DIG DFCNI OGD,EXP - PURCHASE OF GOODS/SERVICES - OFFICE RELATED - CONTRACTED OUT SCANNING,1800089975,ENGIE SERVICES LTD,"£579,954"
Apr. Transparency 143,14/04/2021,FG CD ESTATES COSTS,EXP - PURCHASE OF GOODS/SERVICES -ACCOMM & BLDNG MGMT - MAINTENANCE & REPAIRS,00002095-210515,INSTANT MANAGED OFFICES,"£572,082"
Apr. Transparency 144,06/04/2021,FG CD ESTATES COSTS,EXP - PURCHASE OF GOODS/SERVICES -ACCOMM & BLDNG MGMT - MAINTENANCE & REPAIRS,00002095-210507,INSTANT MANAGED OFFICES,"£570,116"
Apr. Transparency 145,23/04/2021,WWEG EUROPEAN SOCIAL FUND PROGRAMME 2014-2020,CA - OTHER RECEIVABLES - ESF EC CLAIMS PENDING,08S17C01919/CL/20Q04/28,THE BIG LOTTERY FUND,"£566,148"
Apr. Transparency 146,09/04/2021,WWEG WP FG CEP ESF1420 HERTFORDSHIRE,EXP - PURCHASE OF GOODS/SERVICES - SOCIAL CARE,137856,REED IN PARTNERSHIP LTD,"£563,882"
Apr. Transparency 147,09/04/2021,DIG - SMS DEL P,EXP - PURCHASE OF GOODS/SERVICES - SUPPORT - ICT OUTSOURCING TELEPHONY,22257,REACH DATA LTD,"£562,563"
Apr. Transparency 148,01/04/2021,DIG - SECURITY PROJECTS DEL P,EXP - PURCHASE OF GOODS/SERVICES - OTHER ICT COSTS,5803211592,IBM GLOBAL SERVICES,"£562,508"
Apr. Transparency 149,06/04/2021,FG CD ESTATES COSTS,EXP - PURCHASE OF GOODS/SERVICES -ACCOMM & BLDNG MGMT - MAINTENANCE & REPAIRS,00002095-210508,INSTANT MANAGED OFFICES,"£556,016"
Apr. Transparency 150,14/04/2021,WWEG EUROPEAN SOCIAL FUND PROGRAMME 2014-2020,CA - OTHER RECEIVABLES - ESF EC CLAIMS PENDING,23S17P02100/CL/20Q02/21,LONDON COUNCILS ESF PROGRAMME 2015 2019,"£555,812"
Apr. Transparency 151,14/04/2021,DIG - SECURITY PROJECTS DEL P,EXP - PURCHASE OF GOODS/SERVICES - SUPPORT - ICT OUTSOURCING SOFTWARE MAIN & SUP,INV02885353,SOFTCAT PLC,"£553,224"
Apr. Transparency 152,12/04/2021,WWEG EUROPEAN SOCIAL FUND PROGRAMME 2014-2020,CA - OTHER RECEIVABLES - ESF EC CLAIMS PENDING,06S20P04208/CL/20Q04/03,CONNECT2 ESF,"£540,295"
Apr. Transparency 153,21/04/2021,WWEG EUROPEAN SOCIAL FUND PROGRAMME 2014-2020,CA - OTHER RECEIVABLES - ESF EC CLAIMS PENDING,20S17C01904/CL/20Q04/28A,THE BIG LOTTERY FUND,"£528,835"
Apr. Transparency 154,12/04/2021,DWP UCO DIRECTOR OUTSOURCING,EXP - PURCHASE OF GOODS/SERVICES - OTHER FACILITIES - CONTACT CENTRES,6119000445,CAPITA BUSINESS SERVICES LTD,"£525,625"
Apr. Transparency 155,14/04/2021,DIG WORKPLACE COMPUTING SERVICE,EXP - PURCHASE OF GOODS/SERVICES - OFFICE RELATED - EQUIPMENT,3780119855,COMPUTACENTER UK LTD,"£521,477"
Apr. Transparency 156,26/04/2021,EP CEP WHP DWP CONTRACTS NW ENG CPA3,EXP - PURCHASE OF GOODS/SERVICES - SOCIAL CARE,138079,INGEUS UK LTD,"£520,375"
Apr. Transparency 157,08/04/2021,DIG CHILDREN  - CMS 2012 CORE,EXP - PURCHASE OF GOODS/SERVICES - OTHER ICT COSTS,MHFI521042158,TATA CONSULTANCY SERVICES LTD,"£502,146"
Apr. Transparency 158,19/04/2021,FG CD ESTATES COSTS,EXP - PURCHASE OF GOODS/SERVICES - BLDNG MANAGEMENT - MAIN CONTRACTOR,00002095-210525,INSTANT MANAGED OFFICES,"£501,509"
Apr. Transparency 159,19/04/2021,DIG WORKPLACE COMPUTING SERVICE,EXP - PURCHASE OF GOODS/SERVICES - OFFICE RELATED - EQUIPMENT,PSINV03092923,CDW LTD,"£496,710"
Apr. Transparency 160,26/04/2021,DIG DATA ASSET MANAGEMENT,EXP - PURCHASE OF GOODS/SERVICES - OFFICE RELATED - POSTAGE,DRMMarch21ma,ROYAL MAIL GROUP PLC,"£484,022"
Apr. Transparency 161,30/04/2021,WWEG EUROPEAN SOCIAL FUND PROGRAMME 2014-2020,CA - OTHER RECEIVABLES - ESF EC CLAIMS PENDING,32S17C01940/CL/20Q04/28,THE BIG LOTTERY FUND,"£481,787"
Apr. Transparency 162,15/04/2021,FG CD STRATEGY AND BUSINESS MANAGEMENT,EXP - PURCHASE OF GOODS/SERVICES - HOSTING,DWP-G12-CS-04,PIXEL GROUP LTD,"£478,362"
Apr. Transparency 163,26/04/2021,FG FIN CONT SHARED SERVICES CORE COSTS,EXP - PURCHASE OF GOODS/SERVICES - SUPPORT - ICT OUTSOURCING SOFTWARE LICENCES,100022168,SHARED SERVICES CONNECTED LTD,"£469,370"
Apr. Transparency 164,28/04/2021,DIG PENSIONS & DISABLED SERVICE INITIATIVES,EXP - PURCHASE OF GOODS/SERVICES - OTHER ICT COSTS,INV-1245,SCRUMCONNECT LTD,"£456,315"
Apr. Transparency 165,12/04/2021,DWP UCO DIRECTOR OUTSOURCING,EXP - PURCHASE OF GOODS/SERVICES - OTHER FACILITIES - CONTACT CENTRES,6119000447,CAPITA BUSINESS SERVICES LTD,"£453,341"
Apr. Transparency 166,01/04/2021,FG CD ESTATES TOM DEL P,EXP - PURCHASE OF GOODS/SERVICES - BLDNG MANAGEMENT - MAIN CONTRACTOR,52941,FES SUPPORT SERVICES LTD,"£451,910"
Apr. Transparency 167,21/04/2021,WWEG EUROPEAN SOCIAL FUND PROGRAMME 2014-2020,CA - OTHER RECEIVABLES - ESF EC CLAIMS PENDING,30S17C01885/CL/20Q04/28A,THE BIG LOTTERY FUND,"£451,889"
Apr. Transparency 168,01/04/2021,DIG - SECURITY PROJECTS DEL P,EXP - PURCHASE OF GOODS/SERVICES - OTHER ICT COSTS,5801210941,IBM GLOBAL SERVICES,"£450,203"
Apr. Transparency 169,01/04/2021,FG CD ESTATES TOM DEL P,EXP - PURCHASE OF GOODS/SERVICES - BLDNG MANAGEMENT - MAIN CONTRACTOR,128533,WATES CONSTRUCTION LTD,"£449,456"
Apr. Transparency 170,14/04/2021,FG FSC BANKING,EXP - PURCHASE OF GOODS/SERVICES - OTHER - BANK CHARGES,GBS065,NATIONAL WESTMINSTER BANK PLC,"£446,081"
Apr. Transparency 171,28/04/2021,DIG PENSIONS & DISABLED SERVICE INITIATIVES,EXP - PURCHASE OF GOODS/SERVICES - OTHER ICT COSTS,INV-1241,SCRUMCONNECT LTD,"£439,740"
Apr. Transparency 172,22/04/2021,DIG - SMS DEL P,EXP - PURCHASE OF GOODS/SERVICES - SUPPORT - ICT OUTSOURCING TELEPHONY,22381,REACH DATA LTD,"£431,545"
Apr. Transparency 173,26/04/2021,DIG CROSS DWP DATA GOV POLICY & IMPLEMENTATION,EXP - PURCHASE OF GOODS/SERVICES - HOSTING,8001739157,DELOITTE LLP,"£431,498"
Apr. Transparency 174,23/04/2021,FG CD ESTATES COSTS,EXP - PURCHASE OF GOODS/SERVICES -ACCOMM & BLDNG MGMT - MAINTENANCE & REPAIRS,00002095-210611,INSTANT MANAGED OFFICES,"£425,881"
Apr. Transparency 175,26/04/2021,DIG CHILDREN - CMG ACCELERATION ACTIVITY DEL P,EXP - SHORT-TERM CONTRACT & AGENCY STAFF - FULL COST,3003504255,ACCENTURE UK LTD,"£425,511"
Apr. Transparency 176,26/04/2021,EP CEP WHP DWP CONTRACTS WALES CPA6,EXP - PURCHASE OF GOODS/SERVICES - SOCIAL CARE,138074,REMPLOY LTD,"£424,290"
Apr. Transparency 177,26/04/2021,DIG DATA TRANSFORMATION,EXP - PURCHASE OF GOODS/SERVICES - OTHER ICT COSTS,2600110272982,CAPGEMINI UK PLC,"£419,779"
Apr. Transparency 178,01/04/2021,EP CEP WHP DEV. CONTRACTS LONDON SOUTH CPA10,EXP - CURRENT GRANTS TO LOCAL GOVERNMENT,SLPWHPQ121/22,LONDON BOROUGH OF CROYDON,"£417,756"
Apr. Transparency 179,20/04/2021,DIG ITLR GENERIC OTHER,EXP - SHORT-TERM CONTRACT & AGENCY STAFF - FULL COST,XT0000100221713E,HMRC,"£414,054"
Apr. Transparency 180,22/04/2021,FG CD ESTATES COSTS,EXP - PURCHASE OF GOODS/SERVICES -ACCOMM & BLDNG MGMT - MAINTENANCE & REPAIRS,00002095-210531,INSTANT MANAGED OFFICES,"£409,449"
Apr. Transparency 181,27/04/2021,DIG UNIFIED COMMS SERVICE,EXP - PURCHASE OF GOODS/SERVICES - SUPPORT - ICT OUTSOURCING NETWORKS,INV02895724,SOFTCAT PLC,"£409,248"
Apr. Transparency 182,08/04/2021,DIG - SECURITY PROJECTS DEL P,EXP - PURCHASE OF GOODS/SERVICES - OTHER ICT COSTS,5803212442,IBM LTD,"£406,338"
Apr. Transparency 183,07/04/2021,WWEG EUROPEAN SOCIAL FUND PROGRAMME 2014-2020,CA - OTHER RECEIVABLES - ESF EC CLAIMS PENDING,07S16C00938/CL/20Q03/27,DEPARTMENT FOR WORK & PENSIONS,"£405,002"
Apr. Transparency 184,23/04/2021,FG ESTATES TOM DEL A SALARY COSTS,EXP - PURCHASE OF GOODS/SERVICES - OTHER PROF SERVICES - NON-ADVISORY,TCM6830,MCBAINS LTD,"£398,747"
Apr. Transparency 185,12/04/2021,DWP UCO DIRECTOR OUTSOURCING,EXP - PURCHASE OF GOODS/SERVICES - OTHER FACILITIES - CONTACT CENTRES,6119000448,CAPITA BUSINESS SERVICES LTD,"£393,834"
Apr. Transparency 186,06/04/2021,FG CD ESTATES COSTS,EXP - PURCHASE OF GOODS/SERVICES -ACCOMM & BLDNG MGMT - MAINTENANCE & REPAIRS,00002079-210331,INSTANT MANAGED OFFICES,"£388,776"
Apr. Transparency 187,23/04/2021,WWEG EUROPEAN SOCIAL FUND PROGRAMME 2014-2020,CA - OTHER RECEIVABLES - ESF EC CLAIMS PENDING,34S17C01890/CL/20Q04/28,THE BIG LOTTERY FUND,"£388,076"
Apr. Transparency 188,23/04/2021,FG CD ESTATES COSTS,EXP - PURCHASE OF GOODS/SERVICES -ACCOMM & BLDNG MGMT - MAINTENANCE & REPAIRS,00002095-210610,INSTANT MANAGED OFFICES,"£386,893"
Apr. Transparency 189,14/04/2021,FG CD OPS AND CMG ACQUISITIONS,EXP - PURCHASE OF GOODS/SERVICES - BLDNG MANAGEMENT - MAIN CONTRACTOR,CIN8669,SPELLER METCALFE MALVERN LTD,"£377,497"
Apr. Transparency 190,06/04/2021,DIG - NETWORK TRANSFORMATION DEL P,EXP - PURCHASE OF GOODS/SERVICES - HOSTING,DWP-NTFR-11-I,UBDS IT CONSULTING LTD,"£374,651"
Apr. Transparency 191,08/04/2021,FG CD ESTATES TOM DEL P,EXP - PURCHASE OF GOODS/SERVICES - BLDNG MANAGEMENT - MAIN CONTRACTOR,21030151-53-55-56-57-59-61-76-63-65-67-68-85-86-73,SEDDON CONSTRUCTION LTD,"£372,315"
Apr. Transparency 192,21/04/2021,WWEG EUROPEAN SOCIAL FUND PROGRAMME 2014-2020,CA - OTHER RECEIVABLES - ESF EC CLAIMS PENDING,19S17C01879/CL/20Q04/28,THE BIG LOTTERY FUND,"£368,531"
Apr. Transparency 193,14/04/2021,FG CD ESTATES COSTS,EXP - PURCHASE OF GOODS/SERVICES - BLDNG MANAGEMENT - MAIN CONTRACTOR,SL008203,INTERSERVE CONSTRUCTION LTD,"£367,569"
Apr. Transparency 194,16/04/2021,FG CD ESTATES COSTS,EXP - PURCHASE OF GOODS/SERVICES -ACCOMM & BLDNG MGMT - MAINTENANCE & REPAIRS,00002095-210521,INSTANT MANAGED OFFICES,"£361,967"
Apr. Transparency 195,22/04/2021,DIG DESKTOP BRIGHT SERVICE DEL P,EXP - PURCHASE OF GOODS/SERVICES - OTHER ICT COSTS,6100890A,ENTSERV UK LTD,"£360,672"
Apr. Transparency 196,15/04/2021,STR DECISION MAKING & APPEALS,EXP - PURCHASE OF GOODS/SERVICES - OFFICE RELATED - REPROGRAPHICS,2790189,XEROX UK LTD#ZANZIBAR,"£355,260"
Apr. Transparency 197,07/04/2021,FG CD ESTATES TOM DEL P,EXP - PURCHASE OF GOODS/SERVICES - BLDNG MANAGEMENT - MAIN CONTRACTOR,22538,RESOLUTION INTERIORS LTD,"£354,992"
Apr. Transparency 198,16/04/2021,DIG ITLR - TELEPHONY - PSNT - DELA,EXP - PURCHASE OF GOODS/SERVICES - SUPPORT - ICT OUTSOURCING TELEPHONY,97531035,VODAFONE LTD,"£350,078"
Apr. Transparency 199,16/04/2021,DIG ITLR - TELEPHONY - PSNT - DELA,EXP - PURCHASE OF GOODS/SERVICES - SUPPORT - ICT OUTSOURCING TELEPHONY,97611867,VODAFONE LTD,"£346,676"
Apr. Transparency 200,14/04/2021,FG CD ESTATES COSTS,EXP - PURCHASE OF GOODS/SERVICES - BLDNG MANAGEMENT - MAIN CONTRACTOR,00002095-210524,INSTANT MANAGED OFFICES,"£342,730"
Apr. Transparency 201,26/04/2021,DIG INTELLIGENT AUTOMATION GARAGE MAINTENANCE,EXP - SHORT-TERM CONTRACT & AGENCY STAFF - FULL COST,3003504262,ACCENTURE UK LTD,"£339,649"
Apr. Transparency 202,14/04/2021,DIG WORKPLACE COMPUTING SERVICE,PPE - INFORMATION TECHNOLOGY (OWNED) - COST - ADDITIONS,3882988638,COMPUTACENTER UK LTD,"£336,098"
Apr. Transparency 203,14/04/2021,DIG WORKPLACE COMPUTING SERVICE,PPE - INFORMATION TECHNOLOGY (OWNED) - COST - ADDITIONS,3882990632,COMPUTACENTER UK LTD,"£336,098"
Apr. Transparency 204,20/04/2021,DIG IDENTITY SERVICE,EXP - PURCHASE OF GOODS/SERVICES - SUPPORT - ICT OUTSOURCING SOFTWARE MAIN & SUP,GB-PSI-239167B,SOFTWAREONE UK LTD,"£333,602"
Apr. Transparency 205,26/04/2021,DIG CHILDREN - CMG ACCELERATION ACTIVITY DEL P,EXP - SHORT-TERM CONTRACT & AGENCY STAFF - FULL COST,3003504212,ACCENTURE UK LTD,"£333,080"
Apr. Transparency 206,14/04/2021,FG CD ESTATES COSTS,EXP - PURCHASE OF GOODS/SERVICES - OTHER PROF SERVICES - NON-ADVISORY,INV-1778,INCENDIUM CONSULTING LTD,"£330,075"
Apr. Transparency 207,21/04/2021,WWEG EUROPEAN SOCIAL FUND PROGRAMME 2014-2020,CA - OTHER RECEIVABLES - ESF EC CLAIMS PENDING,03S17C01886/CL/20Q04/28A,THE BIG LOTTERY FUND,"£329,058"
Apr. Transparency 208,12/04/2021,WWEG EUROPEAN SOCIAL FUND PROGRAMME 2014-2020,CA - OTHER RECEIVABLES - ESF EC CLAIMS PENDING,17S16C00936/CL/20Q02/26,DEPARTMENT FOR WORK & PENSIONS,"£326,646"
Apr. Transparency 209,01/04/2021,FG CD ESTATES TOM DEL P,EXP - PURCHASE OF GOODS/SERVICES - BLDNG MANAGEMENT - MAIN CONTRACTOR,AP12866-002,MORRIS & SPOTTISWOOD,"£325,536"
Apr. Transparency 210,23/04/2021,FG CD ESTATES COSTS,EXP - PURCHASE OF GOODS/SERVICES -ACCOMM & BLDNG MGMT - MAINTENANCE & REPAIRS,00002095-210615,INSTANT MANAGED OFFICES,"£319,451"
Apr. Transparency 211,20/04/2021,DIG IDENTITY SERVICE,EXP - PURCHASE OF GOODS/SERVICES - SUPPORT - ICT OUTSOURCING SOFTWARE LICENCES,42542007323,HID GLOBAL SAS,"£314,720"
Apr. Transparency 212,19/04/2021,FG CD ESTATES COSTS,EXP - PURCHASE OF GOODS/SERVICES - BLDNG MANAGEMENT - MAIN CONTRACTOR,CSI01561-1,ISG FIT OUT LTD,"£314,709"
Apr. Transparency 213,07/04/2021,DIG ITLR SOFTWARE DEL P,EXP - PURCHASE OF GOODS/SERVICES - END USER SOFTWARE AND HARDWARE,SI2101371,MERKLE UK THREE LTD,"£312,379"
Apr. Transparency 214,07/04/2021,DIG WORKPLACE COMPUTING SERVICE,PPE - INFORMATION TECHNOLOGY (OWNED) - COST - ADDITIONS,3882962201,COMPUTACENTER UK LTD,"£311,978"
Apr. Transparency 215,19/04/2021,WWEG EUROPEAN SOCIAL FUND PROGRAMME 2014-2020,CA - OTHER RECEIVABLES - ESF EC CLAIMS PENDING,19S18P02813/CL/20Q04/11,LEADING LANCASHIRE,"£304,479"
Apr. Transparency 216,14/04/2021,DIG DIGITAL CROSS BOUNDARY TEAM - PEOPLE DEL P,EXP - PURCHASE OF GOODS/SERVICES - OTHER ICT COSTS,5803211594,IBM UK LTD,"£303,520"
Apr. Transparency 217,08/04/2021,DIG O365 PLATFORM BRIGHT SERVICE DEL P,EXP - PURCHASE OF GOODS/SERVICES - SUPPORT - ICT OUTSOURCING SOFTWARE LICENCES,5242961,INSIGHT DIRECT UK LTD,"£301,879"
Apr. Transparency 218,21/04/2021,OPS LB BELFAST SERVICE CENTRE,EXP - PURCHASE OF GOODS/SERVICES - OTHER - NORTHERN IRELAND NON STAFF COSTS,LISAHALLY-DFCINV-MAR21-INV,DEPARTMENT FOR COMMUNITIES,"£300,363"
Apr. Transparency 219,07/04/2021,FG CD ESTATES COSTS,EXP - PURCHASE OF GOODS/SERVICES - BLDNG MANAGEMENT - MAIN CONTRACTOR,CSI01557-1,ISG FIT OUT LTD,"£300,069"
Apr. Transparency 220,14/04/2021,DIG - SDX DEL P,PPE - INFORMATION TECHNOLOGY (OWNED) - COST - ADDITIONS,INV02884240,SOFTCAT PLC,"£299,049"
Apr. Transparency 221,14/04/2021,FG CD ESTATES COSTS,EXP - PURCHASE OF GOODS/SERVICES - BLDNG MANAGEMENT - MAIN CONTRACTOR,00002095-210523,INSTANT MANAGED OFFICES,"£295,914"
Apr. Transparency 222,09/04/2021,HR OHS,EXP - PURCHASE OF GOODS/SERVICES - PERSONNEL - OCCUPATIONAL HEALTH SERVICE,99635,PAM GROUP,"£295,717"
Apr. Transparency 223,27/04/2021,DWP UCO DIRECTOR OUTSOURCING,EXP - PURCHASE OF GOODS/SERVICES - OTHER FACILITIES - CONTACT CENTRES,91759465,SERCO LTD,"£295,597"
Apr. Transparency 224,20/04/2021,OPS LB CAPITA,EXP - PURCHASE OF GOODS/SERVICES - OTHER FACILITIES - CONTACT CENTRES,91759466,SERCO LTD,"£293,247"
Apr. Transparency 225,26/04/2021,DIG IRIS DEL P,EXP - PURCHASE OF GOODS/SERVICES - HOSTING,INV025527,KAINOS SOFTWARE LTD,"£293,239"
Apr. Transparency 226,28/04/2021,WWEG EUROPEAN SOCIAL FUND PROGRAMME 2014-2020,CA - OTHER RECEIVABLES - ESF EC CLAIMS PENDING,22S17C01905/CL/20Q04/28,THE BIG LOTTERY FUND,"£286,048"
Apr. Transparency 227,23/04/2021,WWEG EUROPEAN SOCIAL FUND PROGRAMME 2014-2020,CA - OTHER RECEIVABLES - ESF EC CLAIMS PENDING,06S17C01920/CL/20Q04/28,THE BIG LOTTERY FUND,"£285,064"
Apr. Transparency 228,26/04/2021,DIG IRIS DEL P,EXP - PURCHASE OF GOODS/SERVICES - HOSTING,INV025526,KAINOS SOFTWARE LTD,"£282,671"
Apr. Transparency 229,27/04/2021,OPS DS ATW DISC EP NATIONAL,EXP - PURCHASE OF GOODS/SERVICES - SOCIAL CARE,138135,INGEUS UK LTD,"£281,803"
Apr. Transparency 230,01/04/2021,COMMS SPARE 1,EXP - PURCHASE OF GOODS/SERVICES - MARKETING & MEDIA - PRODUCTION,196865,MANNING GOTTLIEB OMD,"£279,877"
Apr. Transparency 231,23/04/2021,WWEG EUROPEAN SOCIAL FUND PROGRAMME 2014-2020,CA - OTHER RECEIVABLES - ESF EC CLAIMS PENDING,06S20P04216/CL/20Q04/03,ROUTES2,"£276,723"
Apr. Transparency 232,08/04/2021,FG CD ESTATES TOM DEL P,EXP - PURCHASE OF GOODS/SERVICES - BLDNG MANAGEMENT - MAIN CONTRACTOR,9900589990,SODEXO LTD,"£276,644"
Apr. Transparency 233,23/04/2021,WWEG EUROPEAN SOCIAL FUND PROGRAMME 2014-2020,CA - OTHER RECEIVABLES - ESF EC CLAIMS PENDING,15S17C01887/CL/20Q04/28,THE BIG LOTTERY FUND,"£275,105"
Apr. Transparency 234,08/04/2021,DIG DATA ASSET MANAGEMENT,EXP - PURCHASE OF GOODS/SERVICES - HOSTING,SIN064313,METHODS BUSINESS AND DIGITAL TECHNOLOGY LTD,"£271,492"
Apr. Transparency 235,26/04/2021,DIG CROSS CUTTING SERVICES,EXP - PURCHASE OF GOODS/SERVICES - HOSTING,INV007943,SCOTT LOGIC LTD,"£271,491"
Apr. Transparency 236,06/04/2021,FG CD ESTATES COSTS,EXP - PURCHASE OF GOODS/SERVICES -ACCOMM & BLDNG MGMT - MAINTENANCE & REPAIRS,00002081-210326,INSTANT MANAGED OFFICES,"£271,451"
Apr. Transparency 237,28/04/2021,DIG WA TACTICAL TRANSFORMATION DEL P,EXP - PURCHASE OF GOODS/SERVICES - OTHER ICT COSTS,5804210971,IBM UNITED KINGDOM LTD,"£269,835"
Apr. Transparency 238,06/04/2021,DIG WORKPLACE COMPUTING SERVICE,EXP - PURCHASE OF GOODS/SERVICES - OFFICE RELATED - EQUIPMENT,3980042325,COMPUTACENTER UK LTD,"£268,379"
Apr. Transparency 239,09/04/2021,FG CD ESTATES TOM DEL P,EXP - PURCHASE OF GOODS/SERVICES - BLDNG MANAGEMENT - MAIN CONTRACTOR,21030152-154-158-160-175-162-164-166-048-169-171-,SEDDON CONSTRUCTION LTD,"£268,203"
Apr. Transparency 240,06/04/2021,DIG SPECIALIST & ENGINEERING DEVICE SERVICE,PPE - INFORMATION TECHNOLOGY (OWNED) - COST - ADDITIONS,KY71330,XMA LTD,"£268,057"
Apr. Transparency 241,14/04/2021,WWEG EUROPEAN SOCIAL FUND PROGRAMME 2014-2020,CA - OTHER RECEIVABLES - ESF EC CLAIMS PENDING,34S16P00545/CL/20Q04/22,NEW COLLEGE DURHAM,"£266,295"
Apr. Transparency 242,27/04/2021,OPS DS ATW DISC EP NATIONAL,EXP - PURCHASE OF GOODS/SERVICES - SOCIAL CARE,138130,REMPLOY LTD,"£263,943"
Apr. Transparency 243,21/04/2021,WWEG EUROPEAN SOCIAL FUND PROGRAMME 2014-2020,CA - OTHER RECEIVABLES - ESF EC CLAIMS PENDING,17S17C01893/CL/20Q04/28,THE BIG LOTTERY FUND,"£263,147"
Apr. Transparency 244,27/04/2021,DIG UNIFIED COMMS SERVICE,EXP - PURCHASE OF GOODS/SERVICES - SUPPORT - ICT OUTSOURCING NETWORKS,INV02890621,SOFTCAT PLC,"£263,088"
Apr. Transparency 245,27/04/2021,DIG UNIFIED COMMS SERVICE,EXP - PURCHASE OF GOODS/SERVICES - SUPPORT - ICT OUTSOURCING NETWORKS,INV02890626,SOFTCAT PLC,"£263,088"
Apr. Transparency 246,20/04/2021,FG CD ESTATES COSTS,Exp - Purchase Of Goods/Services - Consultancy,91229567,DENTONS UK & MIDDLE EAST LLP,"£263,019"
