Departmental Family,Entity,Date,Expense Type,Expense Area,Supplier,Transaction Number, Amount ,PO Line Description ,Supplier Postcode,Supplier Type,Contract Number,Project Code,Expenditure Type,,
Department of Health and Social Care,Department of Health and Social Care,14/10/2020,Service Charge - ICT,COMMUNITY CARE,DXS UK LTD,23481," 161,678.15 ",,GU10 4PS,SME,,,,,
Department of Health and Social Care,Department of Health and Social Care,28/10/2020,Revenue Grants to local authorities,GLOBAL AND PUBLIC HEALTH,EALING LONDON BOROUGH COUNCIL,ERS-647483-198497," 1,025,418.00 ",,W5 2HL,PUBLIC,,,,,
Department of Health and Social Care,Department of Health and Social Care,02/10/2020,Research & development,CHIEF SCIENTIFIC ADVISOR,EAST ANGLIA UNIVERSITY OF,ERS-645515-197077," 51,000.00 ",,NR4 7TJ,PUBLIC,,,,,
Department of Health and Social Care,Department of Health and Social Care,06/10/2020,Capital Grants to non-profit institutions,FINANCE AND GROUP OPERATIONS,EAST ANGLIAN AIR AMBULANCE,ERS-645719-197221," 193,270.74 ",,NR6 6EG,VCS,,,,,
Department of Health and Social Care,Department of Health and Social Care,26/10/2020,Additions PDC Capital Support NHS T Permanent,Holding CT Core,EAST LANCASHIRE HOSPITALS NHS TRUST,HAFS-31313," 1,000,000.00 ",,BB2 3HH,PUBLIC,,,,,
Department of Health and Social Care,Department of Health and Social Care,05/10/2020,Additions PDC Capital Support NHS T Permanent,Holding CT Core,EAST LANCASHIRE HOSPITALS NHS TRUST,HAFS-31292," 2,000,000.00 ",,BB2 3HH,PUBLIC,,,,,
Department of Health and Social Care,Department of Health and Social Care,13/10/2020,Research & development,CHIEF SCIENTIFIC ADVISOR,EAST LONDON NHS FOUNDATION TRUST,ERS-646190-197608," 38,360.00 ",,E1 1RD,PUBLIC,,,,,
Department of Health and Social Care,Department of Health and Social Care,26/10/2020,Additions PDC Capital Support NHS T Permanent,Holding CT Core,EAST SUSSEX HEALTHCARE NHS TRUST,HAFS-31314," 1,000,000.00 ",,TN37 7PT,PUBLIC,,,,,
Department of Health and Social Care,Department of Health and Social Care,02/10/2020,Research & development,GLOBAL AND PUBLIC HEALTH,EDCT,659401468," 167,500.00 ",EDCTP2: Contribution to programme management,,LARGE,,,,,
Department of Health and Social Care,Department of Health and Social Care,02/10/2020,Research & development,GLOBAL AND PUBLIC HEALTH,EDCT,659401468," 3,350,000.00 ",EDCTP's - COVID-19 Response,,LARGE,,,,,
Department of Health and Social Care,Department of Health and Social Care,16/10/2020,Electricity,FINANCE AND GROUP OPERATIONS,EDF ENERGY PLC,8509123," 17,835.97 ",,EX1 3UT,LARGE,,,,,
Department of Health and Social Care,Department of Health and Social Care,01/10/2020,Electricity,FINANCE AND GROUP OPERATIONS,EDF ENERGY PLC,8333160," 31,056.43 ",,EX1 3UT,LARGE,,,,,
Department of Health and Social Care,Department of Health and Social Care,16/10/2020,Electricity,FINANCE AND GROUP OPERATIONS,EDF ENERGY PLC,8509123," 1,758.61 ",,EX1 3UT,LARGE,,,,,
Department of Health and Social Care,Department of Health and Social Care,01/10/2020,Electricity,FINANCE AND GROUP OPERATIONS,EDF ENERGY PLC,8333160," 5,628.47 ",,EX1 3UT,LARGE,,,,,
Department of Health and Social Care,Department of Health and Social Care,16/10/2020,Electricity,FINANCE AND GROUP OPERATIONS,EDF ENERGY PLC,8509123," 45,920.46 ",,EX1 3UT,LARGE,,,,,
Department of Health and Social Care,Department of Health and Social Care,01/10/2020,Electricity,FINANCE AND GROUP OPERATIONS,EDF ENERGY PLC,8333160," 96,085.82 ",,EX1 3UT,LARGE,,,,,
Department of Health and Social Care,Department of Health and Social Care,16/10/2020,Electricity,FINANCE AND GROUP OPERATIONS,EDF ENERGY PLC,8509123," 28,474.97 ",,EX1 3UT,LARGE,,,,,
Department of Health and Social Care,Department of Health and Social Care,01/10/2020,Electricity,FINANCE AND GROUP OPERATIONS,EDF ENERGY PLC,8333160," 57,953.64 ",,EX1 3UT,LARGE,,,,,
Department of Health and Social Care,Department of Health and Social Care,02/10/2020,Research & development,CHIEF SCIENTIFIC ADVISOR,EDINBURGH UNIVERSITY OF,ERS-645517-197078," 115,594.14 ",,EH1 1HT,PUBLIC,,,,,
Department of Health and Social Care,Department of Health and Social Care,15/10/2020,Delivery of NHS Transaction related operational efficiency,GLOBAL AND PUBLIC HEALTH,EGON ZEHNDER LTD,LO20001230," 40,000.00 ",,SW1E 5LB,SME,,,,,
Department of Health and Social Care,Department of Health and Social Care,16/10/2020,Delivery of NHS Transaction related operational efficiency,GLOBAL AND PUBLIC HEALTH,EGON ZEHNDER LTD,LO20001231," 40,000.00 ",,SW1E 5LB,SME,,,,,
Department of Health and Social Care,Department of Health and Social Care,16/10/2020,Delivery of NHS Transaction related operational efficiency,GLOBAL AND PUBLIC HEALTH,EGON ZEHNDER LTD,LO20001232," 40,000.00 ",,SW1E 5LB,SME,,,,,
Department of Health and Social Care,Department of Health and Social Care,21/10/2020,Service Charge - ICT,COMMUNITY CARE,EGTON MEDICAL INFORMATION SYSTEMS LTD,EM-FIN002324," 3,694,902.96 ",,LS19 6BA,LARGE,,,,,
Department of Health and Social Care,Department of Health and Social Care,07/10/2020,Delivery of NHS Transaction related operational efficiency,GLOBAL AND PUBLIC HEALTH,ELITE PLASTICS LTD,232683," 71,500.00 ",PPE - Aprons,HR2 6JR,LARGE,,,,,
Department of Health and Social Care,Department of Health and Social Care,07/10/2020,Delivery of NHS Transaction related operational efficiency,GLOBAL AND PUBLIC HEALTH,ELITE PLASTICS LTD,232814," 71,500.00 ",PPE - Aprons,HR2 6JR,LARGE,,,,,
Department of Health and Social Care,Department of Health and Social Care,07/10/2020,Delivery of NHS Transaction related operational efficiency,GLOBAL AND PUBLIC HEALTH,ELITE PLASTICS LTD,232906," 71,500.00 ",PPE - Aprons,HR2 6JR,LARGE,,,,,
Department of Health and Social Care,Department of Health and Social Care,07/10/2020,Delivery of NHS Transaction related operational efficiency,GLOBAL AND PUBLIC HEALTH,ELITE PLASTICS LTD,233000," 71,500.00 ",PPE - Aprons,HR2 6JR,LARGE,,,,,
Department of Health and Social Care,Department of Health and Social Care,07/10/2020,Delivery of NHS Transaction related operational efficiency,GLOBAL AND PUBLIC HEALTH,ELITE PLASTICS LTD,233029," 71,500.00 ",PPE - Aprons,HR2 6JR,LARGE,,,,,
Department of Health and Social Care,Department of Health and Social Care,07/10/2020,Delivery of NHS Transaction related operational efficiency,GLOBAL AND PUBLIC HEALTH,ELITE PLASTICS LTD,233044," 71,500.00 ",PPE - Aprons,HR2 6JR,LARGE,,,,,
Department of Health and Social Care,Department of Health and Social Care,08/10/2020,Delivery of NHS Transaction related operational efficiency,GLOBAL AND PUBLIC HEALTH,ELITE PLASTICS LTD,232929," 71,500.00 ",PPE - Aprons,HR2 6JR,LARGE,,,,,
Department of Health and Social Care,Department of Health and Social Care,08/10/2020,Delivery of NHS Transaction related operational efficiency,GLOBAL AND PUBLIC HEALTH,ELITE PLASTICS LTD,232951," 71,500.00 ",PPE - Aprons,HR2 6JR,LARGE,,,,,
Department of Health and Social Care,Department of Health and Social Care,08/10/2020,Delivery of NHS Transaction related operational efficiency,GLOBAL AND PUBLIC HEALTH,ELITE PLASTICS LTD,232978," 71,500.00 ",PPE - Aprons,HR2 6JR,LARGE,,,,,
Department of Health and Social Care,Department of Health and Social Care,08/10/2020,Delivery of NHS Transaction related operational efficiency,GLOBAL AND PUBLIC HEALTH,ELITE PLASTICS LTD,232999," 71,500.00 ",PPE - Aprons,HR2 6JR,LARGE,,,,,
Department of Health and Social Care,Department of Health and Social Care,15/10/2020,Delivery of NHS Transaction related operational efficiency,GLOBAL AND PUBLIC HEALTH,ELITE PLASTICS LTD,233115," 71,500.00 ",PPE - Aprons,HR2 6JR,LARGE,,,,,
Department of Health and Social Care,Department of Health and Social Care,27/10/2020,Delivery of NHS Transaction related operational efficiency,GLOBAL AND PUBLIC HEALTH,ELITE PLASTICS LTD,232057," 71,500.00 ",PPE - Aprons,HR2 6JR,LARGE,,,,,
Department of Health and Social Care,Department of Health and Social Care,27/10/2020,Delivery of NHS Transaction related operational efficiency,GLOBAL AND PUBLIC HEALTH,ELITE PLASTICS LTD,232059," 71,500.00 ",PPE - Aprons,HR2 6JR,LARGE,,,,,
Department of Health and Social Care,Department of Health and Social Care,27/10/2020,Delivery of NHS Transaction related operational efficiency,GLOBAL AND PUBLIC HEALTH,ELITE PLASTICS LTD,232162," 71,500.00 ",PPE - Aprons,HR2 6JR,LARGE,,,,,
Department of Health and Social Care,Department of Health and Social Care,27/10/2020,Delivery of NHS Transaction related operational efficiency,GLOBAL AND PUBLIC HEALTH,ELITE PLASTICS LTD,232163," 71,500.00 ",PPE - Aprons,HR2 6JR,LARGE,,,,,
Department of Health and Social Care,Department of Health and Social Care,27/10/2020,Delivery of NHS Transaction related operational efficiency,GLOBAL AND PUBLIC HEALTH,ELITE PLASTICS LTD,232249," 71,500.00 ",PPE - Aprons,HR2 6JR,LARGE,,,,,
Department of Health and Social Care,Department of Health and Social Care,27/10/2020,Delivery of NHS Transaction related operational efficiency,GLOBAL AND PUBLIC HEALTH,ELITE PLASTICS LTD,232258," 71,500.00 ",PPE - Aprons,HR2 6JR,LARGE,,,,,
Department of Health and Social Care,Department of Health and Social Care,27/10/2020,Delivery of NHS Transaction related operational efficiency,GLOBAL AND PUBLIC HEALTH,ELITE PLASTICS LTD,232301," 71,500.00 ",PPE - Aprons,HR2 6JR,LARGE,,,,,
Department of Health and Social Care,Department of Health and Social Care,27/10/2020,Delivery of NHS Transaction related operational efficiency,GLOBAL AND PUBLIC HEALTH,ELITE PLASTICS LTD,233171," 71,500.00 ",PPE - Aprons,HR2 6JR,LARGE,,,,,
Department of Health and Social Care,Department of Health and Social Care,27/10/2020,Delivery of NHS Transaction related operational efficiency,GLOBAL AND PUBLIC HEALTH,ELITE PLASTICS LTD,233195," 71,500.00 ",PPE - Aprons,HR2 6JR,LARGE,,,,,
Department of Health and Social Care,Department of Health and Social Care,27/10/2020,Delivery of NHS Transaction related operational efficiency,GLOBAL AND PUBLIC HEALTH,ELITE PLASTICS LTD,233196," 71,500.00 ",PPE - Aprons,HR2 6JR,LARGE,,,,,
Department of Health and Social Care,Department of Health and Social Care,27/10/2020,Delivery of NHS Transaction related operational efficiency,GLOBAL AND PUBLIC HEALTH,ELITE PLASTICS LTD,233197," 71,500.00 ",PPE - Aprons,HR2 6JR,LARGE,,,,,
Department of Health and Social Care,Department of Health and Social Care,27/10/2020,Delivery of NHS Transaction related operational efficiency,GLOBAL AND PUBLIC HEALTH,ELITE PLASTICS LTD,233286," 71,500.00 ",PPE - Aprons,HR2 6JR,LARGE,,,,,
Department of Health and Social Care,Department of Health and Social Care,27/10/2020,Delivery of NHS Transaction related operational efficiency,GLOBAL AND PUBLIC HEALTH,ELITE PLASTICS LTD,233312," 71,500.00 ",PPE - Aprons,HR2 6JR,LARGE,,,,,
Department of Health and Social Care,Department of Health and Social Care,27/10/2020,Delivery of NHS Transaction related operational efficiency,GLOBAL AND PUBLIC HEALTH,ELITE PLASTICS LTD,233319," 71,500.00 ",PPE - Aprons,HR2 6JR,LARGE,,,,,
Department of Health and Social Care,Department of Health and Social Care,27/10/2020,Delivery of NHS Transaction related operational efficiency,GLOBAL AND PUBLIC HEALTH,ELITE PLASTICS LTD,233347," 71,500.00 ",PPE - Aprons,HR2 6JR,LARGE,,,,,
Department of Health and Social Care,Department of Health and Social Care,07/10/2020,Revenue Grants to non-profit institutions,GLOBAL AND PUBLIC HEALTH,ELTON JOHN AIDS FOUNDATION,ERS-645778-197301," 297,999.00 ",,W14 0HG,VCS,,,,,
Department of Health and Social Care,Department of Health and Social Care,02/10/2020,Building repairs & maintenance,FINANCE AND GROUP OPERATIONS,EMCOR FACILITIES SERVICES LTD,586949RI," 46,619.61 ",,SO53 3YE,LARGE,,,,,
Department of Health and Social Care,Department of Health and Social Care,02/10/2020,Building repairs & maintenance,FINANCE AND GROUP OPERATIONS,EMCOR FACILITIES SERVICES LTD,586953RI," 6,428.31 ",,SO53 3YE,LARGE,,,,,
Department of Health and Social Care,Department of Health and Social Care,02/10/2020,Building repairs & maintenance,FINANCE AND GROUP OPERATIONS,EMCOR FACILITIES SERVICES LTD,586952RI," 8,651.26 ",,SO53 3YE,LARGE,,,,,
Department of Health and Social Care,Department of Health and Social Care,02/10/2020,Building repairs & maintenance,FINANCE AND GROUP OPERATIONS,EMCOR FACILITIES SERVICES LTD,586951RI," 40,451.21 ",,SO53 3YE,LARGE,,,,,
Department of Health and Social Care,Department of Health and Social Care,02/10/2020,Building repairs & maintenance,FINANCE AND GROUP OPERATIONS,EMCOR FACILITIES SERVICES LTD,586950RI," 74,944.00 ",,SO53 3YE,LARGE,,,,,
Department of Health and Social Care,Department of Health and Social Care,02/10/2020,Facilities management: contract,FINANCE AND GROUP OPERATIONS,EMCOR FACILITIES SERVICES LTD,586949RI," 37,982.92 ",,SO53 3YE,LARGE,,,,,
Department of Health and Social Care,Department of Health and Social Care,02/10/2020,Facilities management: contract,FINANCE AND GROUP OPERATIONS,EMCOR FACILITIES SERVICES LTD,586953RI," 12,793.63 ",,SO53 3YE,LARGE,,,,,
Department of Health and Social Care,Department of Health and Social Care,02/10/2020,Facilities management: contract,FINANCE AND GROUP OPERATIONS,EMCOR FACILITIES SERVICES LTD,586952RI," 7,893.23 ",,SO53 3YE,LARGE,,,,,
Department of Health and Social Care,Department of Health and Social Care,02/10/2020,Facilities management: contract,FINANCE AND GROUP OPERATIONS,EMCOR FACILITIES SERVICES LTD,586951RI," 35,197.70 ",,SO53 3YE,LARGE,,,,,
Department of Health and Social Care,Department of Health and Social Care,02/10/2020,Facilities management: contract,FINANCE AND GROUP OPERATIONS,EMCOR FACILITIES SERVICES LTD,586950RI," 55,787.33 ",,SO53 3YE,LARGE,,,,,
Department of Health and Social Care,Department of Health and Social Care,02/10/2020,Cleaning: contract,FINANCE AND GROUP OPERATIONS,EMCOR FACILITIES SERVICES LTD,586949RI," 22,163.66 ",,SO53 3YE,LARGE,,,,,
Department of Health and Social Care,Department of Health and Social Care,02/10/2020,Cleaning: contract,FINANCE AND GROUP OPERATIONS,EMCOR FACILITIES SERVICES LTD,586953RI," 4,833.05 ",,SO53 3YE,LARGE,,,,,
Department of Health and Social Care,Department of Health and Social Care,02/10/2020,Cleaning: contract,FINANCE AND GROUP OPERATIONS,EMCOR FACILITIES SERVICES LTD,586952RI," 3,464.17 ",,SO53 3YE,LARGE,,,,,
Department of Health and Social Care,Department of Health and Social Care,02/10/2020,Cleaning: contract,FINANCE AND GROUP OPERATIONS,EMCOR FACILITIES SERVICES LTD,586951RI," 30,817.80 ",,SO53 3YE,LARGE,,,,,
Department of Health and Social Care,Department of Health and Social Care,02/10/2020,Cleaning: contract,FINANCE AND GROUP OPERATIONS,EMCOR FACILITIES SERVICES LTD,586950RI," 51,615.88 ",,SO53 3YE,LARGE,,,,,
Department of Health and Social Care,Department of Health and Social Care,06/10/2020,Facilities management: contract,FINANCE AND GROUP OPERATIONS,EMCOR FACILITIES SERVICES LTD,00586990RI," 21,251.26 ",,SO53 3YE,LARGE,,,,,
Department of Health and Social Care,Department of Health and Social Care,02/10/2020,Security: contract,FINANCE AND GROUP OPERATIONS,EMCOR FACILITIES SERVICES LTD,586949RI," 43,298.69 ",,SO53 3YE,LARGE,,,,,
Department of Health and Social Care,Department of Health and Social Care,02/10/2020,Security: contract,FINANCE AND GROUP OPERATIONS,EMCOR FACILITIES SERVICES LTD,586952RI," 5,077.28 ",,SO53 3YE,LARGE,,,,,
Department of Health and Social Care,Department of Health and Social Care,02/10/2020,Security: contract,FINANCE AND GROUP OPERATIONS,EMCOR FACILITIES SERVICES LTD,586951RI," 39,374.04 ",,SO53 3YE,LARGE,,,,,
Department of Health and Social Care,Department of Health and Social Care,02/10/2020,Security: contract,FINANCE AND GROUP OPERATIONS,EMCOR FACILITIES SERVICES LTD,586950RI," 54,112.16 ",,SO53 3YE,LARGE,,,,,
Department of Health and Social Care,Department of Health and Social Care,07/10/2020,Addition Clearing - OLB,FINANCE AND GROUP OPERATIONS,EMCOR FACILITIES SERVICES LTD,00586074RI," 27,406.40 ",,SO53 3YE,LARGE,,,,,
Department of Health and Social Care,Department of Health and Social Care,07/10/2020,Addition Clearing - OLB,FINANCE AND GROUP OPERATIONS,EMCOR FACILITIES SERVICES LTD,00586069RI," 49,295.10 ",,SO53 3YE,LARGE,,,,,
Department of Health and Social Care,Department of Health and Social Care,07/10/2020,Addition Clearing - OLB,FINANCE AND GROUP OPERATIONS,EMCOR FACILITIES SERVICES LTD,00586071RI," 28,214.32 ",,SO53 3YE,LARGE,,,,,
Department of Health and Social Care,Department of Health and Social Care,06/10/2020,Addition Clearing - P&M,FINANCE AND GROUP OPERATIONS,EMCOR FACILITIES SERVICES LTD,00586070RI," 83,166.83 ",,SO53 3YE,LARGE,,,,,
Department of Health and Social Care,Department of Health and Social Care,06/10/2020,Addition Clearing - P&M,FINANCE AND GROUP OPERATIONS,EMCOR FACILITIES SERVICES LTD,00586067RI," 47,809.36 ",,SO53 3YE,LARGE,,,,,
Department of Health and Social Care,Department of Health and Social Care,06/10/2020,Estate management: contract,FINANCE AND GROUP OPERATIONS,EMCOR FACILITIES SERVICES LTD,00586068RI," 75,596.87 ",,SO53 3YE,LARGE,,,,,
Department of Health and Social Care,Department of Health and Social Care,07/10/2020,Addition Clearing - P&M,FINANCE AND GROUP OPERATIONS,EMCOR FACILITIES SERVICES LTD,00586072RI," 87,164.82 ",,SO53 3YE,LARGE,,,,,
Department of Health and Social Care,Department of Health and Social Care,06/10/2020,Estate management: contract,FINANCE AND GROUP OPERATIONS,EMCOR FACILITIES SERVICES LTD,00586079RI," 27,414.53 ",,SO53 3YE,LARGE,,,,,
Department of Health and Social Care,Department of Health and Social Care,29/10/2020,Estate management: contract,FINANCE AND GROUP OPERATIONS,EMCOR FACILITIES SERVICES LTD,00586081RI," 38,487.28 ",,SO53 3YE,LARGE,,,,,
Department of Health and Social Care,Department of Health and Social Care,06/10/2020,Estate management: contract,FINANCE AND GROUP OPERATIONS,EMCOR FACILITIES SERVICES LTD,00586080RI," 59,991.85 ",,SO53 3YE,LARGE,,,,,
Department of Health and Social Care,Department of Health and Social Care,02/10/2020,Security: contract,FINANCE AND GROUP OPERATIONS,EMCOR FACILITIES SERVICES LTD,586950RI,-0.01 ,,SO53 3YE,LARGE,,,,,
Department of Health and Social Care,Department of Health and Social Care,28/10/2020,Revenue Grants to local authorities,GLOBAL AND PUBLIC HEALTH,ENFIELD LONDON BOROUGH COUNCIL,ERS-647484-198498," 1,001,382.00 ",,EN1 3XL,PUBLIC,,,,,
Department of Health and Social Care,Department of Health and Social Care,26/10/2020,Additions PDC Capital Support NHS T Permanent,Holding CT Core,EPSOM & ST HELIER UNIVERSITY HOSPITAL NHS TRUST,HAFS-31315," 600,000.00 ",,SM5 1AA,PUBLIC,,,,,
Department of Health and Social Care,Department of Health and Social Care,23/10/2020,Consultancy/Professional Advice,FINANCE AND GROUP OPERATIONS,ERNST AND YOUNG LLP,GB01G000125116," 44,480.00 ",,SE1 2AF,LARGE,,,,,
Department of Health and Social Care,Department of Health and Social Care,22/10/2020,Consultancy/Professional Advice,GLOBAL AND PUBLIC HEALTH,ERNST AND YOUNG LLP,GB01G000128765," 205,485.60 ",,SE1 2AF,LARGE,,,,,
Department of Health and Social Care,Department of Health and Social Care,05/10/2020,Consultancy/Professional Advice,GLOBAL AND PUBLIC HEALTH,ERNST AND YOUNG LLP,GB01G000122088," 272,446.80 ",,SE1 2AF,LARGE,,,,,
Department of Health and Social Care,Department of Health and Social Care,05/10/2020,Consultancy/Professional Advice,GLOBAL AND PUBLIC HEALTH,ERNST AND YOUNG LLP,GB01G000121732," 683,388.00 ",,SE1 2AF,LARGE,,,,,
Department of Health and Social Care,Department of Health and Social Care,06/10/2020,Capital Grants to non-profit institutions,FINANCE AND GROUP OPERATIONS,ESSEX AND HERTS AIR AMBULANCE TRUST,ERS-645712-197181," 647,647.00 ",,CO6 2NS,VCS,,,,,
Department of Health and Social Care,Department of Health and Social Care,28/10/2020,Revenue Grants to local authorities,GLOBAL AND PUBLIC HEALTH,ESSEX COUNTY COUNCIL,ERS-647485-198499," 4,467,567.00 ",,CM1 1JZ,PUBLIC,,,,,
Department of Health and Social Care,Department of Health and Social Care,16/10/2020,Delivery of NHS Transaction related operational efficiency,GLOBAL AND PUBLIC HEALTH,EURO PACKAGING UK LTD,92044141," 25,025.00 ",PPE - Aprons,B25 8HE,LARGE,,,,,
Department of Health and Social Care,Department of Health and Social Care,12/10/2020,Research & development,GLOBAL AND PUBLIC HEALTH,EUROFINS BIOMNIS UK LTD,7003108V," 17,330,240.00 ",,GU15 3DF,SME,,,,,
Department of Health and Social Care,Department of Health and Social Care,15/10/2020,Service Charge - ICT,COMMUNITY CARE,EVA HEALTH TECHNOLOGIES LIMITED,97453," 21,498.58 ",,PL31 1EX,SME,,,,,
Department of Health and Social Care,Department of Health and Social Care,19/10/2020,Service Charge - ICT,CHIEF SCIENTIFIC ADVISOR,EVA HEALTH TECHNOLOGIES LIMITED,97668," 35,691.00 ",,PL31 1EX,SME,,,,,
Department of Health and Social Care,Department of Health and Social Care,26/10/2020,Research & development,CHIEF SCIENTIFIC ADVISOR,EXETER UNIVERSITY OF,ERS-647208-198301," 27,828.18 ",,EX4 4QJ,PUBLIC,,,,,
Department of Health and Social Care,Department of Health and Social Care,06/10/2020,Revenue Grants to non-profit institutions,COMMUNITY CARE,FAMILY ACTION LTD,ERS-645745-197243," 37,495.00 ",,N1 7GR,VCS,,,,,
Department of Health and Social Care,Department of Health and Social Care,30/10/2020,Revenue Grants to local authorities,GLOBAL AND PUBLIC HEALTH,FYLDE BOROUGH COUNCIL,ERS-647785-198782," 888,580.00 ",,FY8 1LW,PUBLIC,,,,,
Department of Health and Social Care,Department of Health and Social Care,30/10/2020,Delivery of NHS Transaction related operational efficiency,GLOBAL AND PUBLIC HEALTH,G4S FACILITIES MANAGEMENT (UK) LIMITED,90405130," 18,835,572.17 ",,S81 7QF,LARGE,,,,,
Department of Health and Social Care,Department of Health and Social Care,28/10/2020,Revenue Grants to local authorities,GLOBAL AND PUBLIC HEALTH,GATESHEAD COUNCIL,ERS-647486-198529," 1,010,275.00 ",,NE8 1HH,PUBLIC,,,,,
Department of Health and Social Care,Department of Health and Social Care,12/10/2020,Additions-PDC permanent,Holding CT Core,GATESHEAD HEALTH NHS FOUNDATION TRUST,HAFS-31303," 181,000.00 ",,NE8 4YL,PUBLIC,,,,,
Department of Health and Social Care,Department of Health and Social Care,27/10/2020,Delivery of NHS Transaction related operational efficiency,GLOBAL AND PUBLIC HEALTH,GBUK LTD,308185," 81,000.00 ",PPE - Aprons,YO8 5DD,LARGE,,,,,
Department of Health and Social Care,Department of Health and Social Care,27/10/2020,Delivery of NHS Transaction related operational efficiency,GLOBAL AND PUBLIC HEALTH,GBUK LTD,309102," 81,000.00 ",PPE - Aprons,YO8 5DD,LARGE,,,,,
Department of Health and Social Care,Department of Health and Social Care,28/10/2020,Delivery of NHS Transaction related operational efficiency,GLOBAL AND PUBLIC HEALTH,GBUK LTD,310338," 81,000.00 ",PPE - Aprons,YO8 5DD,LARGE,,,,,
Department of Health and Social Care,Department of Health and Social Care,27/10/2020,Delivery of NHS Transaction related operational efficiency,GLOBAL AND PUBLIC HEALTH,GBUK LTD,308185, 396.00 ,,YO8 5DD,LARGE,,,,,
Department of Health and Social Care,Department of Health and Social Care,27/10/2020,Delivery of NHS Transaction related operational efficiency,GLOBAL AND PUBLIC HEALTH,GBUK LTD,309102, 396.00 ,,YO8 5DD,LARGE,,,,,
Department of Health and Social Care,Department of Health and Social Care,28/10/2020,Delivery of NHS Transaction related operational efficiency,GLOBAL AND PUBLIC HEALTH,GBUK LTD,310338, 396.00 ,,YO8 5DD,LARGE,,,,,
Department of Health and Social Care,Department of Health and Social Care,19/10/2020,Outsourcing Contract,ACUTE CARE AND WORKFORCE,GENERAL MEDICAL COUNCIL,90001901," 462,680.50 ",,M3 3AW,PUBLIC,,,,,
Department of Health and Social Care,Department of Health and Social Care,26/10/2020,Research & development,CHIEF SCIENTIFIC ADVISOR,GLASGOW UNIVERSITY OF,ERS-647209-198302," 99,550.64 ",,G12 8QQ,PUBLIC,,,,,
Department of Health and Social Care,Department of Health and Social Care,13/10/2020,Outsourcing Contract,GLOBAL AND PUBLIC HEALTH,GORDON EDEN LTD,558," 50,000.00 ",,M3 5FS,SME,,,,,
Department of Health and Social Care,Department of Health and Social Care,22/10/2020,Legal Fees,FINANCE AND GROUP OPERATIONS,Government Legal Department CLIENT MONIES,482029," 33,551.24 ",,SW1H 9GL,PUBLIC,,,,,
Department of Health and Social Care,Department of Health and Social Care,15/10/2020,Legal Fees,FINANCE AND GROUP OPERATIONS,GOVERNMENT LEGAL DEPARTMENT OFFICE MONIES,481054," 26,058.05 ",,SW1H 9GL,PUBLIC,,,,,
Department of Health and Social Care,Department of Health and Social Care,15/10/2020,Legal Fees,FINANCE AND GROUP OPERATIONS,GOVERNMENT LEGAL DEPARTMENT OFFICE MONIES,480142," 31,424.39 ",,SW1H 9GL,PUBLIC,,,,,
Department of Health and Social Care,Department of Health and Social Care,08/10/2020,Professional fees,GLOBAL AND PUBLIC HEALTH,GOVERNMENT LEGAL DEPARTMENT OFFICE MONIES,481844," 217,905.22 ",,SW1H 9GL,PUBLIC,,,,,
Department of Health and Social Care,Department of Health and Social Care,07/10/2020,Professional fees,GLOBAL AND PUBLIC HEALTH,GOVERNMENT LEGAL DEPARTMENT OFFICE MONIES,478963," 521,114.76 ",,SW1H 9GL,PUBLIC,,,,,
Department of Health and Social Care,Department of Health and Social Care,08/10/2020,Professional fees,GLOBAL AND PUBLIC HEALTH,GOVERNMENT LEGAL DEPARTMENT OFFICE MONIES,481915," 573,012.73 ",,SW1H 9GL,PUBLIC,,,,,
Department of Health and Social Care,Department of Health and Social Care,08/10/2020,Professional fees,GLOBAL AND PUBLIC HEALTH,GOVERNMENT LEGAL DEPARTMENT OFFICE MONIES,478801," 1,224,281.82 ",,SW1H 9GL,PUBLIC,,,,,
Department of Health and Social Care,Department of Health and Social Care,13/10/2020,Research & development,CHIEF SCIENTIFIC ADVISOR,GREAT ORMOND STREET HOSPITAL FOR CHILDREN NHS FOUNDATION TRUST,ERS-646267-197565," 606,910.00 ",,WC1N 3JH,PUBLIC,,,,,
Department of Health and Social Care,Department of Health and Social Care,13/10/2020,Research & development,CHIEF SCIENTIFIC ADVISOR,GREAT ORMOND STREET HOSPITAL FOR CHILDREN NHS FOUNDATION TRUST,ERS-646283-197566," 51,836.00 ",,WC1N 3JH,PUBLIC,,,,,
Department of Health and Social Care,Department of Health and Social Care,13/10/2020,Research & development,CHIEF SCIENTIFIC ADVISOR,GREAT ORMOND STREET HOSPITAL FOR CHILDREN NHS FOUNDATION TRUST,ERS-646206-197564," 108,667.00 ",,WC1N 3JH,PUBLIC,,,,,
Department of Health and Social Care,Department of Health and Social Care,13/10/2020,Research & development,CHIEF SCIENTIFIC ADVISOR,GREATER MANCHESTER MENTAL HEALTH NHS FOUNDATION TRUST,ERS-646212-197617," 79,587.00 ",,M25 3BL,PUBLIC,,,,,
Department of Health and Social Care,Department of Health and Social Care,28/10/2020,Revenue Grants to local authorities,GLOBAL AND PUBLIC HEALTH,GREENWICH LONDON BOROUGH COUNCIL,ERS-647487-198500," 863,826.00 ",,SE18 6PW,PUBLIC,,,,,
Department of Health and Social Care,Department of Health and Social Care,13/10/2020,Research & development,CHIEF SCIENTIFIC ADVISOR,GUYS AND ST THOMAS NHS FOUNDATION TRUST,ERS-646263-197553," 1,076,601.00 ",,SE1 7EH,PUBLIC,,,,,
