Departmental Family,Entity,Date,Expense Type,Expense Area,Supplier,Transaction Number, Amount ,PO Line Description ,Supplier Postcode,Supplier Type,Contract Number,Project Code,Expenditure Type,,
Department of Health and Social Care,Department of Health and Social Care,19/01/2021,Contractor/ Staff Substitution,Adult Social Care,ALEXANDER MANN SOLUTIONS LTD PSR ONLY,2247828," 1,036.36 ",,EC2N 3AQ,Large,,,#N/A,,
Department of Health and Social Care,Department of Health and Social Care,22/01/2021,Contractor/ Staff Substitution,Global Health,ALEXANDER MANN SOLUTIONS LTD PSR ONLY,2242660," 1,008.10 ",,EC2N 3AQ,Large,,,#N/A,,
Department of Health and Social Care,Department of Health and Social Care,06/01/2021,Contractor/ Staff Substitution,Global Health,ALEXANDER MANN SOLUTIONS LTD PSR ONLY,2231836, 986.33 ,,EC2N 3AQ,Large,,,#N/A,,
Department of Health and Social Care,Department of Health and Social Care,19/01/2021,Contractor/ Staff Substitution,Adult Social Care,ALEXANDER MANN SOLUTIONS LTD PSR ONLY,2247829, 985.49 ,,EC2N 3AQ,Large,,,#N/A,,
Department of Health and Social Care,Department of Health and Social Care,20/01/2021,Contractor/ Staff Substitution,Adult Social Care,ALEXANDER MANN SOLUTIONS LTD PSR ONLY,2242716, 985.49 ,,EC2N 3AQ,Large,,,#N/A,,
Department of Health and Social Care,Department of Health and Social Care,22/01/2021,Contractor/ Staff Substitution,Commercial,ALEXANDER MANN SOLUTIONS LTD PSR ONLY,2239064, 930.82 ,,EC2N 3AQ,Large,,,#N/A,,
Department of Health and Social Care,Department of Health and Social Care,28/01/2021,Contractor/ Staff Substitution,Adult Social Care,ALEXANDER MANN SOLUTIONS LTD PSR ONLY,2242633, 890.82 ,,EC2N 3AQ,Large,,,#N/A,,
Department of Health and Social Care,Department of Health and Social Care,22/01/2021,Contractor/ Staff Substitution,Global Health,ALEXANDER MANN SOLUTIONS LTD PSR ONLY,2239069, 876.60 ,,EC2N 3AQ,Large,,,,,
Department of Health and Social Care,Department of Health and Social Care,29/01/2021,Contractor/ Staff Substitution,Global Health,ALEXANDER MANN SOLUTIONS LTD PSR ONLY,2235474, 876.60 ,,EC2N 3AQ,Large,,,,,
Department of Health and Social Care,Department of Health and Social Care,18/01/2021,Contractor/ Staff Substitution,Global Health,ALEXANDER MANN SOLUTIONS LTD PSR ONLY,2247849, 862.32 ,,EC2N 3AQ,Large,,,#N/A,,
Department of Health and Social Care,Department of Health and Social Care,21/01/2021,Contractor/ Staff Substitution,Global Health,ALEXANDER MANN SOLUTIONS LTD PSR ONLY,2242731, 862.32 ,,EC2N 3AQ,Large,,,#N/A,,
Department of Health and Social Care,Department of Health and Social Care,21/01/2021,Contractor/ Staff Substitution,Global Health,ALEXANDER MANN SOLUTIONS LTD PSR ONLY,2242727, 862.32 ,,EC2N 3AQ,Large,,,#N/A,,
Department of Health and Social Care,Department of Health and Social Care,12/01/2021,Contractor/ Staff Substitution,Global Health,ALEXANDER MANN SOLUTIONS LTD PSR ONLY,2239217, 862.32 ,,EC2N 3AQ,Large,,,#N/A,,
Department of Health and Social Care,Department of Health and Social Care,11/01/2021,Contractor/ Staff Substitution,Global Health,ALEXANDER MANN SOLUTIONS LTD PSR ONLY,2235621, 862.32 ,,EC2N 3AQ,Large,,,#N/A,,
Department of Health and Social Care,Department of Health and Social Care,08/01/2021,Contractor/ Staff Substitution,Global Health,ALEXANDER MANN SOLUTIONS LTD PSR ONLY,2235539, 842.58 ,,EC2N 3AQ,Large,,,,,
Department of Health and Social Care,Department of Health and Social Care,07/01/2021,Contractor/ Staff Substitution,Global Health,ALEXANDER MANN SOLUTIONS LTD PSR ONLY,2235514, 841.14 ,,EC2N 3AQ,Large,,,,,
Department of Health and Social Care,Department of Health and Social Care,22/01/2021,Contractor/ Staff Substitution,Commercial,ALEXANDER MANN SOLUTIONS LTD PSR ONLY,2226589, 840.00 ,,EC2N 3AQ,Large,,,#N/A,,
Department of Health and Social Care,Department of Health and Social Care,19/01/2021,Contractor/ Staff Substitution,Global Health,ALEXANDER MANN SOLUTIONS LTD PSR ONLY,2247839, 831.49 ,,EC2N 3AQ,Large,,,#N/A,,
Department of Health and Social Care,Department of Health and Social Care,15/01/2021,Contractor/ Staff Substitution,Global Health,ALEXANDER MANN SOLUTIONS LTD PSR ONLY,2245119, 831.49 ,,EC2N 3AQ,Large,,,#N/A,,
Department of Health and Social Care,Department of Health and Social Care,06/01/2021,Contractor/ Staff Substitution,Prevention Community and Social Care,ALEXANDER MANN SOLUTIONS LTD PSR ONLY,2231800 -1p diff, 819.45 ,,EC2N 3AQ,Large,,,#N/A,,
Department of Health and Social Care,Department of Health and Social Care,20/01/2021,Contractor/ Staff Substitution,Global Health,ALEXANDER MANN SOLUTIONS LTD PSR ONLY,2242709, 744.29 ,,EC2N 3AQ,Large,,,,,
Department of Health and Social Care,Department of Health and Social Care,22/01/2021,Contractor/ Staff Substitution,Commercial,ALEXANDER MANN SOLUTIONS LTD PSR ONLY,2226589, 722.71 ,,EC2N 3AQ,Large,,,#N/A,,
Department of Health and Social Care,Department of Health and Social Care,15/01/2021,Contractor/ Staff Substitution,Global Health,ALEXANDER MANN SOLUTIONS LTD PSR ONLY,2226474, 722.64 ,,EC2N 3AQ,Large,,,#N/A,,
Department of Health and Social Care,Department of Health and Social Care,18/01/2021,Contractor/ Staff Substitution,Global Health,ALEXANDER MANN SOLUTIONS LTD PSR ONLY,2247823, 708.84 ,,EC2N 3AQ,Large,,,#N/A,,
Department of Health and Social Care,Department of Health and Social Care,21/01/2021,Contractor/ Staff Substitution,Global Health,ALEXANDER MANN SOLUTIONS LTD PSR ONLY,2231864, 708.84 ,,EC2N 3AQ,Large,,,#N/A,,
Department of Health and Social Care,Department of Health and Social Care,21/01/2021,Contractor/ Staff Substitution,Global Health,ALEXANDER MANN SOLUTIONS LTD PSR ONLY,2242721, 677.73 ,,EC2N 3AQ,Large,,,#N/A,,
Department of Health and Social Care,Department of Health and Social Care,22/01/2021,Contractor/ Staff Substitution,Finance and Group Operations,ALEXANDER MANN SOLUTIONS LTD PSR ONLY,2239065, 666.91 ,,EC2N 3AQ,Large,,,#N/A,,
Department of Health and Social Care,Department of Health and Social Care,15/01/2021,Contractor/ Staff Substitution,Adult Social Care,ALEXANDER MANN SOLUTIONS LTD PSR ONLY,2239063, 661.50 ,,EC2N 3AQ,Large,,,#N/A,,
Department of Health and Social Care,Department of Health and Social Care,06/01/2021,Contractor/ Staff Substitution,Adult Social Care,ALEXANDER MANN SOLUTIONS LTD PSR ONLY,2235469, 661.50 ,,EC2N 3AQ,Large,,,#N/A,,
Department of Health and Social Care,Department of Health and Social Care,12/01/2021,Contractor/ Staff Substitution,Adult Social Care,ALEXANDER MANN SOLUTIONS LTD PSR ONLY,2239193, 648.28 ,,EC2N 3AQ,Large,,,#N/A,,
Department of Health and Social Care,Department of Health and Social Care,11/01/2021,Contractor/ Staff Substitution,Adult Social Care,ALEXANDER MANN SOLUTIONS LTD PSR ONLY,2235599, 648.28 ,,EC2N 3AQ,Large,,,,,
Department of Health and Social Care,Department of Health and Social Care,12/01/2021,Contractor/ Staff Substitution,Global Health,ALEXANDER MANN SOLUTIONS LTD PSR ONLY,2239188, 630.00 ,,EC2N 3AQ,Large,,,,,
Department of Health and Social Care,Department of Health and Social Care,12/01/2021,Contractor/ Staff Substitution,Adult Social Care,ALEXANDER MANN SOLUTIONS LTD PSR ONLY,2239202, 617.40 ,,EC2N 3AQ,Large,,,,,
Department of Health and Social Care,Department of Health and Social Care,11/01/2021,Contractor/ Staff Substitution,Adult Social Care,ALEXANDER MANN SOLUTIONS LTD PSR ONLY,2235606, 617.40 ,,EC2N 3AQ,Large,,,,,
Department of Health and Social Care,Department of Health and Social Care,06/01/2021,Contractor/ Staff Substitution,Commercial,ALEXANDER MANN SOLUTIONS LTD PSR ONLY,2235476, 597.13 ,,EC2N 3AQ,Large,,,,,
Department of Health and Social Care,Department of Health and Social Care,11/01/2021,Contractor/ Staff Substitution,Finance and Group Operations,ALEXANDER MANN SOLUTIONS LTD PSR ONLY,2239067, 590.52 ,,EC2N 3AQ,Large,,,,,
Department of Health and Social Care,Department of Health and Social Care,06/01/2021,Contractor/ Staff Substitution,Finance and Group Operations,ALEXANDER MANN SOLUTIONS LTD PSR ONLY,2235471, 582.54 ,,EC2N 3AQ,Large,,,,,
Department of Health and Social Care,Department of Health and Social Care,15/01/2021,Contractor/ Staff Substitution,Global Health,ALEXANDER MANN SOLUTIONS LTD PSR ONLY,2242659, 578.96 ,,EC2N 3AQ,Large,,,,,
Department of Health and Social Care,Department of Health and Social Care,15/01/2021,Contractor/ Staff Substitution,Global Health,ALEXANDER MANN SOLUTIONS LTD PSR ONLY,2231733, 578.11 ,,EC2N 3AQ,Large,,,,,
Department of Health and Social Care,Department of Health and Social Care,08/01/2021,Contractor/ Staff Substitution,Global Health,ALEXANDER MANN SOLUTIONS LTD PSR ONLY,2235539, 561.72 ,,EC2N 3AQ,Large,,,,,
Department of Health and Social Care,Department of Health and Social Care,08/01/2021,Contractor/ Staff Substitution,Global Health,ALEXANDER MANN SOLUTIONS LTD PSR ONLY,2235538, 561.72 ,,EC2N 3AQ,Large,,,,,
Department of Health and Social Care,Department of Health and Social Care,21/01/2021,Contractor/ Staff Substitution,Global Health,ALEXANDER MANN SOLUTIONS LTD PSR ONLY,2242745, 474.26 ,,EC2N 3AQ,Large,,,,,
Department of Health and Social Care,Department of Health and Social Care,21/01/2021,Contractor/ Staff Substitution,Global Health,ALEXANDER MANN SOLUTIONS LTD PSR ONLY,2242720, 462.16 ,,EC2N 3AQ,Large,,,,,
Department of Health and Social Care,Department of Health and Social Care,20/01/2021,Contractor/ Staff Substitution,Default Group,ALEXANDER MANN SOLUTIONS LTD PSR ONLY,2242713, 457.64 ,,EC2N 3AQ,Large,,,,,
Department of Health and Social Care,Department of Health and Social Care,21/01/2021,Contractor/ Staff Substitution,Global Health,ALEXANDER MANN SOLUTIONS LTD PSR ONLY,2211082, 411.48 ,,EC2N 3AQ,Large,,,,,
Department of Health and Social Care,Department of Health and Social Care,12/01/2021,Contractor/ Staff Substitution,Global Health,ALEXANDER MANN SOLUTIONS LTD PSR ONLY,2239204, 392.65 ,,EC2N 3AQ,Large,,,#N/A,,
Department of Health and Social Care,Department of Health and Social Care,12/01/2021,Contractor/ Staff Substitution,Global Health,ALEXANDER MANN SOLUTIONS LTD PSR ONLY,2239236, 360.00 ,,EC2N 3AQ,Large,,,#N/A,,
Department of Health and Social Care,Department of Health and Social Care,22/01/2021,Contractor/ Staff Substitution,Finance and Group Operations,ALEXANDER MANN SOLUTIONS LTD PSR ONLY,2242634, 359.10 ,,EC2N 3AQ,Large,,,#N/A,,
Department of Health and Social Care,Department of Health and Social Care,06/01/2021,Contractor/ Staff Substitution,Global Health,ALEXANDER MANN SOLUTIONS LTD PSR ONLY,2231802, 280.86 ,,EC2N 3AQ,Large,,,#N/A,,
Department of Health and Social Care,Department of Health and Social Care,22/01/2021,Contractor/ Staff Substitution,Finance and Group Operations,ALEXANDER MANN SOLUTIONS LTD PSR ONLY,2245115, 262.42 ,,EC2N 3AQ,Large,,,,,
Department of Health and Social Care,Department of Health and Social Care,08/01/2021,Contractor/ Staff Substitution,Global Health,ALEXANDER MANN SOLUTIONS LTD PSR ONLY,2235552, 248.06 ,,EC2N 3AQ,Large,,,,,
Department of Health and Social Care,Department of Health and Social Care,21/01/2021,Contractor/ Staff Substitution,Global Health,ALEXANDER MANN SOLUTIONS LTD PSR ONLY,2242739, 246.89 ,,EC2N 3AQ,Large,,,,,
Department of Health and Social Care,Department of Health and Social Care,19/01/2021,Contractor/ Staff Substitution,Global Health,ALEXANDER MANN SOLUTIONS LTD PSR ONLY,2235520, 182.23 ,,EC2N 3AQ,Large,,,,,
Department of Health and Social Care,Department of Health and Social Care,22/01/2021,Contractor/ Staff Substitution,Finance and Group Operations,ALEXANDER MANN SOLUTIONS LTD PSR ONLY,2239065, 176.57 ,,EC2N 3AQ,Large,,,,,
Department of Health and Social Care,Department of Health and Social Care,08/01/2021,Contractor/ Staff Substitution,Global Health,ALEXANDER MANN SOLUTIONS LTD PSR ONLY,2235556, 168.92 ,,EC2N 3AQ,Large,,,,,
Department of Health and Social Care,Department of Health and Social Care,12/01/2021,Contractor/ Staff Substitution,Global Health,ALEXANDER MANN SOLUTIONS LTD PSR ONLY,2239230, 151.67 ,,EC2N 3AQ,Large,,,,,
Department of Health and Social Care,Department of Health and Social Care,22/01/2021,Contractor/ Staff Substitution,Commercial,ALEXANDER MANN SOLUTIONS LTD PSR ONLY,2226589, 150.25 ,,EC2N 3AQ,Large,,,,,
Department of Health and Social Care,Department of Health and Social Care,18/01/2021,Contractor/ Staff Substitution,Global Health,ALEXANDER MANN SOLUTIONS LTD PSR ONLY,2247861, 143.99 ,,EC2N 3AQ,Large,,,,,
Department of Health and Social Care,Department of Health and Social Care,12/01/2021,Contractor/ Staff Substitution,Global Health,ALEXANDER MANN SOLUTIONS LTD PSR ONLY,2229167, 130.88 ,,EC2N 3AQ,Large,,,,,
Department of Health and Social Care,Department of Health and Social Care,21/01/2021,Contractor/ Staff Substitution,Global Health,ALEXANDER MANN SOLUTIONS LTD PSR ONLY,2209060, 123.44 ,,EC2N 3AQ,Large,,,,,
Department of Health and Social Care,Department of Health and Social Care,09/01/2021,Contractor/ Staff Substitution,Adult Social Care,ALEXANDER MANN SOLUTIONS LTD PSR ONLY,2231734, 119.52 ,,EC2N 3AQ,Large,,,,,
Department of Health and Social Care,Department of Health and Social Care,19/01/2021,Contractor/ Staff Substitution,Global Health,ALEXANDER MANN SOLUTIONS LTD PSR ONLY,2235515, 119.46 ,,EC2N 3AQ,Large,,,,,
Department of Health and Social Care,Department of Health and Social Care,09/01/2021,Contractor/ Staff Substitution,Global Health,ALEXANDER MANN SOLUTIONS LTD PSR ONLY,2231778, 119.46 ,,EC2N 3AQ,Large,,,,,
Department of Health and Social Care,Department of Health and Social Care,18/01/2021,Contractor/ Staff Substitution,Global Health,ALEXANDER MANN SOLUTIONS LTD PSR ONLY,2239140, 87.66 ,,EC2N 3AQ,Large,,,,,
Department of Health and Social Care,Department of Health and Social Care,08/01/2021,Contractor/ Staff Substitution,Global Health,ALEXANDER MANN SOLUTIONS LTD PSR ONLY,2235553, 87.66 ,,EC2N 3AQ,Large,,,,,
Department of Health and Social Care,Department of Health and Social Care,07/01/2021,Contractor/ Staff Substitution,Global Health,ALEXANDER MANN SOLUTIONS LTD PSR ONLY,2235516, 87.12 ,,EC2N 3AQ,Large,,,,,
Department of Health and Social Care,Department of Health and Social Care,18/01/2021,Contractor/ Staff Substitution,Prevention Community and Social Care,ALEXANDER MANN SOLUTIONS LTD PSR ONLY,2239124, 81.90 ,,EC2N 3AQ,Large,,,,,
Department of Health and Social Care,Department of Health and Social Care,06/01/2021,Contractor/ Staff Substitution,Prevention Community and Social Care,ALEXANDER MANN SOLUTIONS LTD PSR ONLY,2231800 -1p diff, 40.96 ,,EC2N 3AQ,Large,,,,,
Department of Health and Social Care,Department of Health and Social Care,25/01/2021,Contractor/ Staff Substitution,Global Health,ALEXANDER MANN SOLUTIONS LTD PSR ONLY,2242681, 35.06 ,,EC2N 3AQ,Large,,,,,
Department of Health and Social Care,Department of Health and Social Care,06/01/2021,Contractor/ Staff Substitution,Global Health,ALEXANDER MANN SOLUTIONS LTD PSR ONLY,2235482, 21.60 ,,EC2N 3AQ,Large,,,,,
Department of Health and Social Care,Department of Health and Social Care,27/01/2021,Contractor/ Staff Substitution,Global Health,ALEXANDER MANN SOLUTIONS LTD PSR ONLY,2245148, 11.14 ,,EC2N 3AQ,Large,,,,,
Department of Health and Social Care,Department of Health and Social Care,12/01/2021,Contractor/ Staff Substitution,Global Health,ALEXANDER MANN SOLUTIONS LTD PSR ONLY,2239229, 9.13 ,,EC2N 3AQ,Large,,,,,
Department of Health and Social Care,Department of Health and Social Care,22/01/2021,Contractor/ Staff Substitution,Global Health,ALEXANDER MANN SOLUTIONS LTD PSR ONLY,2242663, 8.46 ,,EC2N 3AQ,Large,,,,,
Department of Health and Social Care,Department of Health and Social Care,22/01/2021,Contractor/ Staff Substitution,Global Health,ALEXANDER MANN SOLUTIONS LTD PSR ONLY,2239110, 8.46 ,,EC2N 3AQ,Large,,,,,
Department of Health and Social Care,Department of Health and Social Care,22/01/2021,Contractor/ Staff Substitution,Commercial,ALEXANDER MANN SOLUTIONS LTD PSR ONLY,2226589, 8.34 ,,EC2N 3AQ,Large,,,,,
Department of Health and Social Care,Department of Health and Social Care,11/01/2021,Contractor/ Staff Substitution,Global Health,ALEXANDER MANN SOLUTIONS LTD PSR ONLY,2239196," 1,376,010.17 ",,EC2N 3AQ,Large,,,,#N/A,
Department of Health and Social Care,Department of Health and Social Care,11/01/2021,Contractor/ Staff Substitution,Global Health,ALEXANDER MANN SOLUTIONS LTD PSR ONLY,2245217," 987,339.10 ",,EC2N 3AQ,Large,,,,#N/A,
Department of Health and Social Care,Department of Health and Social Care,11/01/2021,Contractor/ Staff Substitution,Global Health,ALEXANDER MANN SOLUTIONS LTD PSR ONLY,2242718," 930,253.84 ",,EC2N 3AQ,Large,,,,#N/A,
Department of Health and Social Care,Department of Health and Social Care,12/01/2021,Contractor/ Staff Substitution,Global Health,ALEXANDER MANN SOLUTIONS LTD PSR ONLY,2229106," 43,238.45 ",,EC2N 3AQ,Large,,,,#N/A,
Department of Health and Social Care,Department of Health and Social Care,18/01/2021,Contractor/ Staff Substitution,Global Health,ALEXANDER MANN SOLUTIONS LTD PSR ONLY,2221870," 43,115.28 ",,EC2N 3AQ,Large,,,,#N/A,
Department of Health and Social Care,Department of Health and Social Care,18/01/2021,Contractor/ Staff Substitution,Global Health,ALEXANDER MANN SOLUTIONS LTD PSR ONLY,2226563," 19,319.28 ",,EC2N 3AQ,Large,,,,#N/A,
Department of Health and Social Care,Department of Health and Social Care,18/01/2021,Contractor/ Staff Substitution,Global Health,ALEXANDER MANN SOLUTIONS LTD PSR ONLY,2213265," 15,247.32 ",,EC2N 3AQ,Large,,,,#N/A,
Department of Health and Social Care,Department of Health and Social Care,18/01/2021,Contractor/ Staff Substitution,Global Health,ALEXANDER MANN SOLUTIONS LTD PSR ONLY,2229087," 13,861.20 ",,EC2N 3AQ,Large,,,,#N/A,
Department of Health and Social Care,Department of Health and Social Care,18/01/2021,Contractor/ Staff Substitution,Global Health,ALEXANDER MANN SOLUTIONS LTD PSR ONLY,2242693," 12,557.54 ",,EC2N 3AQ,Large,,,,#N/A,
Department of Health and Social Care,Department of Health and Social Care,12/01/2021,Contractor/ Staff Substitution,Global Health,ALEXANDER MANN SOLUTIONS LTD PSR ONLY,2239139," 12,010.68 ",,EC2N 3AQ,Large,,,,#N/A,
Department of Health and Social Care,Department of Health and Social Care,12/01/2021,Contractor/ Staff Substitution,Global Health,ALEXANDER MANN SOLUTIONS LTD PSR ONLY,2231815," 12,010.68 ",,EC2N 3AQ,Large,,,,#N/A,
Department of Health and Social Care,Department of Health and Social Care,18/01/2021,Contractor/ Staff Substitution,Global Health,ALEXANDER MANN SOLUTIONS LTD PSR ONLY,2231833," 11,591.57 ",,EC2N 3AQ,Large,,,,#N/A,
Department of Health and Social Care,Department of Health and Social Care,18/01/2021,Contractor/ Staff Substitution,Global Health,ALEXANDER MANN SOLUTIONS LTD PSR ONLY,2209140," 10,520.80 ",,EC2N 3AQ,Large,,,,#N/A,
Department of Health and Social Care,Department of Health and Social Care,18/01/2021,Contractor/ Staff Substitution,Global Health,ALEXANDER MANN SOLUTIONS LTD PSR ONLY,2211205B," 10,080.96 ",,EC2N 3AQ,Large,,,,#N/A,
Department of Health and Social Care,Department of Health and Social Care,12/01/2021,Contractor/ Staff Substitution,Global Health,ALEXANDER MANN SOLUTIONS LTD PSR ONLY,2245179," 9,608.54 ",,EC2N 3AQ,Large,,,,#N/A,
Department of Health and Social Care,Department of Health and Social Care,11/01/2021,Contractor/ Staff Substitution,Global Health,ALEXANDER MANN SOLUTIONS LTD PSR ONLY,2206697," 7,788.06 ",,EC2N 3AQ,Large,,,,#N/A,
Department of Health and Social Care,Department of Health and Social Care,12/01/2021,Contractor/ Staff Substitution,Global Health,ALEXANDER MANN SOLUTIONS LTD PSR ONLY,2239195," 7,066.07 ",,EC2N 3AQ,Large,,,,#N/A,
Department of Health and Social Care,Department of Health and Social Care,18/01/2021,Contractor/ Staff Substitution,Global Health,ALEXANDER MANN SOLUTIONS LTD PSR ONLY,2219656," 6,930.60 ",,EC2N 3AQ,Large,,,,#N/A,
Department of Health and Social Care,Department of Health and Social Care,18/01/2021,Contractor/ Staff Substitution,Global Health,ALEXANDER MANN SOLUTIONS LTD PSR ONLY,2217503," 6,930.60 ",,EC2N 3AQ,Large,,,,#N/A,
Department of Health and Social Care,Department of Health and Social Care,08/01/2021,Contractor/ Staff Substitution,Global Health,ALEXANDER MANN SOLUTIONS LTD PSR ONLY,2229202," 6,775.32 ",,EC2N 3AQ,Large,,,,#N/A,
Department of Health and Social Care,Department of Health and Social Care,18/01/2021,Contractor/ Staff Substitution,Global Health,ALEXANDER MANN SOLUTIONS LTD PSR ONLY,2219702," 5,040.48 ",,EC2N 3AQ,Large,,,,#N/A,
Department of Health and Social Care,Department of Health and Social Care,18/01/2021,Contractor/ Staff Substitution,Global Health,ALEXANDER MANN SOLUTIONS LTD PSR ONLY,2217553," 5,040.48 ",,EC2N 3AQ,Large,,,,#N/A,
Department of Health and Social Care,Department of Health and Social Care,18/01/2021,Contractor/ Staff Substitution,Global Health,ALEXANDER MANN SOLUTIONS LTD PSR ONLY,2215403," 5,040.48 ",,EC2N 3AQ,Large,,,,#N/A,
Department of Health and Social Care,Department of Health and Social Care,11/01/2021,Contractor/ Staff Substitution,Global Health,ALEXANDER MANN SOLUTIONS LTD PSR ONLY,2209128," 3,817.08 ",,EC2N 3AQ,Large,,,,#N/A,
Department of Health and Social Care,Department of Health and Social Care,18/01/2021,Contractor/ Staff Substitution,Global Health,ALEXANDER MANN SOLUTIONS LTD PSR ONLY,2235536," 3,465.30 ",,EC2N 3AQ,Large,,,,#N/A,
Department of Health and Social Care,Department of Health and Social Care,18/01/2021,Contractor/ Staff Substitution,Global Health,ALEXANDER MANN SOLUTIONS LTD PSR ONLY,2231798," 3,465.30 ",,EC2N 3AQ,Large,,,,#N/A,
Department of Health and Social Care,Department of Health and Social Care,18/01/2021,Contractor/ Staff Substitution,Global Health,ALEXANDER MANN SOLUTIONS LTD PSR ONLY,2245188," 3,380.88 ",,EC2N 3AQ,Large,,,,#N/A,
Department of Health and Social Care,Department of Health and Social Care,05/01/2021,Contractor/ Staff Substitution,Global Health,ALEXANDER MANN SOLUTIONS LTD PSR ONLY,2219605," 2,217.31 ",,EC2N 3AQ,Large,,,,#N/A,
Department of Health and Social Care,Department of Health and Social Care,05/01/2021,Contractor/ Staff Substitution,Global Health,ALEXANDER MANN SOLUTIONS LTD PSR ONLY,2217454," 2,217.31 ",,EC2N 3AQ,Large,,,,#N/A,
Department of Health and Social Care,Department of Health and Social Care,05/01/2021,Contractor/ Staff Substitution,Global Health,ALEXANDER MANN SOLUTIONS LTD PSR ONLY,2215312," 2,217.31 ",,EC2N 3AQ,Large,,,,#N/A,
Department of Health and Social Care,Department of Health and Social Care,20/01/2021,Contractor/ Staff Substitution,Global Health,ALEXANDER MANN SOLUTIONS LTD PSR ONLY,2245135," 1,990.44 ",,EC2N 3AQ,Large,,,,#N/A,
Department of Health and Social Care,Department of Health and Social Care,20/01/2021,Contractor/ Staff Substitution,Global Health,ALEXANDER MANN SOLUTIONS LTD PSR ONLY,2242652," 1,990.44 ",,EC2N 3AQ,Large,,,,#N/A,
Department of Health and Social Care,Department of Health and Social Care,18/01/2021,Contractor/ Staff Substitution,Global Health,ALEXANDER MANN SOLUTIONS LTD PSR ONLY,2221878," 1,946.75 ",,EC2N 3AQ,Large,,,,#N/A,
Department of Health and Social Care,Department of Health and Social Care,11/01/2021,Contractor/ Staff Substitution,Global Health,ALEXANDER MANN SOLUTIONS LTD PSR ONLY,2239142, 768.47 ,,EC2N 3AQ,Large,,,,#N/A,
Department of Health and Social Care,Department of Health and Social Care,11/01/2021,Contractor/ Staff Substitution,Global Health,ALEXANDER MANN SOLUTIONS LTD PSR ONLY,2213307, 554.70 ,,EC2N 3AQ,Large,,,,#N/A,
Department of Health and Social Care,Department of Health and Social Care,20/01/2021,Contractor/ Staff Substitution,Global Health,ALEXANDER MANN SOLUTIONS LTD PSR ONLY,2242668, 496.54 ,,EC2N 3AQ,Large,,,,#N/A,
Department of Health and Social Care,Department of Health and Social Care,11/01/2021,Contractor/ Staff Substitution,Global Health,ALEXANDER MANN SOLUTIONS LTD PSR ONLY,2217552, 442.73 ,,EC2N 3AQ,Large,,,,#N/A,
Department of Health and Social Care,Department of Health and Social Care,11/01/2021,Contractor/ Staff Substitution,Global Health,ALEXANDER MANN SOLUTIONS LTD PSR ONLY,2206705, 267.23 ,,EC2N 3AQ,Large,,,,#N/A,
Department of Health and Social Care,Department of Health and Social Care,11/01/2021,Contractor/ Staff Substitution,Global Health,ALEXANDER MANN SOLUTIONS LTD PSR ONLY,2213295, 256.74 ,,EC2N 3AQ,Large,,,,#N/A,
Department of Health and Social Care,Department of Health and Social Care,11/01/2021,Contractor/ Staff Substitution,Global Health,ALEXANDER MANN SOLUTIONS LTD PSR ONLY,2229111, 240.47 ,,EC2N 3AQ,Large,,,,#N/A,
Department of Health and Social Care,Department of Health and Social Care,11/01/2021,Contractor/ Staff Substitution,Global Health,ALEXANDER MANN SOLUTIONS LTD PSR ONLY,2219701, 223.56 ,,EC2N 3AQ,Large,,,,#N/A,
Department of Health and Social Care,Department of Health and Social Care,11/01/2021,Contractor/ Staff Substitution,Global Health,ALEXANDER MANN SOLUTIONS LTD PSR ONLY,2242684, 198.72 ,,EC2N 3AQ,Large,,,,#N/A,
Department of Health and Social Care,Department of Health and Social Care,11/01/2021,Contractor/ Staff Substitution,Global Health,ALEXANDER MANN SOLUTIONS LTD PSR ONLY,2242682, 196.62 ,,EC2N 3AQ,Large,,,,#N/A,
Department of Health and Social Care,Department of Health and Social Care,11/01/2021,Contractor/ Staff Substitution,Global Health,ALEXANDER MANN SOLUTIONS LTD PSR ONLY,2226547, 182.10 ,,EC2N 3AQ,Large,,,,#N/A,
Department of Health and Social Care,Department of Health and Social Care,11/01/2021,Contractor/ Staff Substitution,Global Health,ALEXANDER MANN SOLUTIONS LTD PSR ONLY,2226558, 175.43 ,,EC2N 3AQ,Large,,,,#N/A,
Department of Health and Social Care,Department of Health and Social Care,11/01/2021,Contractor/ Staff Substitution,Global Health,ALEXANDER MANN SOLUTIONS LTD PSR ONLY,2217541, 160.38 ,,EC2N 3AQ,Large,,,,#N/A,
Department of Health and Social Care,Department of Health and Social Care,11/01/2021,Contractor/ Staff Substitution,Global Health,ALEXANDER MANN SOLUTIONS LTD PSR ONLY,2231828, 103.98 ,,EC2N 3AQ,Large,,,,#N/A,
Department of Health and Social Care,Department of Health and Social Care,11/01/2021,Contractor/ Staff Substitution,Global Health,ALEXANDER MANN SOLUTIONS LTD PSR ONLY,2231819, 89.10 ,,EC2N 3AQ,Large,,,,#N/A,
Department of Health and Social Care,Department of Health and Social Care,11/01/2021,Contractor/ Staff Substitution,Global Health,ALEXANDER MANN SOLUTIONS LTD PSR ONLY,2215385, 88.56 ,,EC2N 3AQ,Large,,,,#N/A,
Department of Health and Social Care,Department of Health and Social Care,14/01/2021,Contractor/ Staff Substitution,Global Health,ALEXANDER MANN SOLUTIONS LTD PSR ONLY,2217589, 77.22 ,,EC2N 3AQ,Large,,,,#N/A,
